date,basedepth,open_trails,open_lifts,open_percent,basedepth,open_trails,open_lifts,open_percent,new_24,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
2015-11-15,18.0,2.5,2.25,2.25,18.0,2.5,2.25,2.25,1.3,1.3,,,,,,
2015-11-16,18.0,3.0,2.5,2.5,18.0,3.0,2.5,2.5,1.3,2.6,,,,,,
2015-11-17,19.5,3.25,2.5,2.75,19.5,3.25,2.5,2.75,1.3,3.9,,2.6,,,,
2015-11-18,18.0,3.75,2.5,2.0,18.0,3.75,2.5,2.0,1.3,5.2,,2.6,3.9,,,
2015-11-19,18.0,6.6,2.6,2.8,18.0,6.6,2.6,2.8,1.3,6.5,,2.6,3.9,5.2,,
2015-11-20,18.0,4.33333333333,1.66666666667,3.33333333333,18.0,4.33333333333,1.66666666667,3.33333333333,1.3,7.8,,2.6,3.9,5.2,6.5,
2015-11-21,18.0,7.0,2.33333333333,5.0,18.0,7.0,2.33333333333,5.0,1.3,9.1,,2.6,3.9,5.2,6.5,7.8
2015-11-22,18.0,5.8,3.0,4.4,18.0,5.8,3.0,4.4,1.3,10.4,9.1,2.6,3.9,5.2,6.5,7.8
2015-11-23,18.5,8.5,3.0,3.75,18.5,8.5,3.0,3.75,1.3,11.7,9.1,2.6,3.9,5.2,6.5,7.8
2015-11-24,19.0,7.25,3.75,4.0,19.0,7.25,3.75,4.0,1.3,13.0,9.1,2.6,3.9,5.2,6.5,7.8
2015-11-25,20.0,9.0,3.66666666667,6.83333333333,20.0,9.0,3.66666666667,6.83333333333,1.3,14.3,9.1,2.6,3.9,5.2,6.5,7.8
2015-11-26,22.3333333333,17.0,5.33333333333,9.66666666667,22.3333333333,17.0,5.33333333333,9.66666666667,1.3,15.6,9.1,2.6,3.9,5.2,6.5,7.8
