,away_WP,to_WP,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot,day_0,day_1,day_2,day_3,day_4,day_5,day_6,month_1,month_2,month_3,month_4,month_11,month_12,vet_day,thanksgiv,xmas,new_years,mlk_day,pres_day,new_years_sat,mlk_sat,new_years_sun,mlk_sun,new_years_fri,mlk_fri,new_years_mon,mlk_mon,spring_break,spring_break_ends
11/13/11,2882,1371,44,1,18,0,0,0,1,9.1,2.6,3.9,5.2,6.5,7.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/14/11,1720,1607,-1467,1,18,0,0,0,4,9.1,2,3.9,5.2,6.5,7.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/15/11,1539,1804,-1580,1,18,0,0,0,4,9.1,2,3,5.2,6.5,7.8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/16/11,1695,1808,-1315,1,18,0,0,0,5,9.1,2,3,4,6.5,7.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/17/11,1890,1916,-1202,1,18,0,0,0,6,9.1,2,3,4,5,7.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/18/11,2008,3207,-1176,0,18,0,0,0,6,9.1,1,2,3,4,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/19/11,1922,2637,23,1,18,0,0,0,7,6,1,2,3,4,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/20/11,3566,2282,738,4,18,0,0,0,11,9,5,5,6,7,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/21/11,2202,2113,-546,0,18,0,0,0,11,8,4,5,5,6,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/22/11,2294,2664,-635,2,18,0,0,0,13,9,2,6,7,7,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
