FormattedDate,away_WP,to_WP,day_of_week,skiers
11/12/11,2075,2119,5,0
11/13/11,2882,1371,6,44
11/14/11,1720,1607,0,-1467
11/15/11,1539,1804,1,-1580
11/16/11,1695,1808,2,-1315
11/17/11,1890,1916,3,-1202
11/18/11,2008,3207,4,-1176
11/19/11,1922,2637,5,23
11/20/11,3566,2282,6,738
11/21/11,2202,2113,0,-546
11/22/11,2294,2664,1,-635
11/23/11,2723,4357,2,-265
11/24/11,1911,2704,3,1369
11/25/11,3131,4319,4,2162
11/26/11,4287,2846,5,3350
11/27/11,3029,0,6,321
11/28/11,1976,1570,0,-85
11/29/11,1696,1719,1,-62
11/30/11,1851,1892,2,-21
12/1/11,1181,1335,3,133
12/2/11,1891,3517,4,1759
12/3/11,2467,2795,5,2087
12/4/11,3790,2065,6,362
12/5/11,1660,1540,0,242
12/6/11,1703,1698,1,237
12/7/11,1866,1894,2,265
12/8/11,1728,1979,3,516
12/9/11,2074,3536,4,1978
12/10/11,3360,3585,5,2203
12/11/11,4003,2293,6,493
12/12/11,2008,1843,0,328
12/13/11,1761,1785,1,352
12/14/11,1803,1825,2,374
12/15/11,1980,2257,3,651
12/16/11,2433,4203,4,2421
12/17/11,3240,4195,5,3376
12/18/11,3959,3141,6,2558
12/19/11,2866,2724,0,2416
12/20/11,2817,3029,1,2628
12/21/11,3232,3261,2,2657
12/22/11,2247,2653,3,3063
12/23/11,3815,4680,4,3928
12/24/11,2582,3028,5,4374
12/25/11,2246,2802,6,4930
12/26/11,4887,5775,0,5818
12/27/11,4241,4642,1,6219
12/28/11,4208,4611,2,6622
12/29/11,4260,4682,3,7044
12/30/11,4908,5916,4,8052
12/31/11,3346,3391,5,8097
1/1/12,5730,2700,6,5067
1/2/12,6268,3267,0,2066
1/3/12,2924,2294,1,1436
1/4/12,2334,2303,2,1405
1/5/12,2359,2490,3,1536
1/6/12,2638,4091,4,2989
1/7/12,3077,3199,5,3111
1/8/12,4887,2904,6,1128
1/9/12,2387,2066,0,807
1/10/12,2110,2069,1,766
1/11/12,1670,1737,2,833
1/12/12,2681,3030,3,1182
1/13/12,2996,5877,4,4063
1/14/12,4044,5440,5,5459
1/15/12,5571,3287,6,3175
1/16/12,5002,2370,0,543
1/17/12,2280,2019,1,282
1/18/12,1883,1835,2,234
1/19/12,1792,2326,3,768
1/20/12,2568,5829,4,4029
1/21/12,4002,4981,5,5008
1/22/12,7332,3401,6,1077
1/23/12,2682,1978,0,373
1/24/12,1854,1799,1,318
1/25/12,2260,2380,2,438
1/26/12,2317,3112,3,1233
1/27/12,0,3268,4,4501
1/28/12,4862,5658,5,5297
1/29/12,8060,4229,6,1466
1/30/12,3122,2676,0,1020
1/31/12,2978,2142,1,184
2/1/12,2266,2294,2,212
2/2/12,2119,3108,3,1201
2/3/12,0,3268,4,4469
2/4/12,3380,3731,5,4820
2/5/12,5819,2848,6,1849
2/6/12,2497,1796,0,1148
2/7/12,1710,1733,1,1171
2/8/12,2084,2302,2,1389
2/9/12,2186,2665,3,1868
2/10/12,2757,6234,4,5345
2/11/12,4506,5213,5,6052
2/12/12,7601,3338,6,1789
2/13/12,2795,2155,0,1149
2/14/12,2052,2024,1,1121
2/15/12,2194,2416,2,1343
2/16/12,2486,3521,3,2378
2/17/12,3385,7731,4,6724
2/18/12,4542,6345,5,8527
2/19/12,6623,4116,6,6020
2/20/12,3989,0,0,2031
2/21/12,3009,2249,1,1271
2/22/12,2074,2075,2,1272
2/23/12,1043,1691,3,1920
2/24/12,3352,6411,4,4979
2/25/12,4996,5498,5,5481
2/26/12,7147,3134,6,1468
2/27/12,2938,2142,0,672
2/28/12,1607,1640,1,705
2/29/12,2386,2567,2,886
3/1/12,0,843,3,1729
3/2/12,0,3982,4,5711
3/3/12,4848,5345,5,6208
3/4/12,8124,3509,6,1593
3/5/12,2966,2253,0,880
3/6/12,2356,2264,1,788
3/7/12,1947,2077,2,918
3/8/12,2347,2827,3,1398
3/9/12,2983,5594,4,4009
3/10/12,4336,5520,5,5193
3/11/12,1949,0,6,3244
3/12/12,2821,2543,0,2966
3/13/12,2506,2352,1,2812
3/14/12,2687,2560,2,2685
3/15/12,2787,2865,3,2763
3/16/12,3291,4648,4,4120
3/17/12,3821,4145,5,4444
3/18/12,4877,2718,6,2285
3/19/12,2180,2014,0,2119
3/20/12,2325,2238,1,2032
3/21/12,2533,2453,2,1952
3/22/12,2503,2797,3,2246
3/23/12,2945,4555,4,3856
3/24/12,3573,4293,5,4576
3/25/12,4635,2896,6,2837
3/26/12,2837,2400,0,2400
3/27/12,2571,2408,1,2237
3/28/12,2574,2675,2,2338
3/29/12,2639,2892,3,2591
3/30/12,3070,3767,4,3288
3/31/12,3250,2938,5,2976
4/1/12,4210,1971,6,737
4/2/12,1890,1494,0,341
4/3/12,1418,1353,1,276
4/4/12,1861,1874,2,289
4/5/12,1965,2158,3,482
4/6/12,2274,3001,4,1209
4/7/12,2535,2327,5,1001
4/8/12,2786,1485,6,-300
4/9/12,1790,1520,0,-570
4/10/12,1632,1616,1,-586
4/11/12,1717,1675,2,-628
4/12/12,1711,1728,3,-611
4/13/12,1877,2476,4,-12
4/14/12,1600,1893,5,281
4/15/12,2467,1578,6,-608
4/16/12,1681,1447,0,-842
4/17/12,1580,1551,1,-871
4/18/12,1537,1573,2,-835
4/19/12,1524,1661,3,-698
4/20/12,1806,2960,4,456
4/21/12,2095,2725,5,1086
4/22/12,3571,1912,6,-573
,,,,
11/14/12,1775,1861,2,0
11/15/12,1765,1932,3,86
11/16/12,1889,3012,4,253
11/17/12,2081,2627,5,1376
11/18/12,3084,1778,6,1922
11/19/12,2062,2050,0,616
11/20/12,2063,2480,1,604
