FormattedDate,away_WP,to_WP,day_of_week,skiers,,
11/11/11,0,1467,4,1467,,
11/12/11,2075,2119,5,1511,,
11/13/11,2882,1371,6,0,,
11/14/11,1720,1607,0,-113,,
11/15/11,1539,1804,1,152,,
11/16/11,1695,1808,2,265,,
11/17/11,1890,1916,3,291,,
11/18/11,2008,3207,4,1490,,
11/19/11,1922,2637,5,2205,,
11/20/11,3566,2282,6,921,,
11/21/11,2202,2113,0,832,,
11/22/11,2294,2664,1,1202,,
11/23/11,2723,4357,2,2836,,
11/24/11,1911,2704,3,3629,,
11/25/11,3131,4319,4,4817,,
11/26/11,4287,2846,5,3376,,
11/27/11,3029,0,6,347,,
11/28/11,1976,1570,0,-59,,
11/29/11,1696,1719,1,-36,,
11/30/11,1851,1892,2,5,,
12/1/11,1181,1335,3,159,,
12/2/11,1891,3517,4,1785,,
12/3/11,2467,2795,5,2113,,
12/4/11,3790,2065,6,388,,
12/5/11,1660,1540,0,268,,
12/6/11,1703,1698,1,263,,
12/7/11,1866,1894,2,291,,
12/8/11,1728,1979,3,542,,
12/9/11,2074,3536,4,2004,,
12/10/11,3360,3585,5,2229,,
12/11/11,4003,2293,6,519,,
12/12/11,2008,1843,0,354,,
12/13/11,1761,1785,1,378,,
12/14/11,1803,1825,2,400,,
12/15/11,1980,2257,3,677,,
12/16/11,2433,4203,4,2447,,
12/17/11,3240,4195,5,3402,,
12/18/11,3959,3141,6,2584,,
12/19/11,2866,2724,0,2442,,
12/20/11,2817,3029,1,2654,,
12/21/11,3232,3261,2,2683,,
12/22/11,2247,2653,3,3089,,
12/23/11,3815,4680,4,3954,,
12/24/11,2582,3028,5,4400,,
12/25/11,2246,2802,6,4956,,
12/26/11,4887,5775,0,5844,,
12/27/11,4241,4642,1,6245,,
12/28/11,4208,4611,2,6648,,
12/29/11,4260,4682,3,7070,,
12/30/11,4908,5916,4,8078,,
12/31/11,3346,3391,5,8123,,
1/1/12,5730,2700,6,5093,,
1/2/12,6268,3267,0,2092,,
1/3/12,2924,2294,1,1462,,
1/4/12,2334,2303,2,1431,,
1/5/12,2359,2490,3,1562,,
1/6/12,2638,4091,4,3015,,
1/7/12,3077,3199,5,3137,,
1/8/12,4887,2904,6,1154,,
1/9/12,2387,2066,0,833,,
1/10/12,2110,2069,1,792,,
1/11/12,1670,1737,2,859,,
1/12/12,2681,3030,3,1208,,
1/13/12,2996,5877,4,4089,,
1/14/12,4044,5440,5,5485,,
1/15/12,5571,3287,6,3201,,
1/16/12,5002,2370,0,569,,
1/17/12,2280,2019,1,308,,
1/18/12,1883,1835,2,260,,
1/19/12,1792,2326,3,794,,
1/20/12,2568,5829,4,4055,,
1/21/12,4002,4981,5,5034,,
1/22/12,7332,3401,6,1103,,
1/23/12,2682,1978,0,399,,
1/24/12,1854,1799,1,344,,
1/25/12,2260,2380,2,464,,
1/26/12,2317,3112,3,1259,,
1/27/12,0,3268,4,4527,,
1/28/12,4862,5658,5,5323,,
1/29/12,8060,4229,6,1492,,
1/30/12,3122,2676,0,1046,,
1/31/12,2978,2142,1,210,,
2/1/12,2266,2294,2,238,,
