FormattedDate,away_WP,to_WP,day_of_week,skiers
11/14/12,1775,1861,2,86
11/15/12,1765,1932,3,253
11/16/12,1889,3012,4,1376
11/17/12,2081,2627,5,1922
11/18/12,3084,1778,6,616
11/19/12,2062,2050,0,604
11/20/12,2063,2480,1,1021
11/21/12,2452,3941,2,2510
11/22/12,1606,2288,3,3192
11/23/12,2910,3722,4,4004
11/24/12,3756,2276,5,2524
11/25/12,4037,1411,6,-102
11/26/12,1691,1325,0,-468
11/27/12,1489,1510,1,-447
11/28/12,1569,1627,2,-389
11/29/12,1606,1683,3,-312
11/30/12,1812,2977,4,853
12/1/12,2623,3007,5,1237
12/2/12,3278,1834,6,-207
12/3/12,1619,1509,0,-317
12/4/12,1506,1486,1,-337
12/5/12,1665,1602,2,-400
12/6/12,1472,1648,3,-224
12/7/12,1729,3081,4,1128
12/8/12,2218,2781,5,1691
12/9/12,3709,1983,6,-35
12/10/12,1650,1480,0,-205
12/11/12,1556,1624,1,-137
12/12/12,1790,1815,2,-112
12/13/12,2058,2280,3,110
12/14/12,2104,3676,4,1682
12/15/12,3083,3662,5,2261
12/16/12,4333,2646,6,574
12/17/12,2316,2006,0,264
12/18/12,1899,2206,1,571
12/19/12,2044,2217,2,744
12/20/12,2886,3276,3,1134
12/21/12,3244,5032,4,2922
12/22/12,3570,5142,5,4494
12/23/12,3989,3784,6,4289
12/24/12,3259,3069,0,4099
12/25/12,2526,2573,1,4146
12/26/12,4084,5026,2,5088
12/27/12,4022,5183,3,6249
12/28/12,5002,6651,4,7898
12/29/12,5407,6092,5,8583
12/30/12,5443,4805,6,7945
12/31/12,4031,4050,0,7964
1/1/13,6971,3616,1,4609
1/2/13,4260,3422,2,3771
1/3/13,3783,3768,3,3756
1/4/13,4313,5621,4,5064
1/5/13,5692,5289,5,4661
1/6/13,6573,3779,6,1867
1/7/13,3051,2336,0,1152
1/8/13,2328,2210,1,1034
1/9/13,2386,2336,2,984
1/10/13,2558,2749,3,1175
1/11/13,2599,4453,4,3029
1/12/13,3147,3457,5,3339
1/13/13,5051,2393,6,681
1/14/13,2060,1698,0,319
1/15/13,1830,1781,1,270
1/16/13,2255,2405,2,420
1/17/13,2393,2981,3,1008
1/18/13,3096,6813,4,4725
1/19/13,4526,6207,5,6406
1/20/13,6446,4043,6,4003
1/21/13,6284,2727,0,446
1/22/13,2344,2016,1,118
1/23/13,2055,2134,2,197
1/24/13,1998,2529,3,728
1/25/13,2195,5652,4,4185
1/26/13,4269,5001,5,4917
1/27/13,7131,2912,6,698
1/28/13,2332,1724,0,90
1/29/13,1944,2004,1,150
1/30/13,1936,2100,2,314
1/31/13,2116,2718,3,916
2/1/13,3031,6329,4,4214
2/2/13,5237,5933,5,4910
2/3/13,7605,4279,6,1584
2/4/13,3407,2760,0,937
2/5/13,3019,2362,1,280
2/6/13,2342,2373,2,311
2/7/13,2277,2897,3,931
2/8/13,2923,6500,4,4508
2/9/13,4110,5160,5,5558
2/10/13,8294,3996,6,1260
2/11/13,3100,2261,0,421
2/12/13,2348,2289,1,362
2/13/13,2333,2493,2,522
2/14/13,2274,3268,3,1516
2/15/13,3731,8331,4,6116
2/16/13,4813,6269,5,7572
2/17/13,6977,4311,6,4906
2/18/13,6758,2805,0,953
2/19/13,3341,2508,1,120
2/20/13,2208,2323,2,235
2/21/13,1787,2485,3,933
2/22/13,2892,6167,4,4208
2/23/13,4993,5576,5,4791
2/24/13,5898,2185,6,1078
2/25/13,3214,2158,0,22
2/26/13,1963,1777,1,-164
2/27/13,2634,2726,2,-72
2/28/13,2513,3477,3,892
3/1/13,3496,7437,4,4833
3/2/13,5234,5784,5,5383
3/3/13,8610,3639,6,412
3/4/13,2793,2162,0,-219
3/5/13,2449,2412,1,-256
3/6/13,2555,2599,2,-212
3/7/13,2529,3535,3,794
3/8/13,3039,8765,4,6520
3/9/13,2503,3210,5,7227
3/10/13,2030,0,6,5197
3/11/13,5456,2818,0,2559
3/12/13,2403,2408,1,2564
3/13/13,2871,2822,2,2515
3/14/13,2916,3004,3,2603
3/15/13,3538,5475,4,4540
3/16/13,4194,4785,5,5131
3/17/13,5748,3284,6,2667
3/18/13,2861,2469,0,2275
3/19/13,2622,2430,1,2083
3/20/13,2709,2564,2,1938
3/21/13,2633,2829,3,2134
3/22/13,3140,5350,4,4344
3/23/13,2627,3304,5,5021
3/24/13,5139,3542,6,3424
3/25/13,3147,3009,0,3286
3/26/13,3222,3115,1,3179
3/27/13,3528,3499,2,3150
3/28/13,3529,3909,3,3530
3/29/13,4042,4728,4,4216
3/30/13,4558,3620,5,3278
3/31/13,4515,2400,6,1163
4/1/13,2534,2004,0,633
4/2/13,1958,1872,1,547
4/3/13,2123,2136,2,560
4/4/13,2488,2515,3,587
4/5/13,2544,3470,4,1513
4/6/13,3081,3253,5,1685
4/7/13,4163,2097,6,-381
4/8/13,1927,1617,0,-691
4/9/13,1045,1003,1,-733
4/10/13,1767,1732,2,-768
4/11/13,1754,2096,3,-426
4/12/13,2133,3545,4,986
4/13/13,2723,3084,5,1347
4/14/13,4079,2304,6,-428
4/15/13,1052,1143,0,-337
4/16/13,2062,1982,1,-417
4/17/13,1685,1672,2,-430
4/18/13,2211,2459,3,-182
4/19/13,2922,4906,4,1802
4/20/13,3417,4422,5,2807
4/21/13,6391,3359,6,-225
