FormattedDate,away_WP,to_WP,day_of_week,skiers,
11/13/13,1659,1791,2,0,
11/14/13,1714,1923,3,132,
11/15/13,1935,3269,4,341,
11/16/13,2005,2211,5,1675,
11/17/13,3362,1453,6,1881,
11/18/13,1821,1602,0,-28,
11/19/13,1642,1666,1,-247,
11/20/13,1638,1570,2,-223,
11/21/13,1269,1292,3,-291,
11/22/13,1509,2802,4,-268,
11/23/13,2006,2936,5,1025,
11/24/13,2927,2042,6,1955,
11/25/13,2085,2041,0,1070,
11/26/13,2186,2540,1,1026,
11/27/13,2693,4246,2,1380,
11/28/13,1954,2684,3,2933,
11/29/13,3517,4694,4,3663,
11/30/13,4777,3197,5,4840,
12/1/13,5048,1865,6,3260,
12/2/13,1965,1579,0,77,
12/3/13,1328,1544,1,-309,
12/4/13,1038,1190,2,-93,
12/5/13,1467,1692,3,59,
12/6/13,1673,3145,4,284,
12/7/13,3146,3603,5,1756,
12/8/13,3857,2042,6,2213,
12/9/13,1826,1607,0,398,
12/10/13,1637,1747,1,179,
12/11/13,1939,1971,2,289,
12/12/13,2068,2260,3,321,
12/13/13,2189,4321,4,513,
12/14/13,3964,4659,5,2645,
12/15/13,5638,3365,6,3340,
12/16/13,2521,2152,0,1067,
12/17/13,2177,2200,1,698,
12/18/13,2367,2370,2,721,
12/19/13,2230,2630,3,724,
12/20/13,2582,4628,4,1124,
12/21/13,3457,5015,5,3170,
12/22/13,4369,4001,6,4728,
12/23/13,4304,4299,0,4360,
12/24/13,3086,3563,1,4355,
12/25/13,3020,3384,2,4832,
12/26/13,4229,5805,3,5196,
12/27/13,5236,7241,4,6772,
12/28/13,5285,5831,5,8777,
12/29/13,5781,4570,6,9323,
12/30/13,5740,5492,0,8112,
12/31/13,4068,5065,1,7864,
1/1/14,6981,4681,2,8861,
1/2/14,5351,4436,3,6561,
1/3/14,5410,6077,4,5646,
1/4/14,4497,3863,5,6313,
1/5/14,6095,2785,6,5679,
1/6/14,3032,2249,0,2369,
1/7/14,2443,2458,1,1586,
1/8/14,2378,2361,2,1601,
1/9/14,2594,2852,3,1584,
1/10/14,2605,5570,4,1842,
1/11/14,5209,5669,5,4807,
1/12/14,5925,2439,6,5267,
1/13/14,2427,1877,0,1781,
1/14/14,1719,1646,1,1231,
1/15/14,2541,2596,2,1158,
1/16/14,2457,3021,3,1213,
1/17/14,2994,7369,4,1777,
1/18/14,5263,6432,5,6152,
1/19/14,5486,3158,6,7321,
1/20/14,6929,3011,0,4993,
1/21/14,2440,2152,1,1075,
1/22/14,2152,2199,2,787,
1/23/14,1835,2579,3,834,
1/24/14,2423,6463,4,1578,
1/25/14,4597,5286,5,5618,
1/26/14,7747,3245,6,6307,
1/27/14,2136,1563,0,1805,
1/28/14,2190,2164,1,1232,
1/29/14,2221,2389,2,1206,
1/30/14,1810,3045,3,1374,
1/31/14,2734,5773,4,2609,
2/1/14,4589,4853,5,5648,
2/2/14,6075,2815,6,5912,
2/3/14,2948,2066,0,2652,
2/4/14,1734,1710,1,1770,
2/5/14,1791,1863,2,1746,
2/6/14,1759,2542,3,1818,
2/7/14,2663,6546,4,2601,
2/8/14,4366,4934,5,6484,
2/9/14,7308,3037,6,7052,
2/10/14,2229,1459,0,2781,
2/11/14,2527,2329,1,2011,
2/12/14,2333,2522,2,1813,
2/13/14,2269,3704,3,2002,
2/14/14,3309,8141,4,3437,
2/15/14,3978,5451,5,8269,
2/16/14,6620,4056,6,9742,
2/17/14,7157,2865,0,7178,
2/18/14,3092,2398,1,2886,
2/19/14,2342,2415,2,2192,
2/20/14,2157,2948,3,2265,
2/21/14,2758,6916,4,3056,
2/22/14,4690,5230,5,7214,
2/23/14,8470,3714,6,7754,
2/24/14,3124,2144,0,2998,
2/25/14,1925,1924,1,2018,
2/26/14,2379,2542,2,2017,
2/27/14,2420,3124,3,2180,
2/28/14,3099,7066,4,2884,
3/1/14,4356,4820,5,6851,
3/2/14,4766,0,6,2085,
3/3/14,733,0,0,1352,
3/4/14,2095,2073,1,1330,
3/5/14,2494,2624,2,1460,
3/6/14,2552,3310,3,2218,
3/7/14,2513,4381,4,4086,
3/8/14,4836,6809,5,6059,
3/9/14,2615,0,6,3444,
3/10/14,2960,2666,0,3150,
3/11/14,1917,1870,1,3103,
3/12/14,2819,2849,2,3133,
3/13/14,2904,3142,3,3371,
3/14/14,3684,6110,4,5797,
3/15/14,4129,4834,5,6502,
3/16/14,6787,3842,6,3557,
3/17/14,2760,2396,0,3193,
3/18/14,2189,2058,1,3062,
3/19/14,2782,2684,2,2964,
3/20/14,2865,3046,3,3145,
3/21/14,3167,5548,4,5526,
3/22/14,3945,4736,5,6317,
3/23/14,6321,4035,6,4031,
3/24/14,3265,2865,0,3631,
3/25/14,3174,2987,1,3444,
3/26/14,3243,3150,2,3351,
3/27/14,2888,3281,3,3744,
3/28/14,3961,5555,4,5338,
3/29/14,4536,4106,5,4908,
3/30/14,5884,2728,6,1752,
3/31/14,2510,1928,0,1170,
4/1/14,2073,1928,1,1025,
4/2/14,2076,2159,2,1108,
4/3/14,2279,2587,3,1416,
4/4/14,3264,4728,4,2880,
4/5/14,3306,3493,5,3067,
4/6/14,4968,2660,6,759,
4/7/14,2187,1686,0,258,
4/8/14,1854,1779,1,183,
4/9/14,1901,1940,2,222,
4/10/14,1855,2145,3,512,
4/11/14,2195,3641,4,1958,
4/12/14,2812,3308,5,2454,
4/13/14,4024,2222,6,652,
4/14/14,2176,1671,0,147,
4/15/14,1822,1746,1,71,
4/16/14,1678,1657,2,50,
4/17/14,1836,2231,3,445,
4/18/14,2434,4299,4,2310,
4/19/14,2864,3389,5,2835,
4/20/14,4505,2044,6,374,
4/21/14,2493,1748,0,-371,
4/22/14,1686,1590,1,-467,
4/23/14,1642,1601,2,-508,
4/24/14,1704,1911,3,-301,
4/25/14,1956,2930,4,673,
4/26/14,2306,2641,5,1008,
