Date,tickets,is_CO,not_CO,search_vol,day_of_week,search*day
2014-10-31,77.0,27.0,10.0,509,4,2036
2014-11-01,64.0,14.0,21.0,683,5,3415
2014-11-02,79.0,18.0,11.0,419,6,2514
2014-11-03,35.0,9.0,10.0,341,0,0
2014-11-04,38.0,13.0,7.0,292,1,292
2014-11-05,58.0,8.0,2.0,281,2,562
2014-11-06,82.0,12.0,10.0,301,3,903
2014-11-07,47.0,6.0,12.0,453,4,1812
2014-11-08,87.0,22.0,27.0,771,5,3855
2014-11-09,69.0,20.0,17.0,520,6,3120
2014-11-10,19.0,4.0,5.0,371,0,0
2014-11-11,38.0,10.0,0.0,346,1,346
2014-11-12,16.0,7.0,2.0,360,2,720
2014-11-13,23.0,7.0,6.0,361,3,1083
2014-11-14,106.0,19.0,18.0,655,4,2620
2014-11-15,108.0,36.0,29.0,1309,5,6545
2014-11-16,69.0,26.0,13.0,949,6,5694
2014-11-17,46.0,14.0,10.0,564,0,0
2014-11-18,21.0,8.0,4.0,523,1,523
2014-11-19,29.0,9.0,3.0,497,2,994
2014-11-20,68.0,8.0,7.0,574,3,1722
2014-11-21,51.0,13.0,12.0,904,4,3616
2014-11-22,116.0,40.0,25.0,1687,5,8435
2014-11-23,74.0,21.0,12.0,1309,6,7854
2014-11-24,72.0,16.0,13.0,1565,0,0
2014-11-25,124.0,25.0,24.0,1894,1,1894
2014-11-26,155.0,30.0,34.0,2197,2,4394
2014-11-27,118.0,28.0,23.0,2669,3,8007
2014-11-28,230.0,40.0,48.0,3476,4,13904
2014-11-29,219.0,46.0,38.0,2910,5,14550
2014-11-30,104.0,35.0,17.0,1576,6,9456
2014-12-01,26.0,7.0,8.0,1025,0,0
2014-12-02,20.0,9.0,3.0,861,1,861
2014-12-03,17.0,7.0,3.0,922,2,1844
2014-12-04,34.0,12.0,13.0,1224,3,3672
2014-12-05,57.0,17.0,18.0,1935,4,7740
2014-12-06,158.0,52.0,31.0,3109,5,15545
2014-12-07,85.0,28.0,23.0,2134,6,12804
2014-12-08,44.0,12.0,15.0,1605,0,0
2014-12-09,37.0,13.0,6.0,1516,1,1516
2014-12-10,34.0,13.0,15.0,1678,2,3356
2014-12-11,36.0,8.0,16.0,2112,3,6336
2014-12-12,52.0,12.0,14.0,2815,4,11260
2014-12-13,148.0,39.0,28.0,3970,5,19850
2014-12-14,120.0,43.0,26.0,3263,6,19578
2014-12-15,92.0,27.0,27.0,3252,0,0
2014-12-16,87.0,24.0,16.0,3023,1,3023
2014-12-17,74.0,25.0,19.0,2894,2,5788
2014-12-18,99.0,24.0,30.0,3024,3,9072
2014-12-19,153.0,39.0,33.0,3778,4,15112
2014-12-20,851.0,127.0,215.0,5100,5,25500
2014-12-21,175.0,32.0,46.0,5521,6,33126
2014-12-22,165.0,31.0,27.0,6628,0,0
2014-12-23,188.0,43.0,43.0,6416,1,6416
2014-12-24,132.0,35.0,30.0,5757,2,11514
2014-12-25,225.0,58.0,33.0,6236,3,18708
2014-12-26,219.0,43.0,41.0,7202,4,28808
2014-12-27,280.0,45.0,61.0,9243,5,46215
2014-12-28,280.0,49.0,72.0,10267,6,61602
2014-12-29,298.0,53.0,66.0,12191,0,0
2014-12-30,199.0,30.0,56.0,11522,1,11522
2014-12-31,318.0,47.0,93.0,10516,2,21032
2015-01-01,359.0,56.0,78.0,10259,3,30777
2015-01-02,528.0,89.0,128.0,9708,4,38832
2015-01-03,413.0,73.0,91.0,8180,5,40900
2015-01-04,250.0,52.0,56.0,6499,6,38994
2015-01-05,192.0,41.0,47.0,6991,0,0
2015-01-06,149.0,30.0,45.0,6863,1,6863
2015-01-07,197.0,40.0,77.0,6812,2,13624
2015-01-08,157.0,37.0,56.0,6824,3,20472
2015-01-09,149.0,30.0,57.0,6700,4,26800
2015-01-10,276.0,66.0,72.0,7904,5,39520
2015-01-11,181.0,43.0,28.0,5565,6,33390
2015-01-12,117.0,24.0,39.0,4740,0,0
2015-01-13,107.0,21.0,31.0,4349,1,4349
2015-01-14,129.0,31.0,37.0,4439,2,8878
2015-01-15,129.0,27.0,38.0,4997,3,14991
2015-01-16,133.0,25.0,45.0,7260,4,29040
2015-01-17,229.0,51.0,71.0,10668,5,53340
2015-01-18,237.0,59.0,52.0,9115,6,54690
