,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
2015-11-15,,,1.3,18.0,2.5,2.25,2.25,1.3,,,,,,
2015-11-16,,,1.3,18.0,3.0,2.5,2.5,2.6,,,,,,
2015-11-17,,,1.3,19.5,3.25,2.5,2.75,3.9,,2.6,,,,
2015-11-18,,,1.3,18.0,3.75,2.5,2.0,5.2,,2.6,3.9,,,
2015-11-19,,,1.3,18.0,6.6,2.6,2.8,6.5,,2.6,3.9,5.2,,
2015-11-20,,,1.3,18.0,4.333333333,1.666666667,3.333333333,7.8,,2.6,3.9,5.2,6.5,
2015-11-21,,,1.3,18.0,7.0,2.333333333,5.0,9.1,,2.6,3.9,5.2,6.5,7.8
2015-11-22,,,1.3,18.0,5.8,3.0,4.4,10.4,9.1,2.6,3.9,5.2,6.5,7.8
2015-11-23,,,1.3,18.5,8.5,3.0,3.75,11.7,9.1,2.6,3.9,5.2,6.5,7.8
2015-11-24,,,1.3,19.0,7.25,3.75,4.0,13.0,9.1,2.6,3.9,5.2,6.5,7.8
2015-11-25,,,1.3,20.0,9.0,3.666666667,6.833333333,14.3,9.1,2.6,3.9,5.2,6.5,7.8
2015-11-26,,,1.3,22.33333333,17.0,5.333333333,9.666666667,15.6,9.1,2.6,3.9,5.2,6.5,7.8
2015-11-27,,,1.3,22.25,15.25,5.75,11.0,16.9,9.1,2.6,3.9,5.2,6.5,7.8
2015-11-28,,,1.3,23.0,24.66666667,9.0,17.66666667,18.2,9.1,2.6,3.9,5.2,6.5,7.8
2015-11-29,,,1.3,22.33333333,27.0,9.0,19.0,19.5,9.1,2.6,3.9,5.2,6.5,7.8
2015-11-30,,,1.3,20.4,20.8,9.4,13.4,20.8,9.1,2.6,3.9,5.2,6.5,7.8
2015-12-01,,,2.0,20.75,24.75,9.75,16.75,22.8,9.1,2.6,3.9,5.2,6.5,7.8
2015-12-02,,,2.0,20.5,25.0,9.25,16.75,24.8,9.8,3.3,4.6,5.9,7.2,8.5
2015-12-03,,,2.0,20.75,23.75,8.75,16.0,26.8,10.5,4.0,5.3,6.6,7.9,9.2
2015-12-04,,,2.0,21.25,24.0,7.75,16.25,28.8,11.2,4.0,6.0,7.3,8.6,9.9
2015-12-05,,,2.0,21.75,29.0,9.0,13.75,30.8,11.9,4.0,6.0,8.0,9.3,10.6
2015-12-06,,,2.0,21.5,33.75,12.25,21.5,32.8,12.6,4.0,6.0,8.0,10.0,11.3
2015-12-07,,,2.0,21.75,35.75,12.5,23.25,34.8,13.3,4.0,6.0,8.0,10.0,12.0
2015-12-08,,,2.0,21.75,35.5,12.0,23.25,36.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-09,,,2.0,21.75,36.75,12.5,23.5,38.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-10,,,2.0,21.75,38.5,12.0,24.0,40.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-11,,,2.0,24.5,42.0,11.75,25.75,42.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-12,,,2.0,23.25,44.0,11.25,26.25,44.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-13,,,2.0,23.25,55.25,14.5,34.5,46.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-14,,,2.0,24.0,59.0,15.2,36.6,48.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-15,,,2.0,29.8,60.6,15.4,38.2,50.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-16,,,2.0,29.0,63.25,14.5,38.0,52.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-17,,,2.0,29.25,63.25,14.75,38.75,54.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-18,,,2.0,30.25,67.5,15.0,41.75,56.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-19,,,2.0,35.25,70.25,15.5,41.75,58.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-20,,,2.0,32.5,76.25,17.0,44.75,60.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-21,,,2.0,33.25,83.0,18.25,54.0,62.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-22,,,2.0,36.6,87.0,17.8,54.6,64.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-23,,,2.0,37.0,88.5,18.25,57.0,66.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-24,,,2.0,36.5,89.75,18.5,57.5,68.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-25,,,2.0,37.0,91.75,18.75,58.5,70.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-26,,,2.0,36.5,95.0,19.75,58.5,72.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-27,,,2.0,37.25,99.25,20.25,59.75,74.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-28,,,2.0,37.75,106.75,21.0,62.0,76.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-29,,,2.0,38.5,105.25,20.25,61.75,78.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-30,,,2.0,39.0,103.0,20.25,62.5,80.8,14.0,4.0,6.0,8.0,10.0,12.0
2015-12-31,,,2.0,38.0,105.0,20.25,63.75,82.8,14.0,4.0,6.0,8.0,10.0,12.0
2016-01-01,,,1.7,40.25,106.75,20.5,64.75,84.5,14.0,4.0,6.0,8.0,10.0,12.0
2016-01-02,,,1.7,39.5,105.0,20.75,63.5,86.2,13.7,3.7,5.7,7.7,9.7,11.7
2016-01-03,,,1.7,38.5,108.0,21.25,64.25,87.9,13.4,3.4,5.4,7.4,9.4,11.4
2016-01-04,,,1.7,39.4,112.8,21.6,69.2,89.6,13.1,3.4,5.1,7.1,9.1,11.1
2016-01-05,,,1.7,40.0,111.0,20.25,65.25,91.3,12.8,3.4,5.1,6.8,8.8,10.8
2016-01-06,,,1.7,40.0,109.75,19.75,65.25,93.0,12.5,3.4,5.1,6.8,8.5,10.5
2016-01-07,,,1.7,40.0,109.0,18.33333333,68.66666667,94.7,12.2,3.4,5.1,6.8,8.5,10.2
2016-01-08,,,1.7,38.75,111.25,18.75,66.5,96.4,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-09,,,1.7,40.75,113.25,18.5,67.75,98.1,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-10,,,1.7,41.25,113.75,19.75,67.75,99.8,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-11,,,1.7,42.25,115.5,20.75,68.75,101.5,11.9,3.4,5.1,6.8,8.5,10.2
2016-01-12,,,1.7,44.75,117.0,20.25,69.75,103.2,11.9,3.4,5.1,6.8,8.5,10.2
