,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
2011-11-10,,,0.0,15.0,0.0,0.0,0.0,0.0,,,,,,
2011-11-11,,,,,,,,,,,,,,
2011-11-12,5.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,,,,,,
2011-11-13,6.0,44.0,1.0,18.0,0.0,0.0,0.0,1.0,,0.0,,,,
2011-11-14,0.0,-1467.0,3.0,18.0,0.0,0.0,0.0,4.0,,1.0,1.0,,,
2011-11-15,1.0,-1580.0,0.0,18.0,0.0,0.0,0.0,4.0,,4.0,4.0,4.0,,
2011-11-16,2.0,-1315.0,1.0,18.0,0.0,0.0,0.0,5.0,,3.0,4.0,4.0,4.0,
2011-11-17,3.0,-1202.0,1.0,18.0,0.0,0.0,0.0,6.0,,1.0,4.0,5.0,5.0,5.0
2011-11-18,4.0,-1176.0,0.0,18.0,0.0,0.0,0.0,6.0,6.0,2.0,2.0,5.0,6.0,6.0
2011-11-19,5.0,23.0,1.0,18.0,0.0,0.0,0.0,7.0,6.0,1.0,2.0,2.0,5.0,6.0
2011-11-20,6.0,738.0,4.0,18.0,0.0,0.0,0.0,11.0,7.0,1.0,2.0,3.0,3.0,6.0
2011-11-21,0.0,-546.0,0.0,18.0,0.0,0.0,0.0,11.0,10.0,5.0,5.0,6.0,7.0,7.0
2011-11-22,1.0,-635.0,2.0,18.0,0.0,0.0,0.0,13.0,7.0,4.0,5.0,5.0,6.0,7.0
2011-11-23,2.0,-265.0,0.0,18.0,0.0,0.0,0.0,13.0,9.0,2.0,6.0,7.0,7.0,8.0
2011-11-24,3.0,1369.0,0.0,18.0,0.0,0.0,0.0,13.0,8.0,2.0,2.0,6.0,7.0,7.0
2011-11-25,4.0,2162.0,0.0,18.0,0.0,0.0,0.0,13.0,7.0,0.0,2.0,2.0,6.0,7.0
2011-11-26,5.0,3350.0,3.0,18.0,0.0,0.0,0.0,16.0,7.0,0.0,0.0,2.0,2.0,6.0
2011-11-27,,,0.0,18.0,0.0,0.0,0.0,16.0,9.0,3.0,3.0,3.0,5.0,5.0
2011-11-28,0.0,1909.0,0.0,18.0,0.0,0.0,0.0,16.0,5.0,3.0,3.0,3.0,3.0,5.0
2011-11-29,1.0,1503.0,0.0,18.0,0.0,0.0,0.0,16.0,5.0,0.0,3.0,3.0,3.0,3.0
2011-11-30,2.0,1526.0,0.0,18.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,3.0,3.0,3.0
2011-12-01,3.0,1567.0,0.0,18.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,3.0,3.0
2011-12-02,4.0,1721.0,0.0,18.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,3.0
2011-12-03,5.0,3347.0,0.0,18.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0
2011-12-04,6.0,3675.0,3.0,18.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-05,0.0,1950.0,1.0,18.0,0.0,0.0,0.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0
2011-12-06,1.0,1830.0,0.0,18.0,18.0,6.0,7.0,20.0,4.0,4.0,4.0,4.0,4.0,4.0
2011-12-07,2.0,1825.0,0.0,18.0,17.0,6.0,7.0,20.0,4.0,1.0,4.0,4.0,4.0,4.0
2011-12-08,3.0,1853.0,0.0,18.0,17.0,6.0,7.0,20.0,4.0,0.0,1.0,4.0,4.0,4.0
2011-12-09,4.0,2104.0,1.0,18.0,19.0,6.0,7.0,21.0,4.0,0.0,0.0,1.0,4.0,4.0
2011-12-10,5.0,3566.0,0.0,18.0,21.0,8.0,7.0,21.0,5.0,1.0,1.0,1.0,2.0,5.0
2011-12-11,6.0,3791.0,0.0,18.0,21.0,7.0,7.0,21.0,5.0,1.0,1.0,1.0,1.0,2.0
2011-12-12,0.0,2081.0,0.0,18.0,21.0,6.0,7.0,21.0,2.0,0.0,1.0,1.0,1.0,1.0
2011-12-13,1.0,1916.0,0.0,18.0,22.0,8.0,7.0,21.0,1.0,0.0,0.0,1.0,1.0,1.0
2011-12-14,2.0,1940.0,1.0,18.0,23.0,8.0,8.0,22.0,1.0,0.0,0.0,0.0,1.0,1.0
2011-12-15,3.0,1962.0,3.0,21.0,23.0,8.0,8.0,25.0,2.0,1.0,1.0,1.0,1.0,2.0
2011-12-16,4.0,2239.0,0.0,21.0,32.0,12.0,12.0,25.0,5.0,4.0,4.0,4.0,4.0,4.0
2011-12-17,5.0,4009.0,0.0,21.0,31.0,13.0,15.0,25.0,4.0,3.0,4.0,4.0,4.0,4.0
2011-12-18,6.0,4964.0,0.0,21.0,34.0,14.0,15.0,25.0,4.0,0.0,3.0,4.0,4.0,4.0
2011-12-19,0.0,4146.0,0.0,21.0,37.0,14.0,15.0,25.0,4.0,0.0,0.0,3.0,4.0,4.0
2011-12-20,1.0,4004.0,0.0,21.0,37.0,13.0,15.0,25.0,4.0,0.0,0.0,0.0,3.0,4.0
2011-12-21,2.0,4216.0,0.0,21.0,37.0,13.0,15.0,25.0,4.0,0.0,0.0,0.0,0.0,3.0
2011-12-22,3.0,4245.0,6.0,26.0,38.0,13.0,15.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0
2011-12-23,4.0,4651.0,0.0,26.0,42.0,13.0,20.0,31.0,6.0,6.0,6.0,6.0,6.0,6.0
2011-12-24,5.0,5516.0,0.0,26.0,42.0,14.0,20.0,31.0,6.0,6.0,6.0,6.0,6.0,6.0
2011-12-25,6.0,5962.0,0.0,26.0,42.0,14.0,20.0,31.0,6.0,0.0,6.0,6.0,6.0,6.0
2011-12-26,0.0,6518.0,0.0,26.0,54.0,14.0,20.0,31.0,6.0,0.0,0.0,6.0,6.0,6.0
2011-12-27,1.0,7406.0,0.0,26.0,58.0,15.0,20.0,31.0,6.0,0.0,0.0,0.0,6.0,6.0
2011-12-28,2.0,7807.0,0.0,26.0,65.0,15.0,20.0,31.0,6.0,0.0,0.0,0.0,0.0,6.0
2011-12-29,3.0,8210.0,0.0,26.0,67.0,15.0,20.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0
2011-12-30,4.0,8632.0,0.0,26.0,56.0,14.0,20.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-31,5.0,9640.0,0.0,26.0,55.0,14.0,20.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,6.0,9685.0,4.0,28.0,55.0,14.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02,0.0,6655.0,0.0,28.0,56.0,14.0,20.0,35.0,4.0,4.0,4.0,4.0,4.0,4.0
2012-01-03,1.0,3654.0,0.0,28.0,63.0,15.0,20.0,35.0,4.0,4.0,4.0,4.0,4.0,4.0
2012-01-04,2.0,3024.0,0.0,28.0,63.0,15.0,20.0,35.0,4.0,0.0,4.0,4.0,4.0,4.0
