,away_WP,to_WP,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
11/13/11,2882,1371,6,44,1,18,0,0,0,1,9.1,2.6,3.9,5.2,6.5,7.8
11/14/11,1720,1607,0,-1467,1,18,0,0,0,4,9.1,2,3.9,5.2,6.5,7.8
11/15/11,1539,1804,1,-1580,1,18,0,0,0,4,9.1,2,3,5.2,6.5,7.8
11/16/11,1695,1808,2,-1315,1,18,0,0,0,5,9.1,2,3,4,6.5,7.8
11/17/11,1890,1916,3,-1202,1,18,0,0,0,6,9.1,2,3,4,5,7.8
11/18/11,2008,3207,4,-1176,0,18,0,0,0,6,9.1,1,2,3,4,5
11/19/11,1922,2637,5,23,1,18,0,0,0,7,6,1,2,3,4,5
11/20/11,3566,2282,6,738,4,18,0,0,0,11,9,5,5,6,7,8
11/21/11,2202,2113,0,-546,0,18,0,0,0,11,8,4,5,5,6,7
11/22/11,2294,2664,1,-635,2,18,0,0,0,13,9,2,6,7,7,8
11/23/11,2723,4357,2,-265,0,18,0,0,0,13,8,2,2,6,7,7
11/24/11,1911,2704,3,1369,0,18,0,0,0,13,7,0,2,2,6,7
11/25/11,3131,4319,4,2162,0,18,0,0,0,13,7,0,0,2,2,6
11/26/11,4287,2846,5,3350,3,18,0,0,0,16,9,3,3,3,5,5
11/27/11,3029,0,6,321,0,18,0,0,0,16,5,3,3,3,3,5
11/28/11,1976,1570,0,-85,0,18,0,0,0,16,5,0,3,3,3,3
11/29/11,1696,1719,1,-62,0,18,0,0,0,16,3,0,0,3,3,3
11/30/11,1851,1892,2,-21,0,18,0,0,0,16,3,0,0,0,3,3
12/1/11,1181,1335,3,133,0,18,0,0,0,16,3,0,0,0,0,3
12/2/11,1891,3517,4,1759,0,18,0,0,0,16,3,0,0,0,0,0
12/3/11,2467,2795,5,2087,0,18,0,0,0,16,0,0,0,0,0,0
12/4/11,3790,2065,6,362,3,18,0,0,0,19,3,3,3,3,3,3
12/5/11,1660,1540,0,242,1,18,0,0,0,20,4,4,4,4,4,4
12/6/11,1703,1698,1,237,0,18,18,6,7,20,4,1,4,4,4,4
12/7/11,1866,1894,2,265,0,18,17,6,7,20,4,0,1,4,4,4
12/8/11,1728,1979,3,516,0,18,17,6,7,20,4,0,0,1,4,4
12/9/11,2074,3536,4,1978,1,18,19,6,7,21,5,1,1,1,2,5
12/10/11,3360,3585,5,2203,0,18,21,8,7,21,5,1,1,1,1,2
12/11/11,4003,2293,6,493,0,18,21,7,7,21,2,0,1,1,1,1
12/12/11,2008,1843,0,328,0,18,21,6,7,21,1,0,0,1,1,1
12/13/11,1761,1785,1,352,0,18,22,8,7,21,1,0,0,0,1,1
12/14/11,1803,1825,2,374,1,18,23,8,8,22,2,1,1,1,1,2
12/15/11,1980,2257,3,651,3,21,23,8,8,25,5,4,4,4,4,4
12/16/11,2433,4203,4,2421,0,21,32,12,12,25,4,3,4,4,4,4
12/17/11,3240,4195,5,3376,0,21,31,13,15,25,4,0,3,4,4,4
12/18/11,3959,3141,6,2558,0,21,34,14,15,25,4,0,0,3,4,4
12/19/11,2866,2724,0,2416,0,21,37,14,15,25,4,0,0,0,3,4
12/20/11,2817,3029,1,2628,0,21,37,13,15,25,4,0,0,0,0,3
12/21/11,3232,3261,2,2657,0,21,37,13,15,25,3,0,0,0,0,0
12/22/11,2247,2653,3,3063,6,26,38,13,15,31,6,6,6,6,6,6
12/23/11,3815,4680,4,3928,0,26,42,13,20,31,6,6,6,6,6,6
12/24/11,2582,3028,5,4374,0,26,42,14,20,31,6,0,6,6,6,6
12/25/11,2246,2802,6,4930,0,26,42,14,20,31,6,0,0,6,6,6
12/26/11,4887,5775,0,5818,0,26,54,14,20,31,6,0,0,0,6,6
12/27/11,4241,4642,1,6219,0,26,58,15,20,31,6,0,0,0,0,6
12/28/11,4208,4611,2,6622,0,26,65,15,20,31,6,0,0,0,0,0
12/29/11,4260,4682,3,7044,0,26,67,15,20,31,0,0,0,0,0,0
12/30/11,4908,5916,4,8052,0,26,56,14,20,31,0,0,0,0,0,0
12/31/11,3346,3391,5,8097,0,26,55,14,20,31,0,0,0,0,0,0
1/1/12,5730,2700,6,5067,4,28,55,14,20,35,4,4,4,4,4,4
1/2/12,6268,3267,0,2066,0,28,56,14,20,35,4,4,4,4,4,4
1/3/12,2924,2294,1,1436,0,28,63,15,20,35,4,0,4,4,4,4
