FormattedDate,away_WP,to_WP,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
11/17/12,2081,2627,5,2690,1,18,4,3,3,1,7.130573248,2.6,3.9,5.2,6.5,7.8
11/18/12,3084,1778,6,1384,0,18,5,3,4,1,7.130573248,1,3.9,5.2,6.5,7.8
11/19/12,2062,2050,0,1372,0,18,5,3,4,1,7.130573248,0,1,5.2,6.5,7.8
11/20/12,2063,2480,1,1789,0,18,2,1,2,1,7.130573248,0,0,1,6.5,7.8
11/21/12,2452,3941,2,3278,1.3,18,2,1,2,2.3,7.130573248,1.3,1.3,1.3,6.5,7.8
11/22/12,1606,2288,3,3960,0,18,3.5,4,3,2.3,7.13,1.3,1.3,1.3,1.3,2.3
11/23/12,2910,3722,4,4772,1.3,18,3.5,4,3,3.6,3.6,1.3,2.6,2.6,2.6,2.6
11/24/12,3756,2276,5,3292,0,18,5,7,4,3.6,2.6,1.3,1.3,2.6,2.6,2.6
11/25/12,4037,1411,6,666,0,18,5,7,4,3.6,2.6,0,1.3,1.3,2.6,2.6
11/26/12,1691,1325,0,300,1.3,18,5,7,4,4.9,3.9,1.3,1.3,2.6,2.6,3.9
11/27/12,1489,1510,1,321,0,18,5,7,4,4.9,3.9,1.3,1.3,1.3,2.6,2.6
11/28/12,1569,1627,2,379,1.3,18,5,7,4,6.2,3.9,1.3,2.6,2.6,2.6,3.9
11/29/12,1606,1683,3,456,1.3,18,5,7,4,7.5,5.2,2.6,2.6,3.9,3.9,3.9
11/30/12,1812,2977,4,1621,0,18,6.5,8,5,7.5,3.9,1.3,2.6,2.6,3.9,3.9
12/1/12,2623,3007,5,2005,0,18,7,5,1,7.5,3.9,0,1.3,2.6,2.6,3.9
12/2/12,3278,1834,6,561,0,18,7,5,1,7.5,3.9,0,0,1.3,2.6,2.6
12/3/12,1619,1509,0,451,1,18,7,5,1,8.5,3.6,1,1,1,2.3,3.6
12/4/12,1506,1486,1,431,0,18,7,5,1,8.5,3.6,1,1,1,1,2.3
12/5/12,1665,1602,2,368,0,18,7,5,1,8.5,2.3,0,1,1,1,1
12/6/12,1472,1648,3,544,0,18,7,10,1,8.5,1,0,0,1,1,1
12/7/12,1729,3081,4,1896,1,18,7,5,1,9.5,2,1,1,1,2,2
12/8/12,2218,2781,5,2459,7,18,7,5,1,16.5,9,8,8,8,8,9
12/9/12,3709,1983,6,733,7,18,9,10,2,23.5,16,14,15,15,15,15
12/10/12,1650,1480,0,563,0,18,10,6,2,23.5,15,7,14,15,15,15
12/11/12,1556,1624,1,631,3,29,14,7,2,26.5,18,3,10,17,18,18
12/12/12,1790,1815,2,656,0,27,18,6,2,26.5,18,3,3,10,17,18
12/13/12,2058,2280,3,878,0,27,28,10,10,26.5,18,0,3,3,10,17
12/14/12,2104,3676,4,2450,0,26,34,10,10,26.5,17,0,0,3,3,10
12/15/12,3083,3662,5,3029,2,25,37,11,11,28.5,12,2,2,2,5,5
12/16/12,4333,2646,6,1342,6,30,38,11,11,34.5,11,8,8,8,8,11
12/17/12,2316,2006,0,1032,4,32,39,11,11,38.5,15,10,12,12,12,12
12/18/12,1899,2206,1,1339,8,36,42,11,15,46.5,20,12,18,20,20,20
12/19/12,2044,2217,2,1512,2,43,52,11,17,48.5,22,10,14,20,22,22
12/20/12,2886,3276,3,1902,1,42,54,13,27,49.5,23,3,11,15,21,23
12/21/12,3244,5032,4,3690,0,40,80,15,50,49.5,23,1,3,11,15,21
12/22/12,3570,5142,5,5262,0,38,86.5,16,50,49.5,21,0,1,3,11,15
12/23/12,3989,3784,6,5057,0,37,87,16,50,49.5,15,0,0,1,3,11
12/24/12,3259,3069,0,4867,0,36,90,16,50,49.5,11,0,0,0,1,3
12/25/12,2526,2573,1,4914,3,37,94,17,51,52.5,6,3,3,3,3,4
12/26/12,4084,5026,2,5856,3,39,95,21,51,55.5,7,6,6,6,6,6
12/27/12,4022,5183,3,7017,8,45,97,21,51,63.5,14,11,14,14,14,14
12/28/12,5002,6651,4,8666,6,47,112,22,57,69.5,20,14,17,20,20,20
12/29/12,5407,6092,5,9351,1,43,113,21,57,70.5,21,7,15,18,21,21
12/30/12,5443,4805,6,8713,0,45,115,22,60,70.5,21,1,7,15,18,21
12/31/12,4031,4050,0,8732,0,42,117,22,60,70.5,21,0,1,7,15,18
1/1/13,6971,3616,1,5377,3,42,117,23,60,73.5,21,3,3,4,10,18
1/2/13,4260,3422,2,4539,1,43,117,23,60,74.5,19,4,4,4,5,11
1/3/13,3783,3768,3,4524,0,43,118,23,60,74.5,11,1,4,4,4,5
1/4/13,4313,5621,4,5832,0,40,118,23,60,74.5,5,0,1,4,4,4
1/5/13,5692,5289,5,5429,0,39,123,23,60,74.5,4,0,0,1,4,4
1/6/13,6573,3779,6,2635,0,39,118,23,60,74.5,4,0,0,0,1,4
1/7/13,3051,2336,0,1920,1.7,39,118,23,60,76.2,5.7,1.7,1.7,1.7,1.7,2.7
1/8/13,2328,2210,1,1802,0,38,118,20,60,76.2,2.7,1.7,1.7,1.7,1.7,1.7
1/9/13,2386,2336,2,1752,0,38,118,20,60,76.2,1.7,0,1.7,1.7,1.7,1.7
1/10/13,2558,2749,3,1943,0,38,118,19,60,76.2,1.7,0,0,1.7,1.7,1.7
1/11/13,2599,4453,4,3797,0,37,118,19,60,76.2,1.7,0,0,0,1.7,1.7
1/12/13,3147,3457,5,4107,6,42,118,23,60,82.2,7.7,6,6,6,6,7.7
1/13/13,5051,2393,6,1449,1,43,119,19,60,83.2,8.7,7,7,7,7,7
1/14/13,2060,1698,0,1087,0,42,117,19,60,83.2,7,1,7,7,7,7
1/15/13,1830,1781,1,1038,0,42,119,19,60,83.2,7,0,1,7,7,7
1/16/13,2255,2405,2,1188,1,42,119,19,60,84.2,8,1,1,2,8,8
1/17/13,2393,2981,3,1776,0,42,120,19,60,84.2,8,1,1,1,2,8
1/18/13,3096,6813,4,5493,0,42,120,18,62,84.2,8,0,1,1,1,2
1/19/13,4526,6207,5,7174,0,41,120,18,62,84.2,2,0,0,1,1,1
1/20/13,6446,4043,6,4771,0,41,120,23,65,84.2,1,0,0,0,1,1
1/21/13,6284,2727,0,1214,0,40,120,23,65,84.2,1,0,0,0,0,1
1/22/13,2344,2016,1,886,0,40,121,18,70,84.2,1,0,0,0,0,0
1/23/13,2055,2134,2,965,0,40,121,18,70,84.2,0,0,0,0,0,0
1/24/13,1998,2529,3,1496,0,39,121,18,70,84.2,0,0,0,0,0,0
1/25/13,2195,5652,4,4953,0,39,121,18,70,84.2,0,0,0,0,0,0
1/26/13,4269,5001,5,5685,0,39,121,23,70,84.2,0,0,0,0,0,0
1/27/13,7131,2912,6,1466,1,39,121,23,70,85.2,1,1,1,1,1,1
1/28/13,2332,1724,0,858,1,41,121,18,70,86.2,2,2,2,2,2,2
1/29/13,1944,2004,1,918,5,41,121,18,70,91.2,7,6,7,7,7,7
1/30/13,1936,2100,2,1082,0,46,121,18,70,91.2,7,5,6,7,7,7
1/31/13,2116,2718,3,1684,4,48,121,18,70,95.2,11,4,9,10,11,11
2/1/13,3031,6329,4,4982,1,48,128,19,70,96.2,12,5,5,10,11,12
2/2/13,5237,5933,5,5678,6,53,128,19,70,102.2,18,7,11,11,16,17
2/3/13,7605,4279,6,2352,0,51,128,21.5,70,102.2,17,6,7,11,11,16
2/4/13,3407,2760,0,1705,2.2,50,128,21.5,70,104.4,18.2,2.2,8.2,9.2,13.2,13.2
2/5/13,3019,2362,1,1048,0,49,128,18,70,104.4,13.2,2.2,2.2,8.2,9.2,13.2
2/6/13,2342,2373,2,1079,0,49,128,18,70,104.4,13.2,0,2.2,2.2,8.2,9.2
2/7/13,2277,2897,3,1699,5,51,128,20,70,109.4,14.2,5,5,7.2,7.2,13.2
2/8/13,2923,6500,4,5276,2,51,128,20,70,111.4,15.2,7,7,7,9.2,9.2
2/9/13,4110,5160,5,6326,0,50,128,23,70,111.4,9.2,2,7,7,7,9.2
2/10/13,8294,3996,6,2028,6,55,128,23,70,117.4,15.2,6,8,13,13,13
2/11/13,3100,2261,0,1189,3,56,128,19,70,120.4,16,9,9,11,16,16
2/12/13,2348,2289,1,1130,2,56,128,20,70,122.4,18,5,11,11,13,18
2/13/13,2333,2493,2,1290,1,55,129,20,70,123.4,19,3,6,12,12,14
2/14/13,2274,3268,3,2284,5,60,129,19,70,128.4,19,6,8,11,17,17
2/15/13,3731,8331,4,6884,4,59,129,19,70,132.4,21,9,10,12,15,21
2/16/13,4813,6269,5,8340,1,56,129,25,70,133.4,22,5,10,11,13,16
2/17/13,6977,4311,6,5674,0.5,57,129,25,70,133.9,16.5,1.5,5.5,10.5,11.5,13.5
2/18/13,6758,2805,0,1721,1,56,129,24,70,134.9,14.5,1.5,2.5,6.5,11.5,12.5
2/19/13,3341,2508,1,888,1,55,129,19,70,135.9,13.5,2,2.5,3.5,7.5,12.5
2/20/13,2208,2323,2,1003,0,55,129,19,70,135.9,12.5,1,2,2.5,3.5,7.5
2/21/13,1787,2485,3,1701,1,55,129,19,70,136.9,8.5,1,2,3,3.5,4.5
2/22/13,2892,6167,4,4976,4,59,130,19,91,140.9,8.5,5,5,6,7,7.5
2/23/13,4993,5576,5,5559,1,57,130,24,91,141.9,8.5,5,6,6,7,8
2/24/13,5898,2185,6,1846,3,59,130,24,91,144.9,11,4,8,9,9,10
2/25/13,3214,2158,0,790,2,59,130,24,91,146.9,12,5,6,10,11,11
2/26/13,1963,1777,1,604,0,59,130,20,91,146.9,11,2,5,6,10,11
2/27/13,2634,2726,2,696,6,60,131,19,92,152.9,17,6,8,11,12,16
2/28/13,2513,3477,3,1660,1,60,131,19,92,153.9,17,7,7,9,12,13
3/1/13,3496,7437,4,5601,5,63,134,19,94,158.9,18,6,12,12,14,17
3/2/13,5234,5784,5,6151,1,63,134,24,94,159.9,18,6,7,13,13,15
3/3/13,8610,3639,6,1180,0,61,135,24,95,159.9,15,1,6,7,13,13
3/4/13,2793,2162,0,549,5,64,135,19,95,164.9,18,5,6,11,12,18
3/5/13,2449,2412,1,512,4,66,135,19,95,168.9,22,9,9,10,15,16
3/6/13,2555,2599,2,556,0,65,135,19,95,168.9,16,4,9,9,10,15
3/7/13,2529,3535,3,1562,0,64,135,19,95,168.9,15,0,4,9,9,10
3/8/13,3039,8765,4,7288,0,62,135,20,95,168.9,10,0,0,4,9,9
3/9/13,2503,3210,5,7995,4,63,135,24,95,172.9,13,4,4,4,8,13
3/10/13,2030,0,6,5965,0,68,135,19,95,172.9,13,4,4,4,4,8
3/11/13,5456,2818,0,3327,0,67,135,20,95,172.9,8,0,4,4,4,4
3/12/13,2403,2408,1,3332,4,70,135,23,95,176.9,8,4,4,8,8,8
3/13/13,2871,2822,2,3283,1,71,135,21,95,177.9,9,5,5,5,9,9
3/14/13,2916,3004,3,3371,0,68,135,21,95,177.9,9,1,5,5,5,9
3/15/13,3538,5475,4,5308,0,68,135,19,95,177.9,9,0,1,5,5,5
3/16/13,4194,4785,5,5899,0,65,135,24,95,177.9,5,0,0,1,5,5
3/17/13,5748,3284,6,3435,1,64,135,23,95,178.9,6,1,1,1,2,6
3/18/13,2861,2469,0,3043,6,69,135,20,95,184.9,12,7,7,7,7,8
3/19/13,2622,2430,1,2851,1,66,135,20,95,185.9,9,7,8,8,8,8
3/20/13,2709,2564,2,2706,0,66,135,19,95,185.9,8,1,7,8,8,8
3/21/13,2633,2829,3,2902,2,67,135,19,95,187.9,10,2,3,9,10,10
3/22/13,3140,5350,4,5112,6,70,135,20,95,193.9,16,8,8,9,15,16
3/23/13,2627,3304,5,5789,2,73,135,24,95,195.9,18,8,10,10,11,17
3/24/13,5139,3542,6,4192,1,72,135,24,95,196.9,18,3,9,11,11,12
3/25/13,3147,3009,0,4054,0,71,135,21,95,196.9,12,1,3,9,11,11
3/26/13,3222,3115,1,3947,0,70,135,21,95,196.9,11,0,1,3,9,11
3/27/13,3528,3499,2,3918,2,71,135,19,95,198.9,13,2,2,3,5,11
3/28/13,3529,3909,3,4298,0,69,135,19,95,198.9,11,2,2,2,3,5
3/29/13,4042,4728,4,4984,0,68,135,19,95,198.9,5,0,2,2,2,3
3/30/13,4558,3620,5,4046,0,68,135,24,95,198.9,3,0,0,2,2,2
3/31/13,4515,2400,6,1931,1,68,135,23,95,199.9,3,1,1,1,3,3
4/1/13,2534,2004,0,1401,0,67,135,20,95,199.9,3,1,1,1,1,3
4/2/13,1958,1872,1,1315,0,65,130,20,91,199.9,3,0,1,1,1,1
4/3/13,2123,2136,2,1328,1,65,130,19,91,200.9,2,1,1,2,2,2
4/4/13,2488,2515,3,1355,0,68,130,19,91,200.9,2,1,1,1,2,2
4/5/13,2544,3470,4,2281,0,65,130,19,91,200.9,2,0,1,1,1,2
4/6/13,3081,3253,5,2453,4,68,130,22,91,204.9,6,4,4,5,5,5
4/7/13,4163,2097,6,387,0,67,130,22,91,204.9,5,4,4,4,5,5
4/8/13,1927,1617,0,77,3,68,130,20,91,207.9,8,3,7,7,7,8
4/9/13,1045,1003,1,35,2,70,130,19,91,209.9,10,5,5,9,9,9
4/10/13,1767,1732,2,0,1,70,130,19,91,210.9,10,3,6,6,10,10
4/11/13,1754,2096,3,342,4,72,130,19,91,214.9,14,5,7,10,10,14
4/12/13,2133,3545,4,1754,2,72,130,19,91,216.9,16,6,7,9,12,12
4/13/13,2723,3084,5,2115,0,74,130,23,91,216.9,12,2,6,7,9,12
4/14/13,4079,2304,6,340,10,78,130,22,91,226.9,22,10,12,16,17,19
4/15/13,1052,1143,0,431,5.5,81,130,20,91,232.4,24.5,15.5,15.5,17.5,21.5,22.5
4/16/13,2062,1982,1,351,12,92,130,19,91,244.4,34.5,17.5,27.5,27.5,29.5,33.5
4/17/13,1685,1672,2,338,1,89,130,19,91,245.4,34.5,13,18.5,28.5,28.5,30.5
4/18/13,2211,2459,3,586,6,92,130,19,91,251.4,36.5,7,19,24.5,34.5,34.5
4/19/13,2922,4906,4,2570,5,93,130,21,91,256.4,39.5,11,12,24,29.5,39.5
4/20/13,3417,4422,5,3575,0,90,130,21,91,256.4,39.5,5,11,12,24,29.5
4/21/13,6391,3359,6,543,2,88,130,21,91,258.4,31.5,2,7,13,14,26
