,away_WP,to_WP,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
11/16/13,2005,2211,5,2190,4,18,3,3,3,4,9.1,2.6,3.9,5.2,6.5,7.8
11/17/13,3362,1453,6,281,12,24,3,3,3,16,9.1,4,3.9,5.2,6.5,7.8
11/18/13,1821,1602,0,62,7,18,3,3,3,23,9.1,16,23,5.2,6.5,7.8
11/19/13,1642,1666,1,86,0,18,10,3,2,23,9.1,19,19,23,6.5,7.8
11/20/13,1638,1570,2,18,1.3,18,10,3,2,23,9.1,7,8.3,20.3,24.3,7.8
11/21/13,1269,1292,3,41,1,18,10,3,7,24,9.1,1.3,2.3,9.3,21.3,25.3
11/22/13,1509,2802,4,1334,3,18,10,3,7,27,9.1,2.3,5.3,5.3,12.3,24.3
11/23/13,2006,2936,5,2264,1,19,11,4,3,28.5,28.3,4,5,6.3,6.3,13.3
11/24/13,2927,2042,6,1379,0,18,12,4,3,29,25.3,4,4,5,6.3,6.3
11/25/13,2085,2041,0,1335,2,18,13,3,10,31,13.3,1,3,6,7,8.3
11/26/13,2186,2540,1,1689,0,18,25,8,10,31,8.3,2,2,3,6,7
11/27/13,2693,4246,2,3242,0,23,30,8,21,31,8.3,2,2,2,3,6
11/28/13,1954,2684,3,3972,0,22,31,9,22,31,7,0,0,2,2,3
11/29/13,3517,4694,4,5149,0,22,37,9,26,31,6,0,0,0,2,2
11/30/13,4777,3197,5,3569,0,22,48,13,26,31,3,0,0,0,0,2
12/1/13,5048,1865,6,386,0,22,49,16,35,31,2,0,0,0,0,0
12/2/13,1965,1579,0,0,1,22,50,14,35,32,2,0,1,1,1,1
12/3/13,1328,1544,1,216,2,23,45,12,32,34,1,1,3,3,3,3
12/4/13,1038,1190,2,368,4,26,46,11,33,38,3,3,7,7,7,7
12/5/13,1467,1692,3,593,3,29,66,16,23,41,7,6,9,10,10,10
12/6/13,1673,3145,4,2065,0,28,67,15,47,41,10,7,7,9,10,10
12/7/13,3146,3603,5,2522,1,29,76,21,54,42,10,3,4,8,10,11
12/8/13,3857,2042,6,707,3,29,75,21,54,45,11,1,4,7,11,13
12/9/13,1826,1607,0,488,2,29,76,19,54,47,14,4,6,6,9,13
12/10/13,1637,1747,1,598,1,29,80,19,56,48,15,5,6,7,7,10
12/11/13,1939,1971,2,630,0,29,85,18,60,48,14,3,3,6,7,7
12/12/13,2068,2260,3,822,0,27,90,18,63,48,10,1,1,3,6,7
12/13/13,2189,4321,4,2954,0,27,108,20,76,48,7,0,0,1,3,6
12/14/13,3964,4659,5,3649,4,30,102,20,72,52,7,0,4,4,5,7
12/15/13,5638,3365,6,1376,2,29,101,20,72,54,10,4,6,6,6,7
12/16/13,2521,2152,0,1007,0,31,106,19,75,54,9,6,6,6,6,6
12/17/13,2177,2200,1,1030,0,31,109,19,77,54,7,2,2,6,6,6
12/18/13,2367,2370,2,1033,0,30,109,19,77,54,6,0,0,2,6,6
12/19/13,2230,2630,3,1433,0,39,104,19,73,54,6,0,0,0,2,6
12/20/13,2582,4628,4,3479,1,28,107,19,75,55,6,0,1,1,1,3
12/21/13,3457,5015,5,5037,8,36,107,23,75,63,7,1,9,9,9,9
12/22/13,4369,4001,6,4669,6,36,115,22,81,69,11,9,15,15,15,15
12/23/13,4304,4299,0,4664,4,40,115,22,81,73,15,14,18,19,19,19
12/24/13,3086,3563,1,5141,1,38,116,22,82,74,19,10,11,19,20,20
12/25/13,3020,3384,2,5505,4,38,116,22,82,78,20,5,9,15,23,24
12/26/13,4229,5805,3,7081,0,37,116,22,82,78,24,5,5,9,15,23
12/27/13,5236,7241,4,9086,0,36,123,22,87,78,24,4,4,5,9,15
12/28/13,5285,5831,5,9632,0,35,130,23,87,78,23,0,0,4,5,9
12/29/13,5781,4570,6,8421,8,39,123,23,87,86,15,0,8,8,12,13
12/30/13,5740,5492,0,8173,2,39,123,23,87,88,17,8,10,10,10,14
12/31/13,4068,5065,1,9170,1,40,129,23,91,89,15,10,11,11,11,11
1/1/14,6981,4681,2,6870,8,49,130,22,91,97,15,3,11,19,19,19
1/2/14,5351,4436,3,5955,2,45,123,23,87,99,19,9,11,13,21,21
1/3/14,5410,6077,4,6622,0,41,125,23,88,99,21,10,10,11,13,21
1/4/14,4497,3863,5,5988,3.5,42,126,23,88.5,103.5,21,2,5.5,13.5,14.5,16.5
1/5/14,6095,2785,6,2678,4,45,127,23,89,110,24.5,3.5,7.5,9.5,17.5,18.5
1/6/14,3032,2249,0,1895,1,45,127,21,89,111,20.5,7.5,8.5,8.5,10.5,18.5
1/7/14,2443,2458,1,1910,0,45,133,21,94,111,19.5,5,5,8.5,8.5,10.5
1/8/14,2378,2361,2,1893,3,45,133,21,94,114,18.5,1,4,8,11.5,11.5
1/9/14,2594,2852,3,2151,3,45,133,20,94,117,13.5,3,6,7,11,14.5
1/10/14,2605,5570,4,5116,5,48,135,20,95,122,14.5,6,11,11,12,16
1/11/14,5209,5669,5,5576,7,52,134,23,94,129,19.5,8,15,18,18,19
1/12/14,5925,2439,6,2090,0,52,132,23,93,129,23,12,12,15,18,18
1/13/14,2427,1877,0,1540,9,55,133,21,94,138,19,7,16,21,24,27
1/14/14,1719,1646,1,1467,4,56,141,21,99,142,27,9,13,20,25,28
1/15/14,2541,2596,2,1522,1,58,141,17,99,143,31,13,14,14,21,26
1/16/14,2457,3021,3,2086,0,50,138,20,97,143,29,5,5,14,14,21
1/17/14,2994,7369,4,6461,0,49,134,20,94,143,26,1,1,5,14,14
1/18/14,5263,6432,5,7630,0,47,134,23,94,143,21,0,0,1,5,14
1/19/14,5486,3158,6,5302,0,47,134,23,94,143,14,0,0,0,1,5
1/20/14,6929,3011,0,1384,0,47,141,24,99,143,14,0,0,0,0,1
1/21/14,2440,2152,1,1096,0,47,142,23,100,143,5,0,0,0,0,0
1/22/14,2152,2199,2,1143,0,45,142,19,100,143,1,0,0,0,0,0
1/23/14,1835,2579,3,1887,0,45,134,19,94,143,0,0,0,0,0,0
1/24/14,2423,6463,4,5927,0,45,134,19,94,143,0,0,0,0,0,0
1/25/14,4597,5286,5,6616,0,44,134,20,94,143,0,0,0,0,0,0
1/26/14,7747,3245,6,2114,0,44,134,23,94,143,0,0,0,0,0,0
1/27/14,2136,1563,0,1541,1,44,142,18,100,144,0,0,1,1,1,1
1/28/14,2190,2164,1,1515,11,56,127,18,89,155,1,1,12,12,12,12
1/29/14,2221,2389,2,1683,0,56,127,18,89,155,12,12,12,12,12,12
1/30/14,1810,3045,3,2918,11,60,121,18,85,166,12,11,22,23,23,23
1/31/14,2734,5773,4,5957,13,69,127.5,20.5,89.5,185,23,11,24,35,36,36
2/1/14,4589,4853,5,6221,4,70,135,25,94,196,36,24,28,28,39,40
2/2/14,6075,2815,6,2961,2,72,135,23,94,198,40,17,19,30,30,41
2/3/14,2948,2066,0,2079,0,67,135,20,95,198,42,6,6,19,30,30
2/4/14,1734,1710,1,2055,2,66,135,20,95,200,41,2,4,8,21,32
2/5/14,1791,1863,2,2127,2,66,143,20,100,202,32,2,4,6,10,23
2/6/14,1759,2542,3,2910,3,66,143,20,100,205,34,4,7,7,9,13
2/7/14,2663,6546,4,6793,4,70,143,20,100,209,26,5,9,11,11,13
2/8/14,4366,4934,5,7361,4,70,143,20,100,213,17,7,11,13,15,15
2/9/14,7308,3037,6,3090,6,73,143,23,100,219,17,8,14,17,19,21
2/10/14,2229,1459,0,2320,8,76,143,20,100,227,21,10,18,22,25,27
2/11/14,2527,2329,1,2122,3,76,143,20,100,230,29,14,17,21,25,28
2/12/14,2333,2522,2,2311,0,77,143,20,100,230,30,11,11,17,21,25
2/13/14,2269,3704,3,3746,6,80,143,20,100,236,28,3,9,17,23,27
2/14/14,3309,8141,4,8578,7,83,143,19,100,243,31,6,13,16,24,30
2/15/14,3978,5451,5,10051,1,83,134,24,100,244,34,13,14,14,17,25
2/16/14,6620,4056,6,7487,0,83,135,24,95,244,31,8,8,14,14,17
2/17/14,7157,2865,0,3195,2,80,135,24,95,246,25,1,3,10,16,16
2/18/14,3092,2398,1,2501,0,75,143,20,100,246,19,2,2,3,10,16
2/19/14,2342,2415,2,2574,0,72,140,20,98,246,16,2,2,2,3,10
2/20/14,2157,2948,3,3365,6,77,135,20,95,252,16,0,6,8,8,9
2/21/14,2758,6916,4,7523,2.2,77,135,20,95,252,16,6,8.2,8.2,10.2,10.2
2/22/14,4690,5230,5,8063,1,74,135,25,95,253,11.2,8.2,9.2,9.2,9.2,11.2
2/23/14,8470,3714,6,3307,7,76,135,23,95,260,11.2,3.2,10.2,16.2,16.2,16.2
2/24/14,3124,2144,0,2327,0,78,142,20,100,260,18.2,8,8,10.2,16.2,16.2
2/25/14,1925,1924,1,2326,0,77,142,20,100,260,16.2,7,7,8,10.2,16.2
2/26/14,2379,2542,2,2489,1.5,75,142,20,100,262,16.2,0,1.5,8.5,9.5,11.7
2/27/14,2420,3124,3,3193,0,74,135,19,95,263,17.7,1.5,1.5,1.5,8.5,9.5
2/28/14,3099,7066,4,7160,7,78,135,19,95,270,11.7,1.5,8.5,8.5,8.5,15.5
3/1/14,4356,4820,5,7624,2,79,135,25,95,272,16.5,7,9,10.5,10.5,10.5
3/2/14,4766,0,6,2858,7,83,135,24,95,279,17.5,9,16,16,17.5,17.5
3/3/14,733,0,0,2125,1,82,143,19,100,280,17.5,9,10,17,17,18.5
3/4/14,2095,2073,1,2103,1,82,143,19,100,281,18.5,8,9,11,18,18
3/5/14,2494,2624,2,2233,5,82,143,19,100,286,19.5,2,7,14,16,23
3/6/14,2552,3310,3,2991,0,81,135,19,95,286,23,6,6,7,14,16
3/7/14,2513,4381,4,4859,1,78,135,19,95,287,23,5,6,7,8,15
3/8/14,4836,6809,5,6832,12,87,135,19,95,299,17,1,13,18,19,20
3/9/14,2615,0,6,4217,0,87,135,23,95,299,27,13,13,13,18,19
3/10/14,2960,2666,0,3923,0,87,135,23,95,299,20,12,12,13,13,18
3/11/14,1917,1870,1,3876,2,89,135,20,95,301,19,0,2,14,15,15
3/12/14,2819,2849,2,3906,1.5,89,135,19,95,303,20,2,3.5,3.5,15.5,16.5
3/13/14,2904,3142,3,4144,0,85,135,19,95,304,16.5,3.5,3.5,3.5,3.5,15.5
3/14/14,3684,6110,4,6570,0,83,135,21,95,304,16.5,1.5,1.5,3.5,3.5,3.5
3/15/14,4129,4834,5,7275,0,82,135,21,95,304,15.5,0,0,1.5,3.5,3.5
3/16/14,6787,3842,6,4330,1,82,135,23,95,305,3.5,0,1,1,2.5,4.5
3/17/14,2760,2396,0,3966,0,82,135,19,95,305,4.5,1,1,1,1,2.5
3/18/14,2189,2058,1,3835,4,85,135,19,95,309,4.5,1,5,5,5,5
3/19/14,2782,2684,2,3737,2,84,135,20,95,311,6.5,4,6,7,7,7
3/20/14,2865,3046,3,3918,0,83,141,20,99,311,7,6,6,6,7,7
3/21/14,3167,5548,4,6299,0,81,141,20,99,311,7,2,2,6,6,7
3/22/14,3945,4736,5,7090,0,80,141,25,99,311,7,0,0,2,6,6
3/23/14,6321,4035,6,4804,5,82,141,22,99,316,7,0,5,5,7,11
3/24/14,3265,2865,0,4404,1.7,82,141,22,99,316,11,5,6.7,6.7,6.7,8.7
3/25/14,3174,2987,1,4217,0,83,141,22,99,316,12.7,6.7,6.7,6.7,6.7,6.7
3/26/14,3243,3150,2,4124,0,80,141,22,99,316,8.7,1.7,1.7,6.7,6.7,6.7
3/27/14,2888,3281,3,4517,4,80,141,22,99,320,6.7,0,4,5.7,10.7,10.7
3/28/14,3961,5555,4,6111,5,85,141,24,99,325,10.7,4,9,9,10.7,15.7
3/29/14,4536,4106,5,5681,1,84,141,24,99,326,15.7,9,10,10,10,11.7
3/30/14,5884,2728,6,2525,0,84,141,23,99,326,16.7,6,6,10,10,10
3/31/14,2510,1928,0,1943,5,85,143,20,100,331,11.7,1,6,11,15,15
4/1/14,2073,1928,1,1798,1,85,143,19,100,332,15,5,6,7,12,16
4/2/14,2076,2159,2,1881,1,87,143,20,100,333,16,6,7,7,8,13
4/3/14,2279,2587,3,2189,10,93,143,19,100,343,17,2,12,17,17,18
4/4/14,3264,4728,4,3653,3,94,143,19,100,346,23,11,14,15,20,20
4/5/14,3306,3493,5,3840,0,90,143,24,100,346,21,13,13,14,15,20
4/6/14,4968,2660,6,1532,3,91,143,23,100,349,20,3,6,16,17,18
4/7/14,2187,1686,0,1031,2,92,143,19,100,351,23,3,5,8,18,19
4/8/14,1854,1779,1,956,1,92,143,19,100,352,20,5,6,6,9,19
4/9/14,1901,1940,2,995,0,90,143,19,100,352,20,3,3,6,6,9
4/10/14,1855,2145,3,1285,0,84,143,19,100,352,19,1,1,3,6,6
4/11/14,2195,3641,4,2731,0,83,143,19,100,352,9,0,0,1,3,6
4/12/14,2812,3308,5,3227,0,82,143,23,100,352,6,0,0,0,1,3
4/13/14,4024,2222,6,1425,1,81,143,22,100,353,6,0,1,1,1,2
4/14/14,2176,1671,0,920,3,81,143,19,100,356,4,1,4,4,4,4
4/15/14,1822,1746,1,844,0,81,143,19,100,356,5,4,4,4,4,4
4/16/14,1678,1657,2,823,2,81,143,19,100,358,4,3,5,6,6,6
4/17/14,1836,2231,3,1218,0,81,143,19,100,358,6,2,2,5,6,6
4/18/14,2434,4299,4,3083,0,81,143,19,100,358,6,2,2,2,5,6
4/19/14,2864,3389,5,3608,0,78,143,22,100,358,6,0,0,2,2,5
4/20/14,4505,2044,6,1147,1,78,143,21,100,359,6,0,1,1,3,3
4/21/14,2493,1748,0,402,0,77,108,8,76,360,6,1,1,1,1,3
4/22/14,1686,1590,1,306,0,77,112,8,79,360,3,1,1,1,1,1
4/23/14,1642,1601,2,265,0,77,112,9,79,360,3,0,0,1,1,1
4/24/14,1704,1911,3,472,1,91,112,9,79,361,1,0,1,1,2,2
4/25/14,1956,2930,4,1446,0,75,101,8,71,361,2,1,1,1,1,2
4/26/14,2306,2641,5,1781,0,75,95,8,67,361,2,1,1,1,1,1
