,away_WP,to_WP,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot,day_0,day_4,day_5,day_6,midweek,month_1,month_2,month_3,month_4,month_11,month_12,days_since_start,vet_day,thanksgiv,xmas,mlk_day,pres_day,xmas_sat,mlk_sat,xmas_sun,mlk_sun,xmas_fri,mlk_fri,xmas_mon,mlk_mon,spring_break,new_24_sq,new_24_cu,new_24_sqrt,ln_new_24,basedepth_sq,basedepth_cu,basedepth_sqrt,ln_basedepth,open_trails_sq,open_trails_cu,open_trails_sqrt,ln_open_trails,open_lifts_sq,open_lifts_cu,open_lifts_sqrt,ln_open_lifts,open_percent_sq,open_percent_cu,open_percent_sqrt,ln_open_percent,tot_snow_sq,tot_snow_cu,tot_snow_sqrt,ln_tot_snow,week_snow_tot_sq,week_snow_tot_cu,week_snow_tot_sqrt,ln_week_snow_tot,2day_snow_tot_sq,2day_snow_tot_cu,2day_snow_tot_sqrt,ln_2day_snow_tot,3day_snow_tot_sq,3day_snow_tot_cu,3day_snow_tot_sqrt,ln_3day_snow_tot,4day_snow_tot_sq,4day_snow_tot_cu,4day_snow_tot_sqrt,ln_4day_snow_tot,5day_snow_tot_sq,5day_snow_tot_cu,5day_snow_tot_sqrt,ln_5day_snow_tot,6day_snow_tot_sq,6day_snow_tot_cu,6day_snow_tot_sqrt,ln_6day_snow_tot,days_since_start_sq,days_since_start_cu,days_since_start_sqrt,ln_days_since_start
11/13/11,2882,1371,2691,1,18,0,0,0,1,9.1,2.6,3.9,5.2,6.5,7.8,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,324,5832,4.242640687,2.890371758,0,0,0,#NAME?,0,0,0,#NAME?,0,0,0,#NAME?,1,1,1,0,82.81,753.571,3.016620626,2.208274414,6.76,17.576,1.61245155,0.955511445,15.21,59.319,1.974841766,1.360976553,27.04,140.608,2.28035085,1.648658626,42.25,274.625,2.549509757,1.871802177,60.84,474.552,2.792848009,2.054123734,1,1,1,0
11/14/11,1720,1607,2578,1,18,0,0,0,4,9.1,2,3.9,5.2,6.5,7.8,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,324,5832,4.242640687,2.890371758,0,0,0,#NAME?,0,0,0,#NAME?,0,0,0,#NAME?,16,64,2,1.386294361,82.81,753.571,3.016620626,2.208274414,4,8,1.414213562,0.693147181,15.21,59.319,1.974841766,1.360976553,27.04,140.608,2.28035085,1.648658626,42.25,274.625,2.549509757,1.871802177,60.84,474.552,2.792848009,2.054123734,4,8,1.414213562,0.693147181
11/15/11,1539,1804,2843,1,18,0,0,0,4,9.1,2,3,5.2,6.5,7.8,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,324,5832,4.242640687,2.890371758,0,0,0,#NAME?,0,0,0,#NAME?,0,0,0,#NAME?,16,64,2,1.386294361,82.81,753.571,3.016620626,2.208274414,4,8,1.414213562,0.693147181,9,27,1.732050808,1.098612289,27.04,140.608,2.28035085,1.648658626,42.25,274.625,2.549509757,1.871802177,60.84,474.552,2.792848009,2.054123734,9,27,1.732050808,1.098612289
11/16/11,1695,1808,2956,1,18,0,0,0,5,9.1,2,3,4,6.5,7.8,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,324,5832,4.242640687,2.890371758,0,0,0,#NAME?,0,0,0,#NAME?,0,0,0,#NAME?,25,125,2.236067978,1.609437912,82.81,753.571,3.016620626,2.208274414,4,8,1.414213562,0.693147181,9,27,1.732050808,1.098612289,16,64,2,1.386294361,42.25,274.625,2.549509757,1.871802177,60.84,474.552,2.792848009,2.054123734,16,64,2,1.386294361
11/17/11,1890,1916,2982,1,18,0,0,0,6,9.1,2,3,4,5,7.8,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,324,5832,4.242640687,2.890371758,0,0,0,#NAME?,0,0,0,#NAME?,0,0,0,#NAME?,36,216,2.449489743,1.791759469,82.81,753.571,3.016620626,2.208274414,4,8,1.414213562,0.693147181,9,27,1.732050808,1.098612289,16,64,2,1.386294361,25,125,2.236067978,1.609437912,60.84,474.552,2.792848009,2.054123734,25,125,2.236067978,1.609437912
11/18/11,2008,3207,4181,0,18,0,0,0,6,9.1,1,2,3,4,5,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,324,5832,4.242640687,2.890371758,0,0,0,#NAME?,0,0,0,#NAME?,0,0,0,#NAME?,36,216,2.449489743,1.791759469,82.81,753.571,3.016620626,2.208274414,1,1,1,0,4,8,1.414213562,0.693147181,9,27,1.732050808,1.098612289,16,64,2,1.386294361,25,125,2.236067978,1.609437912,36,216,2.449489743,1.791759469
11/19/11,1922,2637,4896,1,18,0,0,0,7,6,1,2,3,4,5,0,0,1,0,0,0,0,0,0,1,0,7,0,739,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,324,5832,4.242640687,2.890371758,0,0,0,#NAME?,0,0,0,#NAME?,0,0,0,#NAME?,49,343,2.645751311,1.945910149,36,216,2.449489743,1.791759469,1,1,1,0,4,8,1.414213562,0.693147181,9,27,1.732050808,1.098612289,16,64,2,1.386294361,25,125,2.236067978,1.609437912,49,343,2.645751311,1.945910149
11/20/11,3566,2282,3612,4,18,0,0,0,11,9,5,5,6,7,8,0,0,0,1,0,0,0,0,0,1,0,8,0,-1098,0,0,0,0,0,0,0,0,0,0,0,0,16,64,2,1.386294361,324,5832,4.242640687,2.890371758,0,0,0,#NAME?,0,0,0,#NAME?,0,0,0,#NAME?,121,1331,3.31662479,2.397895273,81,729,3,2.197224577,25,125,2.236067978,1.609437912,25,125,2.236067978,1.609437912,36,216,2.449489743,1.791759469,49,343,2.645751311,1.945910149,64,512,2.828427125,2.079441542,64,512,2.828427125,2.079441542
11/21/11,2202,2113,3523,0,18,0,0,0,11,8,4,5,5,6,7,1,0,0,0,0,0,0,0,0,1,0,9,0,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,324,5832,4.242640687,2.890371758,0,0,0,#NAME?,0,0,0,#NAME?,0,0,0,#NAME?,121,1331,3.31662479,2.397895273,64,512,2.828427125,2.079441542,16,64,2,1.386294361,25,125,2.236067978,1.609437912,25,125,2.236067978,1.609437912,36,216,2.449489743,1.791759469,49,343,2.645751311,1.945910149,81,729,3,2.197224577
11/22/11,2294,2664,3893,2,18,0,0,0,13,9,2,6,7,7,8,0,0,0,0,1,0,0,0,0,1,0,10,0,367,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1.414213562,0.693147181,324,5832,4.242640687,2.890371758,0,0,0,#NAME?,0,0,0,#NAME?,0,0,0,#NAME?,169,2197,3.605551275,2.564949357,81,729,3,2.197224577,4,8,1.414213562,0.693147181,36,216,2.449489743,1.791759469,49,343,2.645751311,1.945910149,49,343,2.645751311,1.945910149,64,512,2.828427125,2.079441542,100,1000,3.16227766,2.302585093
