FormattedDate,away_WP,to_WP,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot,day_0,day_4,day_5,day_6,midweek,month_1,month_2,month_3,month_4,month_11,month_12,vet_day,thanksgiv,xmas,mlk_day,pres_day,xmas_sat,mlk_sat,xmas_sun,mlk_sun,xmas_fri,mlk_fri,xmas_mon,mlk_mon,spring_break,spring_break_ends,new_24_sq,new_24_cu,new_24_sqrt,ln_new_24,basedepth_sq,basedepth_cu,basedepth_sqrt,ln_basedepth,open_trails_sq,open_trails_cu,open_trails_sqrt,ln_open_trails,open_lifts_sq,open_lifts_cu,open_lifts_sqrt,ln_open_lifts,open_percent_sq,open_percent_cu,open_percent_sqrt,ln_open_percent,tot_snow_sq,tot_snow_cu,tot_snow_sqrt,ln_tot_snow,week_snow_tot_sq,week_snow_tot_cu,week_snow_tot_sqrt,ln_week_snow_tot,2day_snow_tot_sq,2day_snow_tot_cu,2day_snow_tot_sqrt,ln_2day_snow_tot,3day_snow_tot_sq,3day_snow_tot_cu,3day_snow_tot_sqrt,ln_3day_snow_tot,4day_snow_tot_sq,4day_snow_tot_cu,4day_snow_tot_sqrt,ln_4day_snow_tot,5day_snow_tot_sq,5day_snow_tot_cu,5day_snow_tot_sqrt,ln_5day_snow_tot,6day_snow_tot_sq,6day_snow_tot_cu,6day_snow_tot_sqrt,ln_6day_snow_tot,day_0_sq,day_0_cu,day_0_sqrt,ln_day_0,day_4_sq,day_4_cu,day_4_sqrt,ln_day_4,day_5_sq,day_5_cu,day_5_sqrt,ln_day_5,day_6_sq,day_6_cu,day_6_sqrt,ln_day_6,midweek_sq,midweek_cu,midweek_sqrt,ln_midweek,month_1_sq,month_1_cu,month_1_sqrt,ln_month_1,month_2_sq,month_2_cu,month_2_sqrt,ln_month_2,month_3_sq,month_3_cu,month_3_sqrt,ln_month_3,month_4_sq,month_4_cu,month_4_sqrt,ln_month_4,month_11_sq,month_11_cu,month_11_sqrt,ln_month_11,month_12_sq,month_12_cu,month_12_sqrt,ln_month_12,vet_day_sq,vet_day_cu,vet_day_sqrt,ln_vet_day,thanksgiv_sq,thanksgiv_cu,thanksgiv_sqrt,ln_thanksgiv,xmas_sq,xmas_cu,xmas_sqrt,ln_xmas,mlk_day_sq,mlk_day_cu,mlk_day_sqrt,ln_mlk_day,pres_day_sq,pres_day_cu,pres_day_sqrt,ln_pres_day,xmas_sat_sq,xmas_sat_cu,xmas_sat_sqrt,ln_xmas_sat,mlk_sat_sq,mlk_sat_cu,mlk_sat_sqrt,ln_mlk_sat,xmas_sun_sq,xmas_sun_cu,xmas_sun_sqrt,ln_xmas_sun,mlk_sun_sq,mlk_sun_cu,mlk_sun_sqrt,ln_mlk_sun,xmas_fri_sq,xmas_fri_cu,xmas_fri_sqrt,ln_xmas_fri,mlk_fri_sq,mlk_fri_cu,mlk_fri_sqrt,ln_mlk_fri,xmas_mon_sq,xmas_mon_cu,xmas_mon_sqrt,ln_xmas_mon,mlk_mon_sq,mlk_mon_cu,mlk_mon_sqrt,ln_mlk_mon,spring_break_sq,spring_break_cu,spring_break_sqrt,ln_spring_break,spring_break_ends_sq,spring_break_ends_cu,spring_break_ends_sqrt,ln_spring_break_ends
2012-11-17,2081,2627,1376,1.0,18,4.0,3.0,3,1.0,7.130573248,2.6,3.9,5.2,6.5,7.8,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,739,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,0.0,324,5832,4.24264068712,2.8903717579,16.0,64.0,2.0,1.38629436112,9.0,27.0,1.73205080757,1.09861228867,9,27,1.73205080757,1.09861228867,1.0,1.0,1.0,0.0,50.8450748451,362.554530483,2.67031332394,1.96439163063,6.76,17.576,1.61245154966,0.955511445027,15.21,59.319,1.97484176581,1.36097655314,27.04,140.608,2.2803508502,1.64865862559,42.25,274.625,2.5495097568,1.8718021769,60.84,474.552,2.79284800875,2.0541237337,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,546121,403583419,27.1845544381,6.60529792095,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2012-11-18,3084,1778,1922,0.0,18,5.0,3.0,4,1.0,7.130573248,1.0,3.9,5.2,6.5,7.8,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,-1098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-inf,324,5832,4.24264068712,2.8903717579,25.0,125.0,2.2360679775,1.60943791243,9.0,27.0,1.73205080757,1.09861228867,16,64,2.0,1.38629436112,1.0,1.0,1.0,0.0,50.8450748451,362.554530483,2.67031332394,1.96439163063,1.0,1.0,1.0,0.0,15.21,59.319,1.97484176581,1.36097655314,27.04,140.608,2.2803508502,1.64865862559,42.25,274.625,2.5495097568,1.8718021769,60.84,474.552,2.79284800875,2.0541237337,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,1205604,-1323753192,,,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2012-11-19,2062,2050,616,0.0,18,5.0,3.0,4,1.0,7.130573248,0.0,1.0,5.2,6.5,7.8,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,-33,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-inf,324,5832,4.24264068712,2.8903717579,25.0,125.0,2.2360679775,1.60943791243,9.0,27.0,1.73205080757,1.09861228867,16,64,2.0,1.38629436112,1.0,1.0,1.0,0.0,50.8450748451,362.554530483,2.67031332394,1.96439163063,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,27.04,140.608,2.2803508502,1.64865862559,42.25,274.625,2.5495097568,1.8718021769,60.84,474.552,2.79284800875,2.0541237337,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,1089,-35937,,,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2012-11-20,2063,2480,604,0.0,18,2.0,1.0,2,1.0,7.130573248,0.0,0.0,1.0,6.5,7.8,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,367,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-inf,324,5832,4.24264068712,2.8903717579,4.0,8.0,1.41421356237,0.69314718056,1.0,1.0,1.0,0.0,4,8,1.41421356237,0.69314718056,1.0,1.0,1.0,0.0,50.8450748451,362.554530483,2.67031332394,1.96439163063,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,42.25,274.625,2.5495097568,1.8718021769,60.84,474.552,2.79284800875,2.0541237337,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1,1,1.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,134689,49430863,19.1572440607,5.90536184805,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2012-11-21,2452,3941,1021,1.3,18,2.0,1.0,2,2.3,7.130573248,1.3,1.3,1.3,6.5,7.8,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,1622,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.69,2.197,1.1401754251,0.262364264467,324,5832,4.24264068712,2.8903717579,4.0,8.0,1.41421356237,0.69314718056,1.0,1.0,1.0,0.0,4,8,1.41421356237,0.69314718056,5.29,12.167,1.51657508881,0.832909122935,50.8450748451,362.554530483,2.67031332394,1.96439163063,1.69,2.197,1.1401754251,0.262364264467,1.69,2.197,1.1401754251,0.262364264467,1.69,2.197,1.1401754251,0.262364264467,42.25,274.625,2.5495097568,1.8718021769,60.84,474.552,2.79284800875,2.0541237337,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1,1,1.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,2630884,4267293848,40.2740611312,7.39141523468,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2012-11-22,1606,2288,2510,0.0,18,3.5,4.0,3,2.3,7.13,1.3,1.3,1.3,1.3,2.3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,775,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-inf,324,5832,4.24264068712,2.8903717579,12.25,42.875,1.87082869339,1.2527629685,16.0,64.0,2.0,1.38629436112,9,27,1.73205080757,1.09861228867,5.29,12.167,1.51657508881,0.832909122935,50.8369,362.467097,2.67020598456,1.96431123443,1.69,2.197,1.1401754251,0.262364264467,1.69,2.197,1.1401754251,0.262364264467,1.69,2.197,1.1401754251,0.262364264467,1.69,2.197,1.1401754251,0.262364264467,5.29,12.167,1.51657508881,0.832909122935,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1,1,1.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,600625,465484375,27.8388218142,6.65286302935,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2012-11-23,2910,3722,3192,1.3,18,3.5,4.0,3,3.6,3.6,1.3,2.6,2.6,2.6,2.6,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,1094,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.69,2.197,1.1401754251,0.262364264467,324,5832,4.24264068712,2.8903717579,12.25,42.875,1.87082869339,1.2527629685,16.0,64.0,2.0,1.38629436112,9,27,1.73205080757,1.09861228867,12.96,46.656,1.8973665961,1.28093384546,12.96,46.656,1.8973665961,1.28093384546,1.69,2.197,1.1401754251,0.262364264467,6.76,17.576,1.61245154966,0.955511445027,6.76,17.576,1.61245154966,0.955511445027,6.76,17.576,1.61245154966,0.955511445027,6.76,17.576,1.61245154966,0.955511445027,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,1196836,1309338584,33.0756708171,6.99759598298,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2012-11-24,3756,2276,4004,0.0,18,5.0,7.0,4,3.6,2.6,1.3,1.3,2.6,2.6,2.6,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,-1576,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-inf,324,5832,4.24264068712,2.8903717579,25.0,125.0,2.2360679775,1.60943791243,49.0,343.0,2.64575131106,1.94591014906,16,64,2.0,1.38629436112,12.96,46.656,1.8973665961,1.28093384546,6.76,17.576,1.61245154966,0.955511445027,1.69,2.197,1.1401754251,0.262364264467,1.69,2.197,1.1401754251,0.262364264467,6.76,17.576,1.61245154966,0.955511445027,6.76,17.576,1.61245154966,0.955511445027,6.76,17.576,1.61245154966,0.955511445027,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,2483776,-3914430976,,,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2012-11-25,4037,1411,2524,0.0,18,5.0,7.0,4,3.6,2.6,0.0,1.3,1.3,2.6,2.6,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,-3029,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-inf,324,5832,4.24264068712,2.8903717579,25.0,125.0,2.2360679775,1.60943791243,49.0,343.0,2.64575131106,1.94591014906,16,64,2.0,1.38629436112,12.96,46.656,1.8973665961,1.28093384546,6.76,17.576,1.61245154966,0.955511445027,0.0,0.0,0.0,-inf,1.69,2.197,1.1401754251,0.262364264467,1.69,2.197,1.1401754251,0.262364264467,6.76,17.576,1.61245154966,0.955511445027,6.76,17.576,1.61245154966,0.955511445027,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,9174841,-27790593389,,,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2012-11-26,1691,1325,-102,1.3,18,5.0,7.0,4,4.9,3.9,1.3,1.3,2.6,2.6,3.9,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,-397,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.69,2.197,1.1401754251,0.262364264467,324,5832,4.24264068712,2.8903717579,25.0,125.0,2.2360679775,1.60943791243,49.0,343.0,2.64575131106,1.94591014906,16,64,2.0,1.38629436112,24.01,117.649,2.21359436212,1.58923520512,15.21,59.319,1.97484176581,1.36097655314,1.69,2.197,1.1401754251,0.262364264467,1.69,2.197,1.1401754251,0.262364264467,6.76,17.576,1.61245154966,0.955511445027,6.76,17.576,1.61245154966,0.955511445027,15.21,59.319,1.97484176581,1.36097655314,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,157609,-62570773,,,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
