,away_WP,to_WP,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot,day_0,day_4,day_5,day_6,midweek,month_1,month_2,month_3,month_4,month_11,month_12,vet_day,thanksgiv,xmas,mlk_day,pres_day,xmas_sat,mlk_sat,xmas_sun,mlk_sun,xmas_fri,mlk_fri,xmas_mon,mlk_mon,spring_break,spring_break_ends,new_24_sq,new_24_cu,new_24_sqrt,ln_new_24,basedepth_sq,basedepth_cu,basedepth_sqrt,ln_basedepth,open_trails_sq,open_trails_cu,open_trails_sqrt,ln_open_trails,open_lifts_sq,open_lifts_cu,open_lifts_sqrt,ln_open_lifts,open_percent_sq,open_percent_cu,open_percent_sqrt,ln_open_percent,tot_snow_sq,tot_snow_cu,tot_snow_sqrt,ln_tot_snow,week_snow_tot_sq,week_snow_tot_cu,week_snow_tot_sqrt,ln_week_snow_tot,2day_snow_tot_sq,2day_snow_tot_cu,2day_snow_tot_sqrt,ln_2day_snow_tot,3day_snow_tot_sq,3day_snow_tot_cu,3day_snow_tot_sqrt,ln_3day_snow_tot,4day_snow_tot_sq,4day_snow_tot_cu,4day_snow_tot_sqrt,ln_4day_snow_tot,5day_snow_tot_sq,5day_snow_tot_cu,5day_snow_tot_sqrt,ln_5day_snow_tot,6day_snow_tot_sq,6day_snow_tot_cu,6day_snow_tot_sqrt,ln_6day_snow_tot,day_0_sq,day_0_cu,day_0_sqrt,ln_day_0,day_4_sq,day_4_cu,day_4_sqrt,ln_day_4,day_5_sq,day_5_cu,day_5_sqrt,ln_day_5,day_6_sq,day_6_cu,day_6_sqrt,ln_day_6,midweek_sq,midweek_cu,midweek_sqrt,ln_midweek,month_1_sq,month_1_cu,month_1_sqrt,ln_month_1,month_2_sq,month_2_cu,month_2_sqrt,ln_month_2,month_3_sq,month_3_cu,month_3_sqrt,ln_month_3,month_4_sq,month_4_cu,month_4_sqrt,ln_month_4,month_11_sq,month_11_cu,month_11_sqrt,ln_month_11,month_12_sq,month_12_cu,month_12_sqrt,ln_month_12,vet_day_sq,vet_day_cu,vet_day_sqrt,ln_vet_day,thanksgiv_sq,thanksgiv_cu,thanksgiv_sqrt,ln_thanksgiv,xmas_sq,xmas_cu,xmas_sqrt,ln_xmas,mlk_day_sq,mlk_day_cu,mlk_day_sqrt,ln_mlk_day,pres_day_sq,pres_day_cu,pres_day_sqrt,ln_pres_day,xmas_sat_sq,xmas_sat_cu,xmas_sat_sqrt,ln_xmas_sat,mlk_sat_sq,mlk_sat_cu,mlk_sat_sqrt,ln_mlk_sat,xmas_sun_sq,xmas_sun_cu,xmas_sun_sqrt,ln_xmas_sun,mlk_sun_sq,mlk_sun_cu,mlk_sun_sqrt,ln_mlk_sun,xmas_fri_sq,xmas_fri_cu,xmas_fri_sqrt,ln_xmas_fri,mlk_fri_sq,mlk_fri_cu,mlk_fri_sqrt,ln_mlk_fri,xmas_mon_sq,xmas_mon_cu,xmas_mon_sqrt,ln_xmas_mon,mlk_mon_sq,mlk_mon_cu,mlk_mon_sqrt,ln_mlk_mon,spring_break_sq,spring_break_cu,spring_break_sqrt,ln_spring_break,spring_break_ends_sq,spring_break_ends_cu,spring_break_ends_sqrt,ln_spring_break_ends
2014-11-16,3390.0,1489.0,236.0,10.0,18.0,5,4.0,4.0,10,9.1,11.3,12.6,13.9,15.2,16.5,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100.0,1000.0,3.16227766017,2.30258509299,324.0,5832.0,4.24264068712,2.8903717579,25,125,2.2360679775,1.60943791243,16.0,64.0,2.0,1.38629436112,16.0,64.0,2.0,1.38629436112,100,1000,3.16227766017,2.30258509299,82.81,753.571,3.0166206258,2.20827441352,127.69,1442.897,3.36154726279,2.42480272572,158.76,2000.376,3.54964786986,2.53369681396,193.21,2685.619,3.72827037646,2.63188884014,231.04,3511.808,3.89871773792,2.72129542785,272.25,4492.125,4.06201920232,2.80336038091,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2014-11-17,1716.0,1493.0,13.0,0.0,18.0,6,4.0,5.0,10,9.1,10.0,12.6,13.9,15.2,16.5,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-inf,324.0,5832.0,4.24264068712,2.8903717579,36,216,2.44948974278,1.79175946923,16.0,64.0,2.0,1.38629436112,25.0,125.0,2.2360679775,1.60943791243,100,1000,3.16227766017,2.30258509299,82.81,753.571,3.0166206258,2.20827441352,100.0,1000.0,3.16227766017,2.30258509299,158.76,2000.376,3.54964786986,2.53369681396,193.21,2685.619,3.72827037646,2.63188884014,231.04,3511.808,3.89871773792,2.72129542785,272.25,4492.125,4.06201920232,2.80336038091,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2014-11-18,1544.0,1531.0,0.0,0.0,18.0,7,4.0,1.0,10,9.1,0.0,10.0,13.9,15.2,16.5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-inf,324.0,5832.0,4.24264068712,2.8903717579,49,343,2.64575131106,1.94591014906,16.0,64.0,2.0,1.38629436112,1.0,1.0,1.0,0.0,100,1000,3.16227766017,2.30258509299,82.81,753.571,3.0166206258,2.20827441352,0.0,0.0,0.0,-inf,100.0,1000.0,3.16227766017,2.30258509299,193.21,2685.619,3.72827037646,2.63188884014,231.04,3511.808,3.89871773792,2.72129542785,272.25,4492.125,4.06201920232,2.80336038091,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1,1,1.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2014-11-19,1702.0,1714.0,12.0,0.0,18.0,8,4.0,6.0,10,9.1,0.0,0.0,10.0,15.2,16.5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-inf,324.0,5832.0,4.24264068712,2.8903717579,64,512,2.82842712475,2.07944154168,16.0,64.0,2.0,1.38629436112,36.0,216.0,2.44948974278,1.79175946923,100,1000,3.16227766017,2.30258509299,82.81,753.571,3.0166206258,2.20827441352,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,100.0,1000.0,3.16227766017,2.30258509299,231.04,3511.808,3.89871773792,2.72129542785,272.25,4492.125,4.06201920232,2.80336038091,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1,1,1.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2014-11-20,1692.0,1861.0,181.0,0.0,18.0,11,4.0,8.0,10,9.1,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-inf,324.0,5832.0,4.24264068712,2.8903717579,121,1331,3.31662479036,2.3978952728,16.0,64.0,2.0,1.38629436112,64.0,512.0,2.82842712475,2.07944154168,100,1000,3.16227766017,2.30258509299,82.81,753.571,3.0166206258,2.20827441352,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,100.0,1000.0,3.16227766017,2.30258509299,100.0,1000.0,3.16227766017,2.30258509299,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1,1,1.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2014-11-21,1965.0,3287.0,1503.0,0.0,18.0,11,4.0,8.0,10,9.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-inf,324.0,5832.0,4.24264068712,2.8903717579,121,1331,3.31662479036,2.3978952728,16.0,64.0,2.0,1.38629436112,64.0,512.0,2.82842712475,2.07944154168,100,1000,3.16227766017,2.30258509299,82.81,753.571,3.0166206258,2.20827441352,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2014-11-22,2360.0,3125.0,2268.0,0.0,18.0,12,4.0,9.0,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,739,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-inf,324.0,5832.0,4.24264068712,2.8903717579,144,1728,3.46410161514,2.48490664979,16.0,64.0,2.0,1.38629436112,81.0,729.0,3.0,2.19722457734,100,1000,3.16227766017,2.30258509299,100.0,1000.0,3.16227766017,2.30258509299,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,546121,403583419,27.1845544381,6.60529792095,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2014-11-23,2857.0,1940.0,1351.0,6.0,18.0,12,4.0,9.0,16,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,-1098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,36.0,216.0,2.44948974278,1.79175946923,324.0,5832.0,4.24264068712,2.8903717579,144,1728,3.46410161514,2.48490664979,16.0,64.0,2.0,1.38629436112,81.0,729.0,3.0,2.19722457734,256,4096,4.0,2.77258872224,36.0,216.0,2.44948974278,1.79175946923,36.0,216.0,2.44948974278,1.79175946923,36.0,216.0,2.44948974278,1.79175946923,36.0,216.0,2.44948974278,1.79175946923,36.0,216.0,2.44948974278,1.79175946923,36.0,216.0,2.44948974278,1.79175946923,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,1205604,-1323753192,,,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2014-11-24,1952.0,1965.0,1364.0,4.0,22.0,12,4.0,9.0,20,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,-33,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16.0,64.0,2.0,1.38629436112,484.0,10648.0,4.69041575982,3.09104245336,144,1728,3.46410161514,2.48490664979,16.0,64.0,2.0,1.38629436112,81.0,729.0,3.0,2.19722457734,400,8000,4.472135955,2.99573227355,100.0,1000.0,3.16227766017,2.30258509299,100.0,1000.0,3.16227766017,2.30258509299,100.0,1000.0,3.16227766017,2.30258509299,100.0,1000.0,3.16227766017,2.30258509299,100.0,1000.0,3.16227766017,2.30258509299,100.0,1000.0,3.16227766017,2.30258509299,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,1089,-35937,,,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
2014-11-25,2010.0,2337.0,1691.0,2.666666667,22.0,12,4.0,9.0,23,12.66666667,6.666666667,12.66666667,12.66666667,12.66666667,12.66666667,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,367,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.11111111289,18.9629629701,1.63299316196,0.980829253137,484.0,10648.0,4.69041575982,3.09104245336,144,1728,3.46410161514,2.48490664979,16.0,64.0,2.0,1.38629436112,81.0,729.0,3.0,2.19722457734,529,12167,4.79583152331,3.13549421593,160.444444529,2032.2962979,3.55902608448,2.53897387132,44.4444444489,296.296296341,2.58198889754,1.89711998494,160.444444529,2032.2962979,3.55902608448,2.53897387132,160.444444529,2032.2962979,3.55902608448,2.53897387132,160.444444529,2032.2962979,3.55902608448,2.53897387132,160.444444529,2032.2962979,3.55902608448,2.53897387132,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1,1,1.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-inf,0,0,0.0,-inf,134689,49430863,19.1572440607,5.90536184805,0,0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0.0,0.0,0.0,-inf,0,0,0.0,-inf,0,0,0.0,-inf
