date,price
11/18/15,74
11/19/15,74
11/20/15,74
11/21/15,84
11/22/15,84
11/23/15,84
11/24/15,84
11/25/15,99
11/26/15,99
11/27/15,99
11/28/15,99
11/29/15,99
11/30/15,99
12/1/15,99
12/2/15,99
12/3/15,99
12/4/15,99
12/5/15,104
12/6/15,104
12/7/15,104
12/8/15,104
12/9/15,104
12/10/15,104
12/11/15,104
12/12/15,114
12/13/15,114
12/14/15,114
12/15/15,114
12/16/15,114
12/17/15,114
12/18/15,114
12/19/15,134
12/20/15,134
12/21/15,134
12/22/15,134
12/23/15,134
12/24/15,134
12/25/15,144
12/26/15,144
12/27/15,144
12/28/15,144
12/29/15,144
12/30/15,144
12/31/15,144
1/1/16,144
1/2/16,144
1/3/16,144
1/4/16,139
1/5/16,139
1/6/16,139
1/7/16,139
1/8/16,139
1/9/16,144
1/10/16,144
1/11/16,139
1/12/16,139
1/13/16,139
1/14/16,139
1/15/16,139
1/16/16,144
1/17/16,144
1/18/16,144
1/19/16,144
1/20/16,144
1/21/16,144
1/22/16,144
1/23/16,144
1/24/16,144
1/25/16,144
1/26/16,144
1/27/16,144
1/28/16,144
1/29/16,144
1/30/16,144
1/31/16,144
2/1/16,144
2/2/16,144
2/3/16,144
2/4/16,144
2/5/16,144
2/6/16,144
2/7/16,144
2/8/16,144
2/9/16,144
2/10/16,144
2/11/16,144
2/12/16,144
2/13/16,144
2/14/16,144
2/15/16,144
2/16/16,144
2/17/16,144
2/18/16,144
2/19/16,144
2/20/16,144
2/21/16,144
2/22/16,144
2/23/16,144
2/24/16,144
2/25/16,144
2/26/16,144
2/27/16,144
2/28/16,144
2/29/16,144
3/1/16,144
3/2/16,144
3/3/16,144
3/4/16,144
3/5/16,144
3/6/16,144
3/7/16,144
3/8/16,144
3/9/16,144
3/10/16,144
3/11/16,144
3/12/16,144
3/13/16,144
3/14/16,144
3/15/16,144
3/16/16,144
3/17/16,144
3/18/16,144
3/19/16,144
3/20/16,144
3/21/16,144
3/22/16,144
3/23/16,144
3/24/16,144
3/25/16,144
3/26/16,144
3/27/16,144
3/28/16,144
3/29/16,144
3/30/16,144
3/31/16,144
4/1/16,144
4/2/16,144
4/3/16,144
4/4/16,144
4/5/16,144
4/6/16,144
4/7/16,144
4/8/16,144
4/9/16,144
4/10/16,144
4/11/16,124
4/12/16,124
4/13/16,124
4/14/16,124
4/15/16,124
4/16/16,124
4/17/16,124
4/18/16,124
4/19/16,124
4/20/16,124
4/21/16,124
4/22/16,124
4/23/16,124
4/24/16,124
