date,new_24,basedepth,open_trails,open_lifts,open_percent,mon_day,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
11/15/15,1.3,18,2.5,2.25,2.25,11/15,1.3,,,,,,
11/16/15,1.3,18,3,2.5,2.5,11/16,2.6,,,,,,
11/17/15,1.3,19.5,3.25,2.5,2.75,11/17,3.9,,2.6,,,,
11/18/15,1.3,18,3.75,2.5,2,11/18,5.2,,2.6,3.9,,,
11/19/15,1.3,18,6.6,2.6,2.8,11/19,6.5,,2.6,3.9,5.2,,
11/20/15,1.3,18,4.333333333,1.666666667,3.333333333,11/20,7.8,,2.6,3.9,5.2,6.5,
11/21/15,1.3,18,7,2.333333333,5,11/21,9.1,,2.6,3.9,5.2,6.5,7.8
11/22/15,1.3,18,5.8,3,4.4,11/22,10.4,9.1,2.6,3.9,5.2,6.5,7.8
11/23/15,1.3,18.5,8.5,3,3.75,11/23,11.7,9.1,2.6,3.9,5.2,6.5,7.8
11/24/15,1.3,19,7.25,3.75,4,11/24,13,9.1,2.6,3.9,5.2,6.5,7.8
11/25/15,1.3,20,9,3.666666667,6.833333333,11/25,14.3,9.1,2.6,3.9,5.2,6.5,7.8
11/26/15,1.3,22.33333333,17,5.333333333,9.666666667,11/26,15.6,9.1,2.6,3.9,5.2,6.5,7.8
11/27/15,1.3,22.25,15.25,5.75,11,11/27,16.9,9.1,2.6,3.9,5.2,6.5,7.8
11/28/15,1.3,23,24.66666667,9,17.66666667,11/28,18.2,9.1,2.6,3.9,5.2,6.5,7.8
11/29/15,1.3,22.33333333,27,9,19,11/29,19.5,9.1,2.6,3.9,5.2,6.5,7.8
11/30/15,1.3,20.4,20.8,9.4,13.4,11/30,20.8,9.1,2.6,3.9,5.2,6.5,7.8
12/1/15,2,20.75,24.75,9.75,16.75,12/01,22.8,9.1,2.6,3.9,5.2,6.5,7.8
12/2/15,2,20.5,25,9.25,16.75,12/02,24.8,9.8,3.3,4.6,5.9,7.2,8.5
12/3/15,2,20.75,23.75,8.75,16,12/03,26.8,10.5,4,5.3,6.6,7.9,9.2
12/4/15,2,21.25,24,7.75,16.25,12/04,28.8,11.2,4,6,7.3,8.6,9.9
12/5/15,2,21.75,29,9,13.75,12/05,30.8,11.9,4,6,8,9.3,10.6
12/6/15,2,21.5,33.75,12.25,21.5,12/06,32.8,12.6,4,6,8,10,11.3
12/7/15,2,21.75,35.75,12.5,23.25,12/07,34.8,13.3,4,6,8,10,12
12/8/15,2,21.75,35.5,12,23.25,12/08,36.8,14,4,6,8,10,12
12/9/15,2,21.75,36.75,12.5,23.5,12/09,38.8,14,4,6,8,10,12
12/10/15,2,21.75,38.5,12,24,12/10,40.8,14,4,6,8,10,12
12/11/15,2,24.5,42,11.75,25.75,12/11,42.8,14,4,6,8,10,12
12/12/15,2,23.25,44,11.25,26.25,12/12,44.8,14,4,6,8,10,12
12/13/15,2,23.25,55.25,14.5,34.5,12/13,46.8,14,4,6,8,10,12
12/14/15,2,24,59,15.2,36.6,12/14,48.8,14,4,6,8,10,12
12/15/15,2,29.8,60.6,15.4,38.2,12/15,50.8,14,4,6,8,10,12
12/16/15,2,29,63.25,14.5,38,12/16,52.8,14,4,6,8,10,12
12/17/15,2,29.25,63.25,14.75,38.75,12/17,54.8,14,4,6,8,10,12
12/18/15,2,30.25,67.5,15,41.75,12/18,56.8,14,4,6,8,10,12
12/19/15,2,35.25,70.25,15.5,41.75,12/19,58.8,14,4,6,8,10,12
12/20/15,2,32.5,76.25,17,44.75,12/20,60.8,14,4,6,8,10,12
12/21/15,2,33.25,83,18.25,54,12/21,62.8,14,4,6,8,10,12
12/22/15,2,36.6,87,17.8,54.6,12/22,64.8,14,4,6,8,10,12
