valid_at,new_24,basedepth,open_trails,open_lifts,open_percent,mon_day,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
2014-11-15 05:50:00,5,18,3,3,3,11/15,0,,,,,,
2014-11-16 05:43:00,10,18,5,4,4,11/16,10,,,,,,
2014-11-17 06:06:00,0,18,6,4,5,11/17,10,,15.0,,,,
2014-11-18 06:03:00,0,18,7,4,1,11/18,10,,10.0,15.0,,,
2014-11-19 06:13:00,0,18,8,4,6,11/19,10,,0.0,10.0,15.0,,
2014-11-20 05:57:00,0,18,11,4,8,11/20,10,,0.0,0.0,10.0,15.0,
2014-11-21 05:45:00,0,18,11,4,8,11/21,10,,0.0,0.0,0.0,10.0,15.0
2014-11-22 05:47:00,0,18,12,4,9,11/22,10,15.0,0.0,0.0,0.0,0.0,10.0
2014-11-23 05:43:00,6,18,12,4,9,11/23,16,10.0,0.0,0.0,0.0,0.0,0.0
2014-11-24 06:16:00,4,22,12,4,9,11/24,20,6.0,6.0,6.0,6.0,6.0,6.0
2014-11-25 06:16:00,2,22,12,4,9,11/25,22,10.0,10.0,10.0,10.0,10.0,10.0
2014-11-25 07:51:00,4,22,12,4,9,11/25,26,12.0,6.0,12.0,12.0,12.0,12.0
2014-11-25 08:27:00,2,22,12,4,9,11/25,28,16.0,6.0,10.0,16.0,16.0,16.0
2014-11-26 06:11:00,8,31,26,8,19,11/26,36,18.0,6.0,8.0,12.0,18.0,18.0
2014-11-27 05:47:00,0,30,26,8,19,11/27,36,26.0,10.0,14.0,16.0,20.0,26.0
2014-11-28 05:49:00,0,29,43,18,31,11/28,36,26.0,8.0,10.0,14.0,16.0,20.0
2014-11-29 05:44:00,0,27,44,18,31,11/29,36,20.0,0.0,8.0,10.0,14.0,16.0
2014-11-30 05:44:00,0,26,43,18,31,11/30,36,16.0,0.0,0.0,8.0,10.0,14.0
2014-12-01 05:43:00,0,25,43,18,31,12/1,36,14.0,0.0,0.0,0.0,8.0,10.0
2014-12-02 05:45:00,0,24,43,18,31,12/2,36,10.0,0.0,0.0,0.0,0.0,8.0
2014-12-03 06:12:00,0,24,43,18,31,12/3,36,8.0,0.0,0.0,0.0,0.0,0.0
2014-12-04 05:48:00,0,23,43,15,31,12/4,36,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-05 05:35:00,0,22,43,15,31,12/5,36,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-06 05:32:00,1,22,43,18,31,12/6,37,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-07 05:46:00,0,22,43,18,31,12/7,37,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-08 06:00:00,0,22,43,16,31,12/8,37,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-09 06:07:00,0,22,43,15,31,12/9,37,1.0,0.0,1.0,1.0,1.0,1.0
2014-12-10 06:05:00,0,22,43,15,31,12/10,37,1.0,0.0,0.0,1.0,1.0,1.0
2014-12-11 05:47:00,0,22,48,15,34,12/11,37,1.0,0.0,0.0,0.0,1.0,1.0
2014-12-12 05:36:00,0,21,47,15,33,12/12,37,1.0,0.0,0.0,0.0,0.0,1.0
2014-12-13 05:46:00,0,21,63,20,45,12/13,37,1.0,0.0,0.0,0.0,0.0,0.0
2014-12-14 05:29:00,4,23,68,19,45,12/14,41,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-14 06:32:00,7,23,68,19,48,12/14,48,4.0,4.0,4.0,4.0,4.0,4.0
2014-12-15 05:45:00,12,37,71,19,50,12/15,60,11.0,11.0,11.0,11.0,11.0,11.0
2014-12-15 05:53:00,12,37,71,19,50,12/15,72,23.0,19.0,23.0,23.0,23.0,23.0
2014-12-16 06:07:00,1,34,77,16,54,12/16,73,35.0,24.0,31.0,35.0,35.0,35.0
2014-12-17 06:06:00,1,33,74,16,52,12/17,74,36.0,13.0,25.0,32.0,36.0,36.0
2014-12-18 05:46:00,3,34,85,16,60,12/18,77,37.0,2.0,14.0,26.0,33.0,37.0
2014-12-19 05:34:00,6,38,88,18,62,12/19,83,40.0,4.0,5.0,17.0,29.0,36.0
2014-12-20 05:46:00,0,39,107,23,62,12/20,83,42.0,9.0,10.0,11.0,23.0,35.0
2014-12-21 05:39:00,2,36,108,22,76,12/21,85,35.0,6.0,9.0,10.0,11.0,23.0
2014-12-22 10:34:00,9,45,109,22,77,12/22,94,25.0,2.0,8.0,11.0,12.0,13.0
2014-12-23 05:49:00,6,45,110,22,77,12/23,100,22.0,11.0,11.0,17.0,20.0,21.0
2014-12-24 06:23:00,0,46,111,22,78,12/24,100,27.0,15.0,17.0,17.0,23.0,26.0
2014-12-25 05:44:00,0,47,115,22,81,12/25,100,26.0,6.0,15.0,17.0,17.0,23.0
2014-12-26 05:44:00,3,44,115,22,81,12/26,103,23.0,0.0,6.0,15.0,17.0,17.0
2014-12-27 05:37:00,2,42,119,23,81,12/27,105,20.0,3.0,3.0,9.0,18.0,20.0
2014-12-28 05:34:00,0,43,120,24,84,12/28,105,22.0,5.0,5.0,5.0,11.0,20.0
2014-12-29 05:35:00,6,46,118,22,83,12/29,111,20.0,2.0,5.0,5.0,5.0,11.0
2014-12-30 05:52:00,0,46,118,22,83,12/30,111,17.0,6.0,8.0,11.0,11.0,11.0
2014-12-31 06:22:00,0,44,119,22,84,12/31,111,11.0,6.0,6.0,8.0,11.0,11.0
2015-01-01 05:45:00,0,42,125,23,88,1/1,111,11.0,0.0,6.0,6.0,8.0,11.0
2015-01-02 05:40:00,0,42,124,23,87,1/2,111,11.0,0.0,0.0,6.0,6.0,8.0
