new_24,basedepth,open_trails,open_lifts,open_percent,valid_at
0,50,22,5,18,4/22/12 5:59
0,51,22,5,18,4/21/12 5:50
1,51,22,5,25,4/20/12 5:42
2,49,22,5,30,4/19/12 5:42
0,54,22,5,30,4/18/12 5:42
0,54,22,6,30,4/17/12 6:02
4,54,53,6,40,4/16/12 5:51
6,47,66,13,60,4/15/12 5:35
1,43,66,13,60,4/14/12 6:08
1,45,74,13,60,4/13/12 5:57
0,46,78,13,60,4/12/12 9:38
0,46,78,13,60,4/12/12 5:53
0,47,78,13,60,4/11/12 5:46
0,47,83,13,60,4/10/12 5:53
0,47,83,13,60,4/9/12 5:42
0,47,83,15,60,4/8/12 6:01
0,47,84,13,60,4/7/12 6:07
0,47,84,13,60,4/6/12 5:53
0,48,84,14,60,4/5/12 6:00
1,49,84,14,60,4/4/12 5:39
1,49,86,15,60,4/3/12 5:59
0,49,91,15,60,4/2/12 5:44
0,49,104,19,70,4/1/12 5:43
0,51,112,20,80,3/31/12 5:46
0,52,115,18,80,3/30/12 5:39
0,53,116,19,80,3/29/12 5:58
0,54,115,19,80,3/28/12 6:10
0,54,122,19,80,3/27/12 5:47
0,55,123,19,80,3/26/12 5:41
0,55,123,23,80,3/25/12 5:53
0,55,123,24,80,3/25/12 5:46
0,56,123,24,80,3/24/12 5:43
0,52,123,24,80,3/24/12 7:14
0,57,123,20,80,3/23/12 8:34
0,59,125,19,85,3/22/12 5:54
0,61,125,19,85,3/21/12 5:46
3,60,125,19,85,3/20/12 5:44
4,58,125,19,85,3/19/12 5:39
0,56,125,23,85,3/18/12 5:47
0,57,125,24,85,3/17/12 5:37
0,57,126,20,85,3/16/12 5:48
0,58,127,20,85,3/15/12 6:03
0,58,127,19,85,3/14/12 5:50
0,58,127,19,85,3/13/12 5:45
0,59,127,19,85,3/12/12 5:32
0,61,127,23,85,3/11/12 5:35
0,62,127,24,85,3/10/12 5:46
0,62,132,19,85,3/9/12 5:37
0,63,132,19,85,3/8/12 5:56
0,63,132,19,85,3/7/12 5:48
0,64,132,19,85,3/6/12 5:53
2,65,132,19,85,3/5/12 5:35
1,64,128,23,85,3/4/12 5:33
1,68,129,24,85,3/3/12 5:38
6,64,129,19,85,3/2/12 5:40
1,64,129,19,85,3/1/12 5:53
9,67,129,19,85,2/29/12 5:43
0,59,129,19,85,2/28/12 5:52
0,59,129,19,85,2/27/12 5:41
2,61,129,23,80,2/26/12 5:42
0,61,128,24,80,2/25/12 5:54
0,61,128,24,80,2/25/12 5:46
1,63,128,19,80,2/24/12 5:43
7,63,128,19,80,2/23/12 5:48
1,58,127,19,80,2/22/12 5:50
1,61,127,19,80,2/21/12 5:39
4,62,127,23,80,2/20/12 5:42
0,53,127,23,80,2/19/12 7:51
1,60,127,24,80,2/18/12 5:40
0,60,127,20,80,2/17/12 5:46
1,60,123,19,75,2/16/12 5:43
1,62,123,19,75,2/15/12 5:42
4,63,121,18,70,2/14/12 5:55
5,60,120,18,60,2/13/12 5:41
0,57,120,23,60,2/12/12 5:43
4,54,120,23,60,2/11/12 5:51
4,54,120,23,60,2/11/12 7:37
4,54,120,18,60,2/10/12 5:46
4,50,118,18,55,2/9/12 5:41
0,46,118,18,55,2/8/12 5:48
1,46,114,18,55,2/7/12 5:56
0,46,114,18,55,2/6/12 5:46
0,47,113,22,55,2/5/12 5:32
1,47,113,23,55,2/4/12 5:41
0,40,113,19,55,2/4/12 7:33
1,47,113,19,55,2/3/12 5:41
0,47,113,19,55,2/2/12 5:46
0,52,113,19,55,2/1/12 5:49
0,52,113,19,55,1/31/12 5:51
0,52,111,20,55,1/30/12 5:40
0,53,112,23,55,1/29/12 7:45
1,53,111,23,50,1/28/12 5:40
6,50,108,19,50,1/27/12 5:32
0,49,106,19,45,1/26/12 5:54
2,49,95,17,40,1/25/12 5:49
0,48,95,18,40,1/24/12 5:50
1,48,95,20,40,1/23/12 5:45
5,48,95,20,40,1/22/12 5:41
2,46,96,20,40,1/21/12 5:50
3,44,93,18,40,1/20/12 5:49
1,44,93,18,35,1/19/12 5:46
0,45,91,14,30,1/18/12 5:53
8,45,91,21,30,1/17/12 5:55
0,38,90,21,30,1/16/12 5:50
0,40,90,16,30,1/15/12 5:45
0,40,90,16,30,1/14/12 5:46
0,40,89,16,30,1/13/12 5:42
4,41,88,16,35,1/12/12 5:48
4,39,80,16,30,1/11/12 5:45
0,38,72,15,25,1/10/12 6:14
0,38,71,15,25,1/9/12 5:49
7,30,63,15,20,1/8/12 7:42
0,31,63,15,20,1/7/12 5:48
0,31,63,15,20,1/6/12 5:42
0,31,63,15,20,1/5/12 5:45
0,28,63,15,20,1/4/12 5:48
0,28,63,15,20,1/3/12 5:57
0,28,56,14,20,1/2/12 5:43
4,28,55,14,20,1/1/12 5:41
0,26,55,14,20,12/31/11 5:47
0,26,56,14,20,12/30/11 5:43
0,26,67,15,20,12/29/11 6:00
0,26,65,15,20,12/28/11 5:53
0,26,58,15,20,12/27/11 5:46
0,26,54,14,20,12/26/11 5:57
0,26,42,14,20,12/25/11 5:55
0,26,42,14,20,12/24/11 5:47
0,26,42,13,20,12/23/11 5:39
6,26,38,13,15,12/22/11 5:40
0,21,37,13,15,12/21/11 5:49
0,21,37,13,15,12/20/11 5:45
0,21,37,14,15,12/19/11 6:01
0,21,34,14,15,12/18/11 5:58
0,21,31,13,15,12/17/11 5:50
0,21,32,12,12,12/16/11 6:05
3,21,23,8,8,12/15/11 5:45
1,18,23,8,8,12/14/11 5:54
0,18,22,8,7,12/13/11 5:48
0,18,21,6,7,12/12/11 5:45
0,18,21,7,7,12/11/11 5:40
0,18,21,8,7,12/10/11 5:44
1,18,19,6,7,12/9/11 5:49
0,18,17,6,7,12/8/11 5:50
0,18,17,6,7,12/7/11 5:54
0,18,18,6,7,12/6/11 5:59
1,18,0,0,0,12/5/11 5:44
3,18,0,0,0,12/4/11 5:53
0,18,0,0,0,12/3/11 5:51
0,18,0,0,0,12/2/11 5:50
0,18,0,0,0,12/1/11 5:49
0,18,0,0,0,11/30/11 5:52
0,18,0,0,0,11/29/11 5:49
0,18,0,0,0,11/28/11 5:43
0,18,0,0,0,11/27/11 5:51
3,18,0,0,0,11/26/11 5:49
0,18,0,0,0,11/25/11 5:54
0,18,0,0,0,11/24/11 5:46
0,18,0,0,0,11/23/11 5:56
2,18,0,0,0,11/22/11 5:58
0,18,0,0,0,11/21/11 5:50
4,18,0,0,0,11/20/11 6:04
1,18,0,0,0,11/19/11 6:04
0,18,0,0,0,11/18/11 5:55
1,18,0,0,0,11/17/11 5:59
1,18,0,0,0,11/16/11 5:53
0,18,0,0,0,11/15/11 5:54
3,18,0,0,0,11/14/11 5:52
1,18,0,0,0,11/13/11 5:49
0,18,0,0,0,11/12/11 5:56
0,15,0,0,0,11/10/11 6:14
