Date,search_vol
10/31/14,509
11/1/14,683
11/2/14,419
11/3/14,341
11/4/14,292
11/5/14,281
11/6/14,301
11/7/14,453
11/8/14,771
11/9/14,520
11/10/14,371
11/11/14,346
11/12/14,360
11/13/14,361
11/14/14,655
11/15/14,1309
11/16/14,949
11/17/14,564
11/18/14,523
11/19/14,497
11/20/14,574
11/21/14,904
11/22/14,1687
11/23/14,1309
11/24/14,1565
11/25/14,1894
11/26/14,2197
11/27/14,2669
11/28/14,3476
11/29/14,2910
11/30/14,1576
12/1/14,1025
12/2/14,861
12/3/14,922
12/4/14,1224
12/5/14,1935
12/6/14,3109
12/7/14,2134
12/8/14,1605
12/9/14,1516
12/10/14,1678
12/11/14,2112
12/12/14,2815
12/13/14,3970
12/14/14,3263
12/15/14,3252
12/16/14,3023
12/17/14,2894
12/18/14,3024
12/19/14,3778
12/20/14,5100
12/21/14,5521
12/22/14,6628
12/23/14,6416
12/24/14,5757
12/25/14,6236
12/26/14,7202
12/27/14,9243
12/28/14,10267
12/29/14,12191
12/30/14,11522
12/31/14,10516
1/1/15,10259
1/2/15,9708
1/3/15,8180
1/4/15,6499
1/5/15,6991
1/6/15,6863
1/7/15,6812
1/8/15,6824
1/9/15,6700
1/10/15,7904
1/11/15,5565
1/12/15,4740
1/13/15,4349
1/14/15,4439
1/15/15,4997
1/16/15,7260
1/17/15,10668
1/18/15,9115
1/19/15,8434
1/20/15,4335
1/21/15,4181
1/22/15,4850
1/23/15,6618
1/24/15,8753
1/25/15,6467
1/26/15,4715
1/27/15,4020
1/28/15,4036
1/29/15,5187
1/30/15,7111
1/31/15,8948
2/1/15,9002
2/2/15,5777
2/3/15,5344
2/4/15,5508
2/5/15,6711
2/6/15,9026
2/7/15,10847
2/8/15,8662
2/9/15,6336
2/10/15,5187
2/11/15,5081
2/12/15,6330
2/13/15,9332
2/14/15,12307
2/15/15,11131
2/16/15,10733
2/17/15,7804
2/18/15,7670
2/19/15,8847
2/20/15,10637
2/21/15,12039
2/22/15,9903
2/23/15,8595
2/24/15,7460
2/25/15,7103
2/26/15,8438
2/27/15,10408
2/28/15,11651
3/1/15,9619
3/2/15,8173
3/3/15,7071
3/4/15,6658
3/5/15,7640
3/6/15,9562
3/7/15,11359
3/8/15,10301
3/9/15,11216
3/10/15,10755
3/11/15,9956
3/12/15,9193
3/13/15,9101
3/14/15,10505
3/15/15,11468
3/16/15,14093
3/17/15,13528
3/18/15,11682
3/19/15,10117
3/20/15,9174
3/21/15,8812
3/22/15,7335
3/23/15,8272
3/24/15,7907
3/25/15,7196
3/26/15,6705
3/27/15,6987
3/28/15,7127
3/29/15,6113
3/30/15,5848
3/31/15,5685
4/1/15,5867
4/2/15,5669
4/3/15,6121
4/4/15,6252
4/5/15,5031
4/6/15,4755
4/7/15,4257
4/8/15,3858
4/9/15,3124
4/10/15,2655
4/11/15,2540
4/12/15,1629
4/13/15,1157
4/14/15,814
4/15/15,779
4/16/15,940
4/17/15,1452
4/18/15,2320
4/19/15,1555
4/20/15,857
4/21/15,723
4/22/15,592
4/23/15,546
4/24/15,775
4/25/15,1403
4/26/15,879
4/27/15,565
4/28/15,364
4/29/15,350
4/30/15,362
5/1/15,585
5/2/15,957
5/3/15,627
5/4/15,357
5/5/15,296
5/6/15,316
5/7/15,329
5/8/15,483
5/9/15,1248
5/10/15,1768
5/11/15,887
5/12/15,617
5/13/15,537
5/14/15,488
5/15/15,616
5/16/15,1055
5/17/15,694
5/18/15,479
5/19/15,500
5/20/15,712
5/21/15,594
5/22/15,859
5/23/15,1729
5/24/15,1751
5/25/15,1315
5/26/15,600
5/27/15,562
5/28/15,448
5/29/15,589
5/30/15,1123
5/31/15,2009
6/1/15,556
6/2/15,467
6/3/15,426
6/4/15,454
6/5/15,533
6/6/15,950
6/7/15,651
6/8/15,188
6/9/15,119
6/10/15,151
6/11/15,103
6/12/15,503
6/13/15,720
6/14/15,644
6/15/15,78
6/16/15,57
6/17/15,63
6/18/15,40
6/19/15,45
6/20/15,83
6/21/15,44
6/22/15,24
6/23/15,19
6/24/15,32
6/25/15,29
6/26/15,40
6/27/15,47
6/28/15,32
6/29/15,29
6/30/15,37
