Date,zip_code,tickets
10/31/14,3215,16
10/31/14,3287,1
10/31/14,3304,2
10/31/14,12518,2
10/31/14,2095,1
10/31/14,26283,2
10/31/14,48843,1
10/31/14,55439,1
10/31/14,75006,1
10/31/14,75087,1
10/31/14,80015,3
10/31/14,80021,1
10/31/14,80027,1
10/31/14,80126,1
10/31/14,80130,2
10/31/14,80134,1
10/31/14,80138,1
10/31/14,80212,2
10/31/14,80227,1
10/31/14,80237,2
10/31/14,80247,1
10/31/14,80302,1
10/31/14,80303,2
10/31/14,80305,1
10/31/14,80310,1
10/31/14,80401,1
10/31/14,80442,1
10/31/14,80446,2
10/31/14,80482,3
10/31/14,80516,1
10/31/14,805214113,2
10/31/14,80525,2
10/31/14,80535,1
10/31/14,80634,2
10/31/14,80917,1
10/31/14,81501,3
10/31/14,81601,2
10/31/14,81652,2
10/31/14,83404,2
10/31/14,84720,1
10/31/14,92392,1
10/31/14,99714,1
11/1/14,3287,1
11/1/14,3304,2
11/1/14,7305,2
11/1/14,10032,1
11/1/14,27205,2
11/1/14,52807,1
11/1/14,55318,1
11/1/14,61822,2
11/1/14,66061,2
11/1/14,68107,1
11/1/14,73018,2
11/1/14,76210,1
11/1/14,77057,1
11/1/14,77381,2
11/1/14,80003,1
11/1/14,80108,1
11/1/14,80122,1
11/1/14,80134,2
11/1/14,80210,1
11/1/14,80247,5
11/1/14,80401,1
11/1/14,80443,8
11/1/14,80477,1
11/1/14,80537,1
11/1/14,80906,2
11/1/14,80916,1
11/1/14,81007,2
11/1/14,81632,1
11/1/14,82070,1
11/1/14,83702,2
11/1/14,83703,1
11/1/14,84056,1
11/1/14,87031,2
11/1/14,87114,1
11/1/14,87123,2
11/1/14,91403,2
11/1/14,92392,1
11/1/14,94102,2
11/2/14,5673,13
11/2/14,6515,1
11/2/14,30041,1
11/2/14,30062,1
11/2/14,30338,1
11/2/14,49348,2
11/2/14,50010,1
11/2/14,60613,2
11/2/14,640411,2
11/2/14,66436,3
11/2/14,73018,2
11/2/14,80004,1
11/2/14,80134,2
11/2/14,80215,1
11/2/14,80218,2
11/2/14,80221,1
11/2/14,80222,1
11/2/14,80246,1
11/2/14,80247,1
11/2/14,80442,1
11/2/14,80443,9
11/2/14,80477,2
11/2/14,80817,2
11/2/14,80841,1
11/2/14,80904,1
11/2/14,80915,1
11/2/14,80921,2
11/2/14,81224,2
11/2/14,81632,1
11/2/14,83702,2
11/2/14,85268,2
11/2/14,87594,1
11/2/14,J0T 2V0,7
11/2/14,L9y3g1,6
11/3/14,12077,2
11/3/14,48108,1
11/3/14,48170,2
11/3/14,52002,1
11/3/14,80014,2
11/3/14,80260,1
11/3/14,80443,9
11/3/14,80503,1
11/3/14,80921,2
11/3/14,81007,1
