FormattedDate,away_WP,to_WP,day_of_week,skiers
11/15/14,1695,1964,5,2137
11/16/14,3390,1489,6,236
11/17/14,1716,1493,0,13
11/18/14,1544,1531,1,0
11/19/14,1702,1714,2,12
11/20/14,1692,1861,3,181
11/21/14,1965,3287,4,1503
11/22/14,2360,3125,5,2268
11/23/14,2857,1940,6,1351
11/24/14,1952,1965,0,1364
11/25/14,2010,2337,1,1691
11/26/14,2654,4467,2,3504
11/27/14,1843,2738,3,4399
11/28/14,3906,5106,4,5599
11/29/14,5075,3274,5,3798
11/30/14,5192,1914,6,520
12/1/14,1995,1564,0,89
12/2/14,1694,1688,1,83
12/3/14,1676,1725,2,132
12/4/14,1765,2024,3,391
12/5/14,2008,3937,4,2320
12/6/14,3818,4376,5,2878
12/7/14,4686,2455,6,647
12/8/14,1941,1680,0,386
12/9/14,1745,1673,1,314
12/10/14,1860,1869,2,323
12/11/14,1918,2112,3,517
12/12/14,2146,3909,4,2280
12/13/14,3287,3720,5,2713
12/14/14,4191,2490,6,1012
12/15/14,2765,2395,0,642
12/16/14,2183,2228,1,687
12/17/14,2186,2275,2,776
12/18/14,0,227,3,1003
12/19/14,3046,5245,4,3202
12/20/14,3949,5553,5,4806
12/21/14,4562,3840,6,4084
12/22/14,3491,3580,0,4173
12/23/14,3995,4154,1,4332
12/24/14,3370,4095,2,5057
12/25/14,2445,3502,3,6114
12/26/14,3477,5225,4,7862
12/27/14,5310,5478,5,8030
12/28/14,5459,4136,6,6707
12/29/14,3801,3297,0,6203
12/30/14,3191,3392,1,6404
12/31/14,3832,5651,2,8223
1/1/15,5268,4362,3,7317
1/7/15,4500,0,2,2817
1/8/15,2647,2833,3,3003
1/9/15,2698,5162,4,5467
1/10/15,4990,4706,5,5183
1/11/15,6317,2781,6,1647
1/12/15,2514,1932,0,1065
1/13/15,1935,1884,1,1014
1/14/15,0,90,2,1104
1/15/15,2597,3221,3,1728
1/16/15,3100,7282,4,5910
1/17/15,4266,6008,5,7652
1/18/15,6615,4023,6,5060
1/19/15,6871,2849,0,1038
1/20/15,2294,2081,1,825
1/21/15,2135,2238,2,928
1/22/15,2591,3471,3,1808
1/23/15,2947,7114,4,5975
1/24/15,5349,6002,5,6628
1/25/15,8318,3779,6,2089
1/26/15,2989,1987,0,1087
1/27/15,2111,2008,1,984
1/28/15,2064,2191,2,1111
1/29/15,2091,2900,3,1920
1/30/15,2659,6595,4,5856
1/31/15,4451,4915,5,6320
2/1/15,7561,3364,6,2123
2/2/15,2815,1784,0,1092
2/3/15,2145,2135,1,1082
2/4/15,1900,2092,2,1274
2/5/15,3128,3998,3,2144
2/6/15,3238,7332,4,6238
2/7/15,5221,5771,5,6788
2/8/15,8542,3553,6,1799
2/9/15,2858,1966,0,907
2/10/15,1908,1954,1,953
2/11/15,2314,2532,2,1171
2/12/15,2488,3832,3,2515
2/13/15,3467,7733,4,6781
2/14/15,3955,5297,5,8123
2/15/15,6259,3424,6,5288
2/16/15,6074,2352,0,1566
2/17/15,3273,2519,1,812
2/18/15,2603,2755,2,964
2/19/15,2657,3518,3,1825
2/20/15,3004,8018,4,6839
2/21/15,3906,4102,5,7035
2/22/15,6860,2239,6,2414
2/23/15,3305,2226,0,1335
2/24/15,2628,2596,1,1303
2/25/15,2179,2208,2,1332
2/26/15,2132,2994,3,2194
2/27/15,2958,6996,4,6232
2/28/15,4645,5197,5,6784
3/1/15,8199,3488,6,2073
3/2/15,2933,2078,0,1218
3/3/15,1917,1777,1,1078
3/4/15,2096,2234,2,1216
3/5/15,2664,3599,3,2151
3/6/15,3445,7284,4,5990
3/7/15,5306,6021,5,6705
3/8/15,2200,0,6,4505
3/9/15,3037,2510,0,3978
3/10/15,2608,2515,1,3885
3/11/15,2684,2675,2,3876
3/12/15,2726,3010,3,4160
3/13/15,3115,5745,4,6790
3/14/15,4671,5461,5,7580
3/15/15,6361,3996,6,5215
3/16/15,3022,2668,0,4861
3/17/15,2503,2293,1,4651
3/18/15,2878,2653,2,4426
3/19/15,2640,2836,3,4622
3/20/15,3605,5306,4,6323
3/21/15,4306,4749,5,6766
3/22/15,5422,3384,6,4728
3/23/15,3104,2717,0,4341
3/24/15,2881,2745,1,4205
3/25/15,3204,3292,2,4293
3/26/15,3626,4042,3,4709
3/27/15,4033,5394,4,6070
3/28/15,4283,4157,5,5944
3/29/15,5425,2720,6,3239
3/30/15,2753,2150,0,2636
3/31/15,2215,2129,1,2550
4/1/15,2288,2253,2,2515
4/2/15,1994,2362,3,2883
4/3/15,3072,4015,4,3826
4/4/15,3659,3365,5,3532
4/5/15,3776,2019,6,1775
4/6/15,2218,1916,0,1473
4/7/15,1858,1824,1,1439
4/8/15,1968,1903,2,1374
4/9/15,1858,2000,3,1516
4/10/15,2252,3206,4,2470
4/11/15,2635,2835,5,2670
4/12/15,3492,1943,6,1121
4/13/15,1987,1612,0,746
4/14/15,1870,1766,1,642
4/15/15,1715,1614,2,541
4/16/15,1492,1640,3,689
4/17/15,1980,3237,4,1946
4/18/15,3000,3251,5,2197
4/19/15,3896,2337,6,638
4/20/15,2205,1909,0,342
4/21/15,2077,2035,1,300
4/22/15,1958,1950,2,292
4/23/15,1747,1977,3,522
4/24/15,2223,3877,4,2176
4/25/15,2606,3399,5,2969
4/26/15,4610,2103,6,462
