COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000240,20140101,P,188,143,95,57,51,84,198,333,467,649,840,849,796,789,876,913,1065,938,609,498,339,265,172,112,01/01/2014
000240,20140101,S,112,96,74,55,28,66,117,364,771,819,834,737,702,688,709,840,873,830,675,560,314,249,189,92,01/01/2014
000240,20140102,P,52,20,30,30,74,113,255,607,800,884,917,926,962,997,1109,1321,1448,1416,845,506,360,281,188,114,01/02/2014
000240,20140102,S,76,44,34,23,25,52,169,511,1281,1231,1171,1149,858,866,910,944,1049,1083,780,562,398,294,197,140,01/02/2014
000240,20140103,P,64,27,25,28,37,94,247,553,841,921,935,945,977,999,1098,1278,1478,1387,835,571,390,304,221,116,01/03/2014
000240,20140103,S,73,38,21,12,32,63,207,638,1151,1138,920,981,982,856,897,1059,1248,1195,877,645,619,422,283,153,01/03/2014
000240,20140104,P,72,47,67,30,50,118,210,373,596,739,741,687,606,727,714,846,1079,865,626,385,244,223,139,119,01/04/2014
000240,20140104,S,80,58,52,27,18,40,138,402,955,951,865,730,687,532,585,667,720,742,503,409,301,245,153,124,01/04/2014
000240,20140105,P,64,47,51,34,39,103,179,317,535,770,994,940,932,801,681,720,683,620,496,367,282,194,164,92,01/05/2014
000240,20140105,S,61,38,36,11,25,37,75,524,991,930,738,632,631,711,878,803,723,585,467,302,258,155,140,74,01/05/2014
000240,20140106,P,40,28,25,21,33,100,263,616,658,649,720,742,791,774,848,978,1146,983,611,348,243,196,151,96,01/06/2014
000240,20140106,S,56,33,35,21,32,50,169,467,802,832,751,674,576,517,643,735,854,909,687,365,267,224,143,93,01/06/2014
000240,20140107,P,28,38,32,23,31,79,168,582,702,669,654,664,679,752,819,1011,1125,999,634,364,244,201,132,66,01/07/2014
000240,20140107,S,56,27,23,14,15,60,165,559,949,977,761,683,596,637,638,835,874,949,602,398,316,205,189,102,01/07/2014
000240,20140108,P,61,28,19,20,36,69,198,566,680,695,674,660,644,730,769,913,1084,1086,626,367,316,333,166,88,01/08/2014
000240,20140108,S,67,30,22,16,19,67,176,562,973,914,747,644,640,645,623,825,899,959,706,473,377,295,178,126,01/08/2014
000240,20140109,P,59,36,27,19,35,106,261,610,695,700,703,683,619,770,869,951,1015,1060,679,412,318,250,160,130,01/09/2014
000240,20140109,S,79,36,24,19,22,60,178,576,1080,970,846,713,670,654,734,1015,1007,788,587,437,364,288,162,140,01/09/2014
000240,20140110,P,91,46,32,45,46,96,195,628,748,763,818,676,674,711,792,856,989,848,494,331,304,253,165,129,01/10/2014
000240,20140110,S,100,61,32,30,18,68,153,504,814,684,722,617,551,623,588,763,791,730,707,573,463,411,371,318,01/10/2014
000240,20140111,P,81,49,66,41,45,91,169,427,712,811,784,734,717,835,882,1060,1367,1035,782,532,354,283,180,132,01/11/2014
000240,20140111,S,121,53,64,34,28,63,180,458,984,876,889,869,801,815,767,888,987,896,656,441,369,268,207,129,01/11/2014
000240,20140112,P,73,40,47,26,47,74,189,321,650,935,824,593,554,537,523,553,533,432,426,282,223,168,105,64,01/12/2014
000240,20140112,S,67,42,22,12,25,42,121,522,704,624,595,522,508,529,587,552,434,402,335,217,213,157,86,66,01/12/2014
000240,20140113,P,37,30,21,24,43,146,279,601,613,558,555,584,613,658,757,892,987,828,555,302,226,164,132,77,01/13/2014
000240,20140113,S,40,26,14,23,27,57,165,460,792,828,665,569,578,537,601,677,670,736,480,351,231,205,117,67,01/13/2014
000240,20140114,P,34,26,16,18,39,73,203,565,620,545,484,570,654,642,718,821,944,879,538,317,186,161,113,74,01/14/2014
