COUNTSTATIONID,COUNTDIR,COUNTDATE,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000240,P,20150101,187,129,85,45,47,60,134,284,529,617,742,749,761,822,816,986,990,892,581,377,278,216,148,117,01/01/2015
000240,S,20150101,126,80,66,43,31,38,145,447,783,864,821,790,774,736,790,903,880,792,544,442,305,219,156,97,01/01/2015
000240,P,20150102,50,23,24,24,61,115,250,576,855,967,1034,921,969,880,1069,1202,1337,1238,604,423,358,271,222,139,01/02/2015
000240,S,20150102,54,21,22,19,18,70,224,672,1157,1179,1047,1059,993,916,934,1127,1204,1149,819,660,475,354,243,166,01/02/2015
000240,P,20150103,65,44,33,42,64,135,256,480,775,868,992,852,796,851,817,903,1006,719,488,373,305,223,187,94,01/03/2015
000240,S,20150103,91,43,33,22,20,62,197,629,1069,1027,797,851,712,774,847,882,902,776,646,417,321,221,178,102,01/03/2015
000240,P,20150104,55,45,39,36,43,94,211,418,723,873,896,775,687,711,680,768,688,541,556,324,288,204,133,82,01/04/2015
000240,S,20150104,50,26,27,18,26,64,140,519,869,788,586,678,626,642,770,883,857,650,524,387,281,206,142,80,01/04/2015
000240,P,20150105,54,27,21,25,31,100,235,603,627,672,654,626,703,732,769,913,1080,914,567,329,337,184,161,78,01/05/2015
000240,S,20150105,61,28,25,19,33,77,233,667,865,834,793,680,667,655,730,819,891,876,642,419,296,224,132,86,01/05/2015
000240,P,20150106,56,21,26,16,28,82,203,595,670,672,622,622,607,717,773,853,1115,959,536,350,271,194,117,86,01/06/2015
000240,S,20150106,60,39,25,25,18,81,260,708,1001,876,751,695,663,653,719,867,942,930,591,433,323,255,143,85,01/06/2015
000240,P,20150107,50,31,21,29,27,85,200,598,732,667,630,563,605,659,767,902,1085,968,580,379,264,242,132,90,01/07/2015
000240,S,20150107,56,26,28,23,14,74,230,674,906,825,802,707,694,629,728,910,1068,986,651,542,366,295,199,151,01/07/2015
000240,P,20150108,45,28,33,17,29,77,203,608,739,744,690,629,628,702,789,1006,1182,998,600,341,280,227,155,110,01/08/2015
000240,S,20150108,68,43,35,12,16,79,246,720,982,858,803,765,708,698,744,946,1032,990,689,519,385,364,174,129,01/08/2015
000240,P,20150109,55,35,30,22,47,97,237,634,784,747,879,715,701,715,848,1067,1165,921,594,408,338,264,170,134,01/09/2015
000240,S,20150109,72,37,41,21,22,82,261,695,1024,947,958,749,741,680,817,964,1122,1082,901,700,694,401,255,159,01/09/2015
000240,P,20150110,51,34,35,23,43,71,204,382,667,771,856,737,762,799,861,1018,1244,816,683,460,289,265,190,95,01/10/2015
000240,S,20150110,74,48,42,24,16,54,232,730,1094,978,885,853,831,771,890,883,989,901,622,302,439,298,174,98,01/10/2015
000240,P,20150111,68,52,43,29,29,50,180,320,726,976,938,708,617,624,734,785,756,565,525,327,227,184,121,83,01/11/2015
000240,S,20150111,56,41,27,18,13,50,130,532,794,792,631,550,527,564,605,606,598,442,400,316,233,162,108,72,01/11/2015
000240,P,20150112,38,17,18,15,31,105,245,648,678,594,581,533,594,598,752,924,923,876,480,262,235,150,132,79,01/12/2015
000240,S,20150112,47,24,24,14,17,98,224,639,849,910,766,603,546,575,697,713,800,864,556,365,277,193,115,68,01/12/2015
000240,P,20150113,31,21,18,11,21,85,206,602,622,540,608,555,611,690,713,884,997,816,520,334,214,194,118,95,01/13/2015
000240,S,20150113,39,26,20,13,18,60,247,667,1049,912,690,627,645,655,570,802,863,730,505,374,288,186,162,77,01/13/2015
000240,P,20150114,46,20,15,17,34,68,208,595,691,634,633,606,599,702,764,919,1057,926,497,345,278,225,137,102,01/14/2015
000240,S,20150114,50,22,18,12,16,66,246,698,1010,887,742,679,654,661,671,887,968,959,614,504,360,274,167,109,01/14/2015
000240,P,20150115,46,28,20,15,25,96,190,627,673,584,583,563,605,630,802,948,936,1007,672,430,443,283,162,128,01/15/2015
000240,S,20150115,68,44,24,13,20,82,251,699,1086,919,825,706,728,720,790,1148,1126,925,709,539,371,335,233,150,01/15/2015
000240,P,20150116,65,40,33,23,37,90,246,614,679,681,699,696,674,715,859,989,1295,956,642,427,327,330,253,151,01/16/2015
000240,S,20150116,103,51,38,29,16,84,260,738,1087,998,881,751,781,767,847,1093,1146,1110,917,842,708,596,357,220,01/16/2015
000240,P,20150117,69,53,32,21,29,61,173,291,690,780,874,855,773,598,536,562,730,1235,675,410,298,363,233,168,01/17/2015
000240,S,20150117,132,76,72,33,17,46,163,445,975,1248,1106,885,905,936,917,1025,1170,1073,723,559,457,353,226,127,01/17/2015
000240,P,20150118,90,61,32,24,30,62,155,422,724,951,959,884,727,797,880,966,1010,760,532,465,396,215,165,91,01/18/2015
000240,S,20150118,80,39,35,19,16,51,160,591,923,935,828,763,677,665,691,789,993,837,502,356,314,212,135,68,01/18/2015
000240,P,20150119,43,29,29,19,66,148,343,774,916,968,1046,849,867,532,532,877,1002,579,519,331,236,186,112,94,01/19/2015
000240,S,20150119,44,23,28,15,23,91,257,772,1038,942,843,696,712,645,817,877,854,799,549,380,186,170,110,66,01/19/2015
000240,P,20150120,26,28,16,8,45,71,241,591,538,485,487,493,583,646,677,838,939,814,497,274,232,200,129,72,01/20/2015
000240,S,20150120,31,16,17,13,15,88,208,532,987,716,569,546,555,502,539,750,785,753,565,337,224,200,127,74,01/20/2015
000240,P,20150121,43,21,16,11,34,85,215,657,625,538,548,581,573,592,639,777,886,775,453,261,248,205,107,76,01/21/2015
000240,S,20150121,31,26,20,12,13,63,255,673,882,787,655,569,619,597,595,776,816,694,486,366,298,254,150,88,01/21/2015
000240,P,20150122,38,25,12,10,23,79,180,549,610,518,518,571,634,649,837,969,1073,810,543,297,285,242,143,88,01/22/2015
000240,S,20150122,87,34,24,21,19,59,250,627,1089,926,815,686,599,658,681,831,926,875,682,458,386,310,210,161,01/22/2015
000240,P,20150123,39,31,24,16,38,66,169,627,650,624,646,649,654,719,912,1086,1141,992,569,379,315,290,202,134,01/23/2015
000240,S,20150123,70,50,34,11,19,81,257,761,1151,1004,924,755,746,745,765,998,1107,1106,841,754,657,582,318,190,01/23/2015
000240,P,20150124,87,37,37,21,39,71,148,464,747,846,784,749,786,848,1000,1260,1309,995,731,448,333,241,206,149,01/24/2015
000240,S,20150124,101,55,41,21,13,56,219,820,1204,1095,953,829,804,852,839,1014,1122,855,625,537,378,306,225,112,01/24/2015
000240,P,20150125,69,56,38,25,36,69,174,397,686,911,989,897,836,826,864,803,926,628,548,445,318,242,136,85,01/25/2015
000240,S,20150125,81,37,27,16,16,40,155,673,922,891,749,708,630,686,756,834,988,724,541,393,266,203,129,62,01/25/2015
000240,P,20150126,40,26,29,14,43,128,272,709,784,705,642,611,654,674,707,842,1034,904,537,345,227,178,136,61,01/26/2015
000240,S,20150126,50,30,19,15,14,86,269,628,907,849,739,640,663,585,723,770,851,872,594,403,252,201,119,69,01/26/2015
000240,P,20150127,29,18,18,9,29,93,211,615,652,590,619,602,633,624,727,869,1040,825,499,324,225,176,126,92,01/27/2015
000240,S,20150127,38,19,14,15,11,82,250,711,927,783,748,601,619,624,656,841,854,848,551,353,294,199,153,80,01/27/2015
