FormattedDate,all_day_east,all_day_west
2014-12-18,9551,10854
2014-12-19,10943,12741
2014-12-20,10377,12167
2014-12-21,8268,8434
2014-12-22,8378,8682
2014-12-23,11351,11963
2014-12-24,10386,11332
2014-12-25,6397,7140
2014-12-26,10098,11929
2014-12-27,11850,12729
2014-12-28,10020,10488
2014-12-29,11543,12233
2014-12-30,11695,12947
2014-12-31,11933,14506
2015-01-01,10507,10806
2015-01-02,13588,14560
2015-01-03,11335,11586
2015-01-04,9831,9812
2015-01-05,10421,10727
2015-01-06,10165,11118
2015-01-07,10285,11556
2015-01-08,10827,11970
2015-01-09,11577,13384
2015-01-10,11321,12186
2015-01-11,9624,8240
2015-01-12,9490,9960
2015-01-13,9488,10205
2015-01-14,10103,11256
2015-01-15,10476,12487
2015-01-16,11488,14382
2015-01-17,10477,13597
2015-01-18,11366,10644
2015-01-19,11068,10909
2015-01-20,8914,9132
2015-01-21,8950,9705
2015-01-22,9691,11390
2015-01-23,10948,13892
2015-01-24,12299,13035
2015-01-25,10966,10500
2015-01-26,10273,10329
2015-01-27,9627,10257
2015-01-28,9660,10803
2015-01-29,9581,11439
2015-01-30,11245,14236
2015-01-31,13648,14743
2015-02-01,11241,10436
2015-02-02,10913,10536
2015-02-03,10324,10289
2015-02-04,8263,8940
2015-02-05,10728,12740
2015-02-06,11966,15039
2015-02-07,13618,14302
2015-02-08,11773,10965
2015-02-09,10599,10548
2015-02-10,9261,9714
2015-02-11,10078,10826
2015-02-12,21056,24824
2015-02-13,11901,14568
2015-02-14,23862,26904
2015-02-15,11013,11015
2015-02-16,11516,10823
2015-02-17,11259,11478
2015-02-18,10826,11774
2015-02-19,11124,13076
2015-02-20,11623,12047
2015-02-21,10606,11479
2015-02-22,10279,8964
2015-02-23,10680,10225
2015-02-24,10162,10640
2015-02-25,9022,9802
2015-02-26,9742,11243
2015-02-27,10180,12978
2015-02-28,11196,12144
2015-03-01,11066,9755
2015-03-02,10508,10311
2015-03-03,9121,9861
2015-03-04,9461,10515
2015-03-05,10276,12169
2015-03-06,11921,14468
2015-03-07,12217,13534
2015-03-09,11121,11563
2015-03-10,10866,11724
2015-03-11,11241,12152
2015-03-12,10509,12432
2015-03-13,11497,13166
2015-03-14,11632,13126
2015-03-15,10881,11125
2015-03-16,11264,12190
2015-03-17,11123,11871
2015-03-18,11352,11929
2015-03-19,10644,12516
2015-03-20,12462,13861
2015-03-21,10925,12385
2015-03-22,10568,10219
2015-03-23,11271,11688
2015-03-24,10723,11274
2015-03-25,9775,10563
2015-03-26,11386,12606
2015-03-27,12114,13610
2015-03-28,10709,11759
2015-03-29,10141,9571
2015-03-30,10250,10692
2015-03-31,10068,10908
2015-04-01,10179,11016
2015-04-02,9888,10943
2015-04-03,11043,12253
2015-04-04,9942,10259
2015-04-05,8279,7549
2015-04-06,8851,9086
2015-04-07,8591,9157
2015-04-08,8472,9012
2015-04-09,8112,8753
2015-04-10,9095,10211
2015-04-11,8679,9519
2015-04-12,8001,6889
2015-04-13,8455,8726
2015-04-14,8262,8752
2015-04-15,7973,8562
2015-04-16,7448,8162
2015-04-17,7981,9045
2015-04-18,8345,8565
2015-04-19,8060,7139
2015-04-20,7598,7560
2015-04-21,7795,7969
2015-04-22,7620,8011
2015-04-23,7666,8111
2015-04-24,7779,8586
2015-04-25,6175,6727
2015-04-26,4883,4190
2015-04-27,7097,7426
2015-04-28,7789,8098
2015-04-29,7646,8121
2015-04-30,7582,8255
2015-05-01,7829,8635
2015-05-02,5915,6413
2015-05-03,5339,5051
2015-05-04,7004,7499
2015-05-05,7069,7614
2015-05-06,7012,7579
2015-05-07,7274,7863
2015-05-08,6953,7830
2015-05-09,5142,5436
2015-05-10,4110,4112
2015-05-11,7126,7856
2015-05-12,7575,8036
2015-05-13,7559,8230
2015-05-14,7602,8275
2015-05-15,7852,8857
2015-05-16,5924,6479
2015-05-17,5613,5366
2015-05-18,7487,8031
2015-05-19,6638,7328
2015-05-20,7826,8514
2015-05-21,7773,8661
2015-05-22,7865,9338
2015-05-23,6771,7832
2015-05-24,6610,6842
2015-05-25,6654,6259
2015-05-26,8276,8778
2015-05-27,8227,8995
2015-05-28,8103,8986
2015-05-29,8685,9971
2015-05-30,7285,8093
2015-05-31,6471,6269
2015-06-01,8454,9467
2015-06-02,8868,9786
2015-06-03,8730,9799
2015-06-04,8715,9766
2015-06-05,8888,10074
2015-06-06,7548,8238
2015-06-07,6891,7165
2015-06-08,9073,9910
2015-06-09,8701,9946
2015-06-10,9075,10147
2015-06-11,9000,9884
2015-06-12,9969,12054
2015-06-13,9970,10773
2015-06-14,8766,7989
