COUNTSTATIONID,COUNTDIR,COUNTDATE,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
11,P,20140101,87,53,47,37,72,96,297,502,530,589,692,809,801,691,617,600,598,464,363,308,253,206,118,96,1/1/14
11,S,20140101,139,134,95,68,42,61,69,135,190,221,375,476,694,583,597,855,1031,701,501,474,264,240,164,140,1/1/14
11,P,20140102,72,40,56,63,102,214,550,1180,1100,967,951,921,934,892,841,772,705,688,520,315,307,235,220,100,1/2/14
11,S,20140102,93,68,55,45,56,121,175,411,410,599,659,926,908,905,828,1067,1263,1302,759,444,353,281,208,150,1/2/14
11,P,20140103,62,59,41,55,85,192,533,1122,1164,975,969,981,1030,1001,903,950,876,755,593,458,308,241,206,147,1/3/14
11,S,20140103,111,71,66,59,54,160,193,437,450,515,641,837,1037,859,982,1160,1291,1300,721,571,476,392,268,187,1/3/14
11,P,20140104,63,64,41,56,74,149,285,629,640,679,665,659,611,569,485,539,490,431,317,209,153,144,136,89,1/4/14
11,S,20140104,119,92,79,48,47,83,82,141,231,301,395,389,522,569,554,618,690,590,485,295,258,225,171,135,1/4/14
11,P,20140105,58,39,29,41,51,111,252,550,666,745,821,851,801,702,673,587,526,474,447,314,237,168,92,99,1/5/14
11,S,20140105,88,46,39,45,29,81,80,152,232,358,498,667,744,719,675,1035,836,578,461,334,256,204,130,103,1/5/14
11,P,20140106,54,54,37,52,89,197,504,1274,1058,848,785,788,827,701,717,631,619,491,370,300,196,180,115,77,1/6/14
11,S,20140106,59,62,48,36,49,104,175,381,434,408,591,758,777,680,829,1040,1166,1233,633,401,294,196,203,129,1/6/14
11,P,20140107,42,52,34,60,74,210,506,1268,1053,751,701,644,647,674,736,667,644,534,340,279,113,104,97,161,1/7/14
11,S,20140107,71,81,63,50,51,112,179,387,457,463,560,676,673,679,757,855,1077,1171,597,383,287,284,168,130,1/7/14
11,P,20140108,68,25,40,31,82,199,489,1212,1005,798,674,685,634,664,653,622,637,525,337,218,184,156,101,63,1/8/14
11,S,20140108,74,50,44,37,25,120,154,366,413,429,525,659,607,667,709,906,1108,1109,573,423,321,242,183,116,1/8/14
11,P,20140109,36,33,35,37,89,202,479,1190,1018,743,712,652,724,670,643,640,624,526,361,204,211,173,100,65,1/9/14
11,S,20140109,70,53,67,50,47,103,191,348,424,484,534,625,662,666,731,860,1119,1182,672,431,319,251,162,107,1/9/14
11,P,20140110,29,32,39,48,80,178,423,1102,1010,761,644,646,608,513,700,556,650,461,380,259,190,149,118,85,1/10/14
11,S,20140110,78,67,57,60,51,121,135,309,369,351,414,571,649,650,698,851,900,997,695,420,295,261,231,204,1/10/14
11,P,20140111,41,37,27,49,69,125,318,636,798,745,742,750,746,701,629,591,501,465,379,252,181,195,158,92,1/11/14
11,S,20140111,107,63,51,38,44,94,121,202,220,388,402,505,799,862,720,797,857,674,545,333,261,229,185,139,1/11/14
11,P,20140112,63,44,39,30,63,88,244,475,510,588,321,243,217,970,496,392,347,278,253,193,190,120,102,63,1/12/14
11,S,20140112,81,54,50,38,36,77,84,157,175,272,321,372,423,502,510,514,533,450,379,272,280,326,153,88,1/12/14
11,P,20140113,38,37,42,61,106,190,479,1143,1072,756,643,619,620,532,583,536,576,466,318,207,160,158,94,53,1/13/14
11,S,20140113,58,41,48,48,53,97,177,385,331,454,442,384,763,873,928,1002,1154,1036,599,365,311,262,161,104,1/13/14
11,P,20140114,39,31,39,46,73,189,519,1206,1086,734,641,571,581,546,625,542,532,509,347,217,210,152,110,67,1/14/14
11,S,20140114,56,59,49,58,53,106,167,355,436,375,450,553,614,602,692,870,1075,1133,651,378,330,188,139,97,1/14/14
11,P,20140115,50,29,43,48,72,196,559,1220,1037,814,687,637,690,666,669,633,646,588,401,234,217,262,163,62,1/15/14
11,S,20140115,77,61,48,61,46,122,161,406,417,443,519,776,697,672,768,986,1196,1188,713,434,340,285,184,137,1/15/14
11,P,20140116,46,35,46,54,86,215,491,1250,1070,763,698,641,717,655,684,746,656,570,465,262,317,174,145,77,1/16/14
11,S,20140116,93,65,69,71,71,113,212,458,488,471,570,654,626,667,715,945,1205,1209,734,491,383,312,190,130,1/16/14
11,P,20140117,36,40,43,47,75,187,493,1209,1092,857,861,835,793,778,816,792,747,700,525,337,291,216,161,133,1/17/14
11,S,20140117,84,43,83,52,63,115,198,394,486,508,599,723,720,804,855,1146,1323,1318,814,635,595,417,320,193,1/17/14
11,P,20140118,53,42,26,28,61,152,320,628,743,710,779,825,722,679,706,664,620,533,453,315,240,189,149,86,1/18/14
11,S,20140118,102,68,65,45,48,104,160,289,343,384,541,693,740,872,839,869,924,712,602,406,343,251,229,142,1/18/14
11,P,20140119,51,33,44,35,46,96,274,556,759,800,746,676,675,519,494,402,466,395,437,257,231,200,114,73,1/19/14
11,S,20140119,107,44,48,40,39,72,89,175,256,381,590,699,680,586,529,633,672,593,594,520,400,232,181,113,1/19/14
11,P,20140120,43,33,39,57,73,209,497,1089,994,861,932,892,820,686,631,606,643,556,479,306,245,160,139,82,1/20/14
11,S,20140120,81,55,53,39,44,125,216,359,435,549,750,803,832,815,904,1099,1188,1136,665,453,313,276,182,101,1/20/14
11,P,20140121,33,34,42,50,79,182,550,1263,1075,756,656,664,677,619,662,584,572,580,419,264,228,178,116,87,1/21/14
11,S,20140121,71,53,49,42,66,136,186,458,493,506,560,640,650,627,717,892,1110,1150,662,420,345,273,170,133,1/21/14
11,P,20140122,43,37,35,46,78,208,535,1227,1043,790,645,684,704,678,649,624,662,558,401,255,244,236,130,59,1/22/14
11,S,20140122,80,55,49,45,55,124,223,481,494,480,650,615,630,652,746,873,1147,1165,691,438,403,272,181,137,1/22/14
11,P,20140123,35,29,26,50,63,197,538,1223,1100,710,635,602,604,611,676,634,665,616,465,274,271,220,177,86,1/23/14
11,S,20140123,88,51,53,38,62,101,165,390,416,421,469,671,661,705,858,904,1186,1197,731,537,437,344,210,149,1/23/14
11,P,20140124,44,35,41,42,83,200,510,1182,1048,768,742,775,777,760,712,704,785,705,471,336,264,250,192,116,1/24/14
11,S,20140124,88,68,70,55,52,104,205,385,470,471,596,715,755,829,977,1253,1304,1451,962,722,681,463,293,202,1/24/14
11,P,20140125,76,32,37,41,60,131,345,643,776,680,736,734,720,625,630,570,564,532,465,282,271,269,249,154,1/25/14
11,S,20140125,118,74,69,57,61,98,175,290,346,456,653,778,782,818,802,909,942,740,600,403,358,309,221,165,1/25/14
11,P,20140126,70,32,36,37,49,113,273,444,623,771,926,1030,925,866,662,680,718,683,630,456,366,327,359,251,1/26/14
11,S,20140126,96,51,49,37,40,90,114,231,290,432,570,678,801,733,876,950,946,755,596,377,315,231,162,105,1/26/14
11,P,20140127,95,50,39,59,108,215,543,1307,1139,802,813,822,784,751,644,618,543,456,285,198,142,137,99,37,1/27/14
11,S,20140127,66,45,42,31,52,99,172,433,410,441,509,583,643,599,704,942,959,933,498,323,269,212,164,91,1/27/14
11,P,20140128,29,24,31,34,91,168,498,1174,1135,711,626,621,627,612,679,591,604,576,370,239,214,165,122,57,1/28/14
11,S,20140128,67,46,42,48,60,98,159,349,400,434,516,650,634,618,723,923,1041,1168,602,411,282,234,192,102,1/28/14
11,P,20140129,33,25,26,37,73,186,521,1217,1019,746,698,618,677,663,675,648,651,587,391,249,211,185,111,63,1/29/14
11,S,20140129,57,63,56,52,43,113,193,389,464,518,528,584,608,638,777,891,1105,1033,577,384,361,268,172,135,1/29/14
11,P,20140130,33,27,39,60,74,192,426,971,773,520,383,467,390,446,364,325,260,323,180,105,72,78,56,54,1/30/14
11,S,20140130,74,51,39,61,38,83,147,245,277,329,243,383,344,438,517,585,902,774,386,251,180,142,146,98,1/30/14
11,P,20140131,41,29,34,47,60,144,337,817,715,547,461,446,445,424,324,462,347,327,186,163,127,91,82,44,1/31/14
11,S,20140131,69,41,48,37,46,42,80,163,181,235,206,424,574,553,659,739,816,722,438,229,184,181,178,145,1/31/14
11,P,20140201,27,21,22,51,61,113,269,625,666,547,604,629,411,334,473,911,458,424,330,211,156,162,93,87,2/1/14
11,S,20140201,169,97,57,27,40,74,118,191,232,333,420,521,717,689,611,780,758,588,444,284,255,238,190,102,2/1/14
11,P,20140202,31,30,29,27,47,110,214,440,541,646,644,623,527,493,467,444,309,207,176,174,298,145,115,52,2/2/14
11,S,20140202,92,45,40,30,37,80,104,194,200,313,479,556,619,608,578,719,522,291,221,257,316,200,131,76,2/2/14
11,P,20140203,35,32,38,55,94,199,520,1153,1101,780,758,653,698,587,584,615,570,551,358,207,162,107,117,60,2/3/14
11,S,20140203,61,41,45,34,43,122,186,409,485,521,630,639,653,661,758,897,1061,1101,619,381,286,214,189,121,2/3/14
11,P,20140204,49,41,24,44,77,165,475,1065,1030,641,568,544,527,429,564,535,506,458,288,180,193,144,91,59,2/4/14
11,S,20140204,70,58,55,46,39,88,140,379,391,405,376,321,374,476,923,727,1004,1036,576,340,290,206,150,114,2/4/14
11,P,20140205,39,39,33,35,71,186,486,1107,994,700,640,558,681,621,633,585,566,557,378,216,187,169,141,60,2/5/14
11,S,20140205,68,43,59,40,45,96,139,357,372,410,480,673,669,679,711,848,1023,1180,628,402,316,262,174,106,2/5/14
11,P,20140206,34,40,56,50,73,177,450,1126,871,695,561,586,617,628,606,602,602,577,420,228,173,200,125,49,2/6/14
11,S,20140206,84,58,56,60,43,92,156,359,427,408,450,568,610,646,689,887,1095,1103,639,440,344,367,190,133,2/6/14
11,P,20140207,40,36,32,35,79,183,478,1108,965,718,713,684,626,653,725,604,591,531,429,277,207,178,101,67,2/7/14
11,S,20140207,91,78,66,42,45,89,165,332,343,346,346,625,541,990,806,829,896,991,697,715,444,365,270,229,2/7/14
11,P,20140208,72,35,26,33,51,144,278,618,756,611,627,510,633,509,526,492,433,421,351,180,138,177,124,77,2/8/14
11,S,20140208,94,59,60,54,53,103,98,189,251,406,338,511,641,663,602,493,670,847,754,362,298,235,179,138,2/8/14
11,P,20140209,38,32,28,49,61,101,239,556,683,621,686,633,648,584,498,521,469,423,282,159,124,138,69,47,2/9/14
11,S,20140209,84,47,43,37,33,63,76,142,136,311,343,387,512,597,740,868,723,592,453,365,260,200,152,110,2/9/14
11,P,20140210,38,46,38,62,125,213,548,1228,1102,672,633,564,595,414,622,564,577,496,350,229,151,150,100,62,2/10/14
11,S,20140210,73,37,41,31,25,60,172,359,320,315,405,597,598,583,698,745,1016,1066,637,378,269,238,146,111,2/10/14
11,P,20140211,20,34,28,50,89,198,579,1291,1131,791,722,667,661,582,682,583,544,550,375,247,211,171,119,60,2/11/14
11,S,20140211,60,49,45,54,48,115,191,412,477,488,546,733,627,656,532,601,858,1299,849,600,363,253,165,142,2/11/14
11,P,20140212,40,19,28,50,91,206,572,1239,1052,804,684,687,631,669,657,628,626,605,399,263,222,188,127,74,2/12/14
11,S,20140212,63,72,53,48,57,118,174,433,435,539,495,736,640,667,731,891,1116,1230,658,448,363,270,187,124,2/12/14
11,P,20140213,40,23,42,45,77,214,555,1201,1054,678,642,606,639,641,687,664,626,619,485,276,268,179,118,75,2/13/14
11,S,20140213,84,48,57,69,52,104,168,442,404,405,320,573,764,949,764,925,1113,1216,643,456,470,471,246,206,2/13/14
11,P,20140214,41,39,43,59,98,204,527,1279,1044,777,767,789,766,639,714,717,741,658,478,309,210,224,146,92,2/14/14
11,S,20140214,95,64,74,78,60,122,166,418,394,427,501,733,936,987,1142,1235,1325,1147,500,263,395,234,514,568,2/14/14
11,P,20140215,51,43,63,44,71,147,352,674,680,777,751,715,709,627,625,500,507,478,351,282,228,149,167,100,2/15/14
11,S,20140215,343,168,80,70,67,112,215,348,308,472,700,689,742,747,739,815,957,765,560,382,348,254,223,174,2/15/14
11,P,20140216,53,36,25,48,48,91,249,560,588,688,797,785,760,696,588,668,652,506,423,322,206,197,135,118,2/16/14
11,S,20140216,97,62,51,38,28,75,110,174,280,361,463,615,660,692,719,893,872,725,470,376,331,259,220,121,2/16/14
11,P,20140217,46,44,26,69,129,255,532,1191,1149,1081,1069,850,802,788,725,611,634,597,474,357,292,231,160,97,2/17/14
11,S,20140217,77,71,49,39,45,123,181,348,401,537,677,794,755,733,820,922,1176,1167,722,431,333,236,179,106,2/17/14
