FormattedDate,all_day_east,all_day_west
2014-10-31,11905,13083
2014-11-01,8769,9188
2014-11-02,8559,8160
2014-11-03,10565,10717
2014-11-04,11003,10766
2014-11-05,11239,10944
2014-11-06,12053,11556
2014-11-07,13059,13167
2014-11-08,9922,9950
2014-11-09,9850,8957
2014-11-12,8397,8195
2014-11-13,8276,7007
2014-11-14,10390,10409
2014-11-15,6404,6078
2014-11-16,7579,7102
2014-11-17,10233,10302
2014-11-18,10447,10435
2014-11-19,10961,10776
2014-11-20,11434,11192
2014-11-21,12933,12885
2014-11-22,10104,10448
2014-11-23,6317,6863
2014-11-24,8904,9506
2014-11-25,10366,10706
2014-11-26,13380,15290
2014-11-27,6644,7413
2014-11-28,10058,10409
2014-11-29,12092,10741
2014-11-30,12710,11417
2014-12-01,11653,10839
2014-12-02,10743,10617
2014-12-03,10327,10520
2014-12-04,11001,10778
2014-12-05,11452,11277
2014-12-06,8920,8821
2014-12-07,7801,8192
2014-12-08,10156,10685
2014-12-09,10346,10325
2014-12-10,11072,10891
2014-12-11,11932,11696
2014-12-12,12667,12115
2014-12-13,9385,9561
2014-12-14,7044,7116
2014-12-15,10433,10686
2014-12-16,10672,10671
2014-12-17,10906,10738
2014-12-18,11554,11810
2014-12-19,13125,14210
2014-12-20,11807,12903
2014-12-21,8138,8745
2014-12-22,8361,9099
2014-12-23,12858,13660
2014-12-24,11469,12579
2014-12-25,5418,5980
2014-12-26,9924,10378
2014-12-27,12937,13292
2014-12-28,10857,11100
2014-12-29,10849,11172
2014-12-30,11674,11609
2014-12-31,12267,12194
2015-01-01,8869,9038
2015-01-02,13829,12796
2015-01-03,11425,9658
2015-01-04,10462,9625
2015-01-05,11652,11583
2015-01-06,11402,11106
2015-01-07,11088,10976
2015-01-08,11304,11290
2015-01-09,12061,11903
2015-01-10,9770,9251
2015-01-11,8088,7948
2015-01-12,10221,10653
2015-01-13,9958,9836
2015-01-14,10924,10976
2015-01-16,12559,13344
2015-01-17,9605,10478
2015-01-18,9225,9437
2015-02-01,8674,8311
2015-02-02,10747,10644
2015-02-03,10838,10889
2015-02-19,12076,11941
2015-02-20,12232,11754
2015-02-21,7592,7743
2015-02-22,7796,7869
2015-02-23,10429,10447
2015-02-24,11494,11356
2015-02-25,10403,9735
2015-02-26,10446,11090
2015-02-27,11507,12079
2015-02-28,9137,9375
2015-03-01,9161,8764
2015-03-02,9582,10292
2015-03-03,9692,9743
2015-03-04,10923,10781
2015-03-05,12215,12709
2015-03-06,13488,14374
2015-03-07,10932,11482
2015-03-09,12225,11795
2015-03-10,11916,11877
2015-03-11,12456,12188
2015-03-12,12701,13130
2015-03-13,13778,15115
2015-03-14,11822,12944
2015-03-15,12083,12221
2015-03-16,12606,12675
2015-03-17,12675,12025
2015-03-18,13038,12515
2015-03-19,13286,13363
2015-03-20,15931,16798
2015-03-21,13323,13971
2015-03-22,13085,13147
2015-03-23,13588,13714
2015-03-24,13418,12795
2015-03-25,12885,12440
2015-03-26,14380,14479
2015-03-27,16329,15434
2015-03-28,14540,12927
2015-03-29,15005,12476
2015-03-30,13692,12734
2015-03-31,13114,12660
2015-04-01,13481,12959
2015-04-02,13188,13190
2015-04-03,14470,14828
2015-04-04,12568,11570
2015-04-05,12029,9963
2015-04-06,13386,12792
2015-04-07,12695,12182
2015-04-08,12484,12026
2015-04-09,12691,12382
2015-04-10,14650,14170
2015-04-11,10683,10198
2015-04-12,11127,10356
2015-04-13,11524,11062
2015-04-14,11252,10907
2015-04-15,10891,10934
2015-04-16,10554,10351
2015-04-17,10113,9815
2015-04-18,8292,8427
2015-04-19,9759,8638
2015-04-20,11272,11459
2015-04-21,12049,12570
2015-04-22,11691,11868
2015-04-23,12051,12583
2015-04-24,13462,13775
2015-04-25,10009,9588
2015-04-26,10530,8898
2015-04-27,11392,11239
2015-04-28,11646,11588
2015-04-29,12098,12259
2015-04-30,12656,13203
2015-05-01,13716,15195
2015-05-02,9986,10389
2015-05-03,12762,10205
2015-05-04,11941,11672
2015-05-05,11546,11300
2015-05-06,11442,11235
2015-05-07,12767,12718
2015-05-08,13834,14129
2015-05-09,9683,9892
2015-05-10,9468,9069
2015-05-11,11942,12747
2015-05-12,12325,12333
2015-05-13,12915,12755
2015-05-14,14192,13749
2015-05-15,14969,16241
2015-05-16,10877,11516
2015-05-17,13047,11534
2015-05-18,12953,13464
2015-05-19,11919,11769
2015-05-20,13319,13527
2015-05-21,14023,14847
2015-05-22,15181,18650
2015-05-23,11039,13431
2015-05-24,11271,10902
2015-05-25,15770,11556
2015-05-26,13712,13299
2015-06-01,13671,13426
2015-06-02,13126,13447
2015-06-03,13547,13565
2015-06-04,14264,14780
2015-06-05,15518,16217
2015-06-06,12320,12344
2015-06-07,13969,13154
2015-06-08,14010,14243
2015-06-09,13668,13457
2015-06-10,13939,13990
2015-06-11,12371,13091
2015-06-12,15477,17217
2015-06-13,12685,13881
2015-06-14,14993,12907
