FormattedDate,all_day_east,all_day_west
2014-10-31,8389,9503
2014-11-01,7182,7772
2014-11-02,8009,7513
2014-11-03,6212,6518
2014-11-04,7132,6848
2014-11-05,7191,7121
2014-11-06,8042,7969
2014-11-07,9704,10454
2014-11-08,8405,8752
2014-11-09,10216,8222
2014-11-10,5895,5928
2014-11-11,6984,7028
2014-11-12,4757,4615
2014-11-13,5003,5681
2014-11-14,6733,7974
2014-11-15,3898,4795
2014-11-16,7069,6224
2014-11-17,6242,6926
2014-11-18,6621,6944
2014-11-19,7371,7299
2014-11-20,7739,7778
2014-11-21,9955,10762
2014-11-22,8226,9732
2014-11-23,6228,6376
2014-11-24,6373,6991
2014-11-25,7142,8322
2014-11-26,11010,14191
2014-11-27,5329,7557
2014-11-28,9490,10727
2014-11-29,13029,10361
2014-11-30,14028,10314
2014-12-01,7819,7538
2014-12-02,6681,6821
2014-12-03,6413,6800
2014-12-04,6893,7523
2014-12-05,7549,10109
2014-12-06,8042,8411
2014-12-07,9476,7372
2014-12-08,7201,7266
2014-12-09,6716,6638
2014-12-10,7279,7380
2014-12-11,7941,8487
2014-12-12,9286,10819
2014-12-13,8516,9712
2014-12-14,6369,6245
2014-12-15,7795,7811
2014-12-16,7451,7387
2014-12-17,7476,7840
2014-12-18,7741,8780
2014-12-19,10018,13178
2014-12-20,10940,13963
2014-12-21,8209,8923
2014-12-22,6988,6704
2014-12-23,10505,11097
2014-12-24,9162,10431
2014-12-25,5264,6446
2014-12-26,7734,10376
2014-12-27,12495,13669
2014-12-28,9362,11178
2014-12-29,8313,9570
2014-12-30,9086,9726
2014-12-31,8544,11082
2015-01-01,6907,9459
2015-01-02,11033,12559
2015-01-03,8899,9026
2015-01-04,9257,8643
2015-01-05,6806,8242
2015-01-06,7283,7525
2015-01-07,7701,7716
2015-01-08,7074,8808
2015-01-10,7869,9903
2015-01-11,6843,6981
2015-01-12,6843,7225
2015-01-13,6565,6351
2015-01-14,7846,7998
2015-01-15,8194,9567
2015-01-16,9809,13747
2015-01-17,8830,10972
2015-01-18,11127,9599
2015-01-19,12406,8310
2015-01-20,7390,6655
2015-01-21,6734,6879
2015-01-22,7380,9533
2015-01-23,5806,14134
2015-01-24,7125,11379
2015-01-25,11646,8434
2015-01-28,7653,7781
2015-01-29,7809,8888
2015-01-30,8825,12290
2015-01-31,8679,9709
2015-02-01,10409,7715
2015-02-02,8654,7668
2015-02-03,7928,8324
2015-02-04,6266,6254
2015-02-05,8787,10133
2015-02-06,10517,14311
2015-02-07,11118,11951
2015-02-08,13556,8883
2015-02-09,9460,8162
2015-02-10,7024,7013
2015-02-11,7878,7974
2015-02-12,9005,11476
2015-02-13,11006,16212
2015-02-14,10169,11530
2015-02-15,12378,8764
2015-02-16,11497,7182
2015-02-17,9130,7640
2015-02-18,8404,8725
2015-02-19,9250,10238
2015-02-20,9938,12081
2015-02-21,7332,8247
2015-02-22,10206,7087
2015-02-23,9139,7185
2015-02-24,8681,8326
2015-02-26,7283,9117
2015-02-27,9571,13054
2015-02-28,10127,10490
2015-03-01,11903,8124
2015-03-02,8310,7209
2015-03-03,7149,7158
2015-03-04,8431,8560
2015-03-05,9646,10790
2015-03-06,11546,15512
2015-03-07,12409,13556
2015-03-09,10102,8496
2015-03-10,8624,8332
2015-03-11,9313,9276
2015-03-12,9570,10630
2015-03-13,11033,14411
2015-03-14,12022,13440
2015-03-15,13423,11813
2015-03-16,9996,9488
2015-03-17,9196,8507
2015-03-18,9905,9410
2015-03-19,9796,10316
2015-03-20,13429,15848
2015-03-21,13592,14518
2015-03-22,14624,12745
2015-03-28,6339,5528
2015-03-29,6847,4852
2015-03-31,9404,8831
2015-04-01,9951,9542
2015-04-02,9347,9945
2015-04-03,10852,12220
2015-04-04,12251,10713
2015-04-05,12565,8695
2015-04-06,9906,8824
2015-04-07,8827,8195
2015-04-08,8791,8504
2015-04-09,9036,9200
2015-04-10,11410,11416
2015-04-11,10760,9718
2015-04-12,12443,9336
2015-04-15,7525,7575
2015-04-16,6830,7100
2015-04-17,6826,8871
2015-04-18,6848,8916
2015-04-19,10748,8137
2015-04-20,7829,7616
2015-04-21,7934,8314
2015-04-22,7591,7642
2015-04-23,7797,8529
2015-04-24,9272,10167
2015-04-25,8284,7857
2015-04-26,8543,7855
2015-04-27,7133,7503
2015-05-01,9524,11277
2015-05-02,8181,8556
2015-05-03,11299,9089
2015-05-05,7234,7028
2015-05-06,6970,7358
2015-05-07,8344,8187
2015-05-08,9409,10076
2015-05-09,6916,7460
2015-05-10,7759,7480
2015-05-11,7709,8932
2015-05-12,7755,8144
2015-05-13,8457,8404
2015-05-14,9699,9468
2015-05-15,10343,12159
2015-05-16,8384,9273
2015-05-17,11480,10201
2015-05-18,8307,9160
2015-05-19,7090,7551
2015-05-20,8515,9039
2015-05-21,9347,10471
2015-05-22,10976,15490
2015-05-23,8613,12218
2015-05-24,10625,9907
2015-05-25,14627,9733
2015-05-26,9110,8918
2015-05-27,8284,8836
2015-05-28,8841,9690
2015-05-29,10429,12299
2015-05-30,9894,10773
2015-05-31,12519,10639
2015-06-03,9002,9593
2015-06-04,9742,11156
2015-06-05,11293,14024
2015-06-06,11145,11929
2015-06-07,14775,11817
2015-06-09,9449,9265
2015-06-10,8862,9744
2015-06-11,7310,8692
2015-06-12,12032,13578
2015-06-13,10617,11569
2015-06-14,14115,12327
