FormattedDate,all_day_east,all_day_west
2014-10-31,11642,13302
2014-11-01,11058,13007
2014-11-02,13068,10752
2014-11-03,7653,9044
2014-11-04,5782,9291
2014-11-07,13641,16888
2014-11-08,13718,14764
2014-11-09,17876,12303
2014-11-10,9387,8538
2014-11-11,9944,10026
2014-11-12,6871,6925
2014-11-13,8635,8881
2014-11-14,11125,14896
2014-11-15,10021,10502
2014-11-16,16476,11249
2014-11-17,10446,10093
2014-11-18,9467,9687
2014-11-19,10527,10337
2014-11-21,13889,17923
2014-11-22,15408,18432
2014-11-23,14425,13158
2014-11-24,11643,12662
2014-11-25,12747,15040
2014-11-26,18876,24653
2014-11-27,11559,14835
2014-11-28,17353,20211
2014-11-29,23684,16920
2014-11-30,24250,14419
2014-12-01,12637,11024
2014-12-02,9689,10090
2014-12-03,9157,10015
2014-12-04,10028,11763
2014-12-05,12232,18180
2014-12-06,15744,16970
2014-12-07,19004,12460
2014-12-08,11273,10708
2014-12-10,10560,11002
2014-12-11,11604,13294
2014-12-12,13787,19898
2014-12-13,15746,18562
2014-12-14,18533,11487
2014-12-15,13921,12428
2014-12-16,11755,11493
2014-12-17,11937,12013
2014-12-18,12281,14387
2014-12-19,15981,23289
2014-12-20,18659,24867
2014-12-21,17251,17400
2014-12-22,13645,12306
2014-12-23,19928,19922
2014-12-24,16183,17996
2014-12-25,11339,14092
2014-12-26,15196,20230
2014-12-27,22429,24624
2014-12-28,19982,19271
2014-12-29,15112,15263
2014-12-30,14850,15404
2014-12-31,16172,21631
2015-01-01,19111,17933
2015-01-02,26123,22555
2015-01-03,23326,17614
2015-01-04,24858,15830
2015-01-05,16787,14821
2015-01-06,12864,12292
2015-01-07,11808,12117
2015-01-08,13325,14872
2015-01-09,15483,21982
2015-01-10,20728,19511
2015-01-11,23069,13106
2015-01-12,12670,10460
2015-01-13,10324,10095
2015-01-14,12346,12913
2015-01-15,12764,16778
2015-01-16,15809,28388
2015-01-17,17579,22259
2015-01-18,23618,17002
2015-01-19,25559,13664
2015-01-20,12970,11182
2015-01-21,10396,10540
2015-01-22,11531,16183
2015-01-23,14334,27628
2015-01-24,20122,21320
2015-01-25,27888,15270
2015-01-26,14364,11396
2015-01-27,11574,10663
2015-01-28,11358,12334
2015-01-29,11586,15134
2015-01-30,14322,25230
2015-01-31,18844,20839
2015-02-01,23701,15127
2015-02-02,15972,12347
2015-02-03,12651,12124
2015-02-04,9438,10250
2015-02-05,13866,18706
2015-02-06,16158,27720
2015-02-07,20657,21462
2015-02-08,27021,15520
2015-02-09,15649,11394
2015-02-10,10904,10481
2015-02-11,11541,12461
2015-02-12,12992,19519
2015-02-13,17049,29905
2015-02-14,17541,21169
2015-02-15,23065,16162
2015-02-16,21673,11874
2015-02-17,16446,12582
2015-02-18,13424,14550
2015-02-19,13760,17523
2015-02-20,15475,20640
2015-02-21,13947,15859
2015-02-22,20592,11332
2015-02-23,16519,11667
2015-02-24,13930,12964
2015-02-25,10641,11411
2015-02-26,10690,15096
2015-02-27,14534,25448
2015-02-28,18390,19432
2015-03-01,25750,15442
2015-03-02,14995,11292
2015-03-03,10927,10590
2015-03-04,11902,12576
2015-03-05,14661,18928
2015-03-06,18216,29156
2015-03-07,21583,24324
2015-03-09,16313,13646
2015-03-10,13190,12645
2015-03-11,14225,14311
2015-03-12,14625,16415
2015-03-13,17243,25437
2015-03-14,21050,24563
2015-03-15,24216,20065
2015-03-16,15775,14624
2015-03-17,13749,12516
2015-03-18,15140,14082
2015-03-19,15284,16419
2015-03-20,21452,26798
2015-03-21,22835,24121
2015-03-22,25080,20024
2015-03-23,16969,15667
2015-03-25,14106,13883
2015-03-26,17165,19328
2015-03-27,21018,23693
2015-03-28,22277,21431
2015-03-29,26000,16890
2015-05-05,9440,8918
2015-05-06,9476,8869
2015-05-07,10790,9738
2015-05-08,12688,13268
2015-05-09,10007,12116
2015-05-10,10956,11499
2015-05-11,9866,12118
2015-05-12,10213,9799
2015-05-13,10757,10706
2015-05-14,12306,12313
2015-05-15,14301,16706
2015-05-16,11934,13192
2015-05-17,16423,14266
2015-05-18,10830,11410
2015-05-19,9480,9918
2015-05-20,10878,11210
2015-05-21,12132,14129
2015-05-22,14051,22571
2015-05-23,12416,18296
2015-05-24,16104,14141
2015-05-25,21461,13118
2015-05-26,12994,11921
2015-05-28,11892,13183
2015-05-29,14104,17986
2015-05-30,14287,16211
2015-05-31,19377,15049
2015-06-02,11125,12496
2015-06-03,12222,12721
2015-06-04,12779,14974
2015-06-05,15315,20201
2015-06-06,15768,17205
2015-06-07,21648,16774
2015-06-08,13632,13807
2015-06-09,12412,12495
2015-06-10,12766,13189
2015-06-11,12437,14473
2015-06-12,15996,23171
2015-06-13,17214,19868
2015-06-14,23914,17799
