COUNTSTATIONID,COUNTDIR,COUNTDATE,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000126,P,20140101,208,268,163,97,68,131,270,634,1070,1072,1279,1348,1260,1116,1085,1082,1059,954,776,659,490,428,333,223,01/01/2014
000126,S,20140101,358,397,351,208,108,86,88,167,343,441,523,714,924,1077,931,1288,1924,1633,1165,967,653,536,413,372,01/01/2014
000126,P,20140102,149,99,53,76,94,199,566,1134,1922,1859,1730,1571,1523,1485,1399,1443,1444,1344,1069,745,512,462,431,303,01/02/2014
000126,S,20140102,299,170,113,56,56,97,182,380,769,975,1075,1315,1218,1466,1439,1593,2117,2290,1507,1013,808,599,500,439,01/02/2014
000126,P,20140103,169,98,72,65,82,187,448,1091,1839,1668,1660,1721,1567,1525,1580,1649,1681,1526,1194,850,661,477,399,312,01/03/2014
000126,S,20140103,339,183,126,95,66,122,188,405,817,949,1023,1218,1492,1414,1455,1675,2201,2260,1532,1206,994,823,618,529,01/03/2014
000126,P,20140104,192,92,97,64,73,172,290,680,1541,1365,1248,1037,1009,896,879,921,893,828,669,517,425,323,287,235,01/04/2014
000126,S,20140104,360,229,158,79,51,63,119,197,479,636,633,642,824,957,931,1087,1444,1316,1042,711,587,518,426,393,01/04/2014
000126,P,20140105,125,82,88,40,91,123,314,648,1199,1193,1397,1318,1134,990,975,1034,1019,814,724,700,451,342,208,170,01/05/2014
000126,S,20140105,269,156,132,73,41,58,106,188,513,575,734,814,960,1042,1038,1236,1314,1131,846,662,496,401,358,289,01/05/2014
000126,P,20140106,138,79,58,59,82,165,462,922,1663,1317,1351,1217,1255,1201,1161,1234,1149,1085,746,525,387,292,254,177,01/06/2014
000126,S,20140106,184,123,97,56,54,67,149,351,689,748,847,1051,1079,1046,1207,1392,1677,1812,1240,699,581,398,382,310,01/06/2014
000126,P,20140107,101,58,53,44,66,172,395,933,1777,1341,1272,1126,1062,1073,1056,1254,1218,1120,778,533,400,258,145,176,01/07/2014
000126,S,20140107,216,127,122,61,62,88,157,365,804,755,947,968,1021,1027,1084,1423,1691,1728,1174,742,562,453,384,327,01/07/2014
000126,P,20140108,201,77,40,52,55,162,383,895,1771,1310,1183,1120,1009,1081,1031,1159,1118,984,780,506,304,284,220,149,01/08/2014
000126,S,20140108,255,113,66,52,36,85,154,336,755,802,883,950,965,958,1090,1359,1602,1699,1159,753,585,424,387,367,01/08/2014
000126,P,20140109,100,63,58,47,57,135,344,901,1825,1405,1227,1138,1055,1059,1121,1142,1235,1076,793,530,357,305,233,169,01/09/2014
000126,S,20140109,227,126,121,84,69,80,168,312,736,798,921,942,1002,1045,1159,1396,1726,1829,1305,885,609,521,398,373,01/09/2014
000126,P,20140110,96,55,43,53,62,148,360,841,1848,1334,1133,928,961,899,931,995,1023,949,674,510,390,242,251,181,01/10/2014
000126,S,20140110,260,149,94,87,66,101,140,314,693,650,670,910,980,1152,1103,1276,1463,1603,1337,871,809,563,582,601,01/10/2014
000126,P,20140111,132,78,62,40,89,143,339,887,1976,1484,1285,1140,1082,987,1041,1083,1075,930,834,613,433,331,320,248,01/11/2014
000126,S,20140111,445,205,133,89,59,92,119,259,467,699,770,847,1047,1375,1261,1307,1697,1526,1150,793,606,476,460,407,01/11/2014
