FormattedDate,all_day_west,all_day_east
2014-11-01,6233,12524
2014-11-02,5573,10680
2014-11-03,8348,13942
2014-11-04,6275,14300
2014-11-05,5357,15659
2014-11-06,5415,16053
2014-11-07,5540,17841
2014-11-08,4003,7495
2014-11-20,11331,10371
2014-11-21,14205,17401
2014-11-22,12001,14742
2014-11-23,9629,11509
2014-11-24,5796,14706
2014-11-25,7479,16166
2014-11-26,12204,19221
2014-11-27,8418,12046
2014-11-28,12168,16538
2014-11-29,15468,14282
2014-11-30,16200,15517
2014-12-01,12471,10851
2014-12-02,12663,9828
2014-12-06,12666,15006
2014-12-09,15880,16130
2014-12-10,16680,10444
2014-12-16,16264,14677
2014-12-17,16918,17187
2014-12-19,19407,22092
2014-12-20,16903,17716
2014-12-21,10880,6752
2014-12-23,15743,18053
2014-12-24,13118,14826
2014-12-27,13703,21691
2015-01-02,18323,21907
2015-01-03,15797,16750
2015-01-04,13910,12124
2015-01-05,17674,17339
2015-01-06,17475,16975
2015-01-07,17011,15874
2015-01-08,17420,17057
2015-01-09,17698,19992
2015-01-10,15694,16797
2015-01-11,14105,12698
2015-01-12,15992,16285
2015-01-13,15503,15674
2015-01-14,16789,17330
2015-01-16,19428,21577
2015-01-17,16272,18100
2015-01-18,16293,15982
2015-01-19,19031,16994
2015-01-20,16192,16052
2015-01-21,16394,16368
2015-01-23,18873,22399
2015-01-24,17349,17992
2015-01-25,19420,15243
2015-01-26,18319,17141
2015-01-27,17258,16797
2015-01-28,17296,17282
2015-01-29,17588,18251
2015-01-30,18520,20305
2015-01-31,15746,16701
2015-02-01,15853,14470
2015-02-02,18725,18403
2015-02-03,18495,18943
2015-02-04,16124,16293
2015-02-05,19609,20430
2015-02-06,22074,24125
2015-02-07,20809,21219
2015-02-08,19760,17595
2015-02-09,19764,19104
2015-02-10,18046,18199
2015-02-11,18682,18755
2015-02-12,20496,22025
2015-02-13,23016,26602
2015-02-14,20936,21808
2015-02-15,18993,16868
2015-02-16,19295,16440
2015-02-17,18290,17194
2015-02-18,17747,17938
2015-02-19,18549,19200
2015-02-20,18959,20139
2015-02-21,14051,14837
2015-02-22,14787,13542
2015-02-23,16714,15766
2015-02-24,17252,17158
2015-02-25,15518,14322
2015-02-26,16618,17843
2015-02-27,18145,20322
2015-02-28,16502,16855
2015-03-01,16395,14570
2015-03-02,16414,16054
2015-03-03,15548,15809
2015-03-04,17503,17641
2015-03-05,18943,20098
2015-03-06,21813,24050
2015-03-07,20046,21149
2015-03-08,19246,17876
2015-03-10,18359,18413
2015-03-11,18844,18737
2015-03-12,19357,20066
2015-03-13,20749,23045
2015-03-14,19226,20590
2015-03-15,18840,18546
2015-03-16,19276,19286
2015-03-17,19213,18503
2015-03-18,19641,19395
2015-03-19,19800,20149
2015-03-20,23310,24978
2015-03-21,20908,21687
2015-03-22,19652,18918
2015-03-23,20028,19926
2015-03-26,20592,21157
2015-03-27,23309,23563
2015-03-28,21042,20093
2015-03-29,21048,18014
2015-03-30,19572,18539
2015-03-31,19098,18599
2015-04-01,19671,19252
2015-04-02,18862,19149
2015-04-03,20631,21883
2015-04-04,18737,17686
2015-04-05,17686,14951
2015-04-06,18350,17657
2015-04-07,17526,17039
2015-04-08,17742,17397
2015-04-09,18246,18038
2015-04-10,20086,19572
2015-04-11,16249,15597
2015-04-12,15449,14315
2015-04-13,15802,15263
2015-04-14,15341,14983
2015-04-15,15088,15142
2015-04-16,14387,14201
2015-04-17,15128,15132
2015-04-18,13528,14100
2015-04-19,14989,13680
2015-04-20,15556,15854
2015-04-21,15378,15992
2015-04-22,15203,15247
2015-04-23,15085,15694
2015-04-24,16809,17065
2015-04-25,12586,12119
2015-04-26,12155,11232
2015-04-27,14257,14333
2015-04-28,14609,14661
2015-04-29,14891,13809
2015-04-30,15583,16230
2015-05-01,16203,16959
2015-05-02,12331,12602
2015-05-03,14281,12134
2015-05-04,14567,14341
2015-05-05,14481,14316
2015-05-06,13951,14054
2015-05-07,15392,15333
2015-05-08,16627,16982
2015-05-09,10968,11377
2015-05-10,10744,10383
2015-05-11,14646,15347
2015-05-12,15185,15095
2015-05-13,15884,15808
2015-05-14,17162,16687
2015-05-15,17919,18946
2015-05-16,12990,13812
2015-05-17,14601,13363
2015-05-19,14940,14970
2015-05-20,16452,16938
2015-05-21,17384,18427
2015-05-22,18459,22684
2015-05-23,14100,17205
2015-05-24,14308,13757
2015-05-25,18770,14197
2015-05-26,17394,16949
2015-05-27,16563,17018
2015-05-28,17289,18011
2015-05-29,18419,20107
2015-05-30,14799,15447
2015-05-31,15965,14378
2015-06-01,17254,17397
2015-06-03,17533,17837
2015-06-04,18789,19735
2015-06-05,20762,21848
2015-06-06,17893,17961
2015-06-07,18444,17660
2015-06-08,17748,18271
2015-06-09,17913,17916
2015-06-10,17956,17962
2015-06-11,16306,18034
2015-06-12,20121,22338
2015-06-13,16342,17814
2015-06-14,18549,16835
