FormattedDate,all_day_east,all_day_west
2014-10-31,16829,21126
2014-11-01,16823,19966
2014-11-02,18811,15289
2014-11-03,12781,13141
2014-11-04,14278,14230
2014-11-05,14312,14626
2014-11-06,15516,16524
2014-11-07,18642,24080
2014-11-08,20112,22310
2014-11-09,24633,17416
2014-11-10,13449,13064
2014-11-11,13270,13714
2014-11-12,8911,9501
2014-11-13,11460,13076
2014-11-14,15418,21300
2014-11-15,13775,15498
2014-11-16,22300,15250
2014-11-17,14765,14552
2014-11-18,13603,14129
2014-11-19,15136,15397
2014-11-20,15340,16457
2014-11-21,18956,25062
2014-11-22,21725,26084
2014-11-23,20052,17436
2014-11-24,15812,17128
2014-11-25,17333,20355
2014-11-26,23646,32661
2014-11-27,16474,20743
2014-11-28,24936,29903
2014-11-29,32347,24469
2014-11-30,32522,19401
2014-12-01,17065,15430
2014-12-02,14151,15079
2014-12-03,13698,14863
2014-12-04,14491,16965
2014-12-05,17318,26170
2014-12-06,24077,26979
2014-12-07,27730,19173
2014-12-08,16040,15494
2014-12-09,14500,14809
2014-12-10,15377,16305
2014-12-11,16309,18660
2014-12-12,18948,27695
2014-12-16,16777,17216
2014-12-18,11293,19803
2014-12-20,26913,33537
2014-12-21,24647,22812
2014-12-22,20219,18954
2014-12-23,27076,26603
2014-12-24,23339,23795
2014-12-25,16603,19271
2014-12-26,20890,28389
2014-12-27,31990,34208
2015-01-03,35433,24971
2015-01-06,19184,17263
2015-01-07,17393,17055
2015-01-08,19648,19312
2015-01-09,21685,30742
2015-01-10,31516,29408
2015-01-11,33449,18450
2015-01-12,18211,15793
2015-01-13,15181,14557
2015-01-14,18468,18721
2015-01-15,19252,23331
2015-01-17,26369,31094
2015-01-18,35745,23273
2015-01-19,37393,19234
2015-01-20,18481,15528
2015-01-21,14640,14999
2015-01-22,17216,21971
2015-01-23,21194,36655
2015-01-24,30384,30759
2015-01-25,42367,21113
2015-01-26,22339,15597
2015-01-27,17279,14665
2015-01-28,16966,16336
2015-01-29,17160,19948
2015-01-30,20511,33226
2015-01-31,27723,28539
2015-02-01,35862,20627
2015-02-02,22021,15662
2015-02-03,17642,15855
2015-02-04,13509,14593
2015-02-05,20879,24374
2015-02-06,23578,36178
2015-02-07,31343,29818
2015-02-08,41182,20511
2015-02-09,22192,15341
2015-02-10,15795,14323
2015-02-11,17075,16906
2015-02-12,19208,24403
2015-02-13,25539,38666
2015-02-14,26551,27420
2015-02-15,32741,21802
2015-02-16,29911,15843
2015-02-17,22662,17514
2015-02-18,19373,19166
2015-02-19,20219,21458
2015-02-20,22338,31665
2015-02-21,19327,20193
2015-02-22,29484,14899
2015-02-23,22508,15862
2015-02-24,20282,18069
2015-02-25,14753,13996
2015-02-26,14286,19694
2015-02-27,20095,34992
2015-02-28,27006,27380
2015-03-01,38150,20947
2015-03-02,21076,15263
2015-03-03,14769,13963
2015-03-04,16118,16960
2015-03-05,19921,24374
2015-03-06,25722,37382
2015-03-07,32394,33675
2015-03-09,22846,18541
2015-03-10,19341,17666
2015-03-11,20252,19481
2015-03-12,20704,21112
2015-03-13,24896,33124
2015-03-14,30963,32415
2015-03-15,35837,25227
2015-03-16,22851,19230
2015-03-17,19925,17261
2015-03-18,21235,18988
2015-03-19,21273,21623
2015-03-20,29549,34492
2015-03-21,32316,31401
2015-03-22,35225,25549
2015-03-23,24021,20789
2015-03-24,22309,19248
2015-03-25,21645,18581
2015-03-26,24911,24628
2015-03-27,29838,30227
2015-03-28,32193,25710
2015-03-29,36037,20233
2015-03-30,22340,16713
2015-03-31,19259,17535
2015-04-01,19735,18635
2015-04-02,17812,19227
2015-04-03,25405,30121
2015-04-04,29199,26434
2015-04-05,29262,19161
2015-04-06,19842,17748
2015-04-07,17517,15973
2015-04-08,17541,16496
2015-04-09,17885,17940
2015-04-10,22742,25789
2015-04-11,24269,24518
2015-04-12,29465,20304
2015-04-13,17914,15673
2015-04-21,16789,16596
2015-04-22,15829,16516
2015-04-23,13989,14575
2015-04-24,19478,22627
2015-04-25,19567,20523
2015-04-26,21956,16265
2015-04-28,14192,14639
2015-04-29,15672,15480
2015-04-30,16146,17073
2015-05-01,18499,22225
2015-05-02,18574,19220
2015-05-03,23522,18268
2015-05-04,14120,13849
2015-05-05,13500,13013
2015-05-06,13775,13981
2015-05-07,15148,14739
2015-05-08,17595,18966
2015-05-09,15260,15557
2015-05-10,16950,15218
2015-05-11,15263,17145
2015-05-12,15319,15746
2015-05-13,15615,15722
2015-05-14,17484,17560
2015-05-15,19859,22783
2015-05-16,17976,19437
2015-05-17,23328,19288
2015-05-18,15534,16419
2015-05-19,13920,14113
2015-05-20,16203,16430
2015-05-21,17424,19470
2015-05-22,19563,30303
2015-05-23,18825,26319
2015-05-24,23930,20970
2015-05-25,30936,19171
2015-05-26,18865,16686
2015-05-27,16506,16735
2015-05-28,17184,18151
2015-05-29,19950,25095
2015-05-30,21624,24139
2015-05-31,27430,21417
2015-06-01,18197,16960
2015-06-02,17253,17224
2015-06-03,17855,17728
2015-06-04,18764,21112
2015-06-05,21376,27715
2015-06-06,22828,24882
2015-06-07,31353,23655
2015-06-08,20038,19863
2015-06-09,18033,18406
2015-06-10,18065,18434
2015-06-11,18010,19876
2015-06-12,22228,32102
2015-06-13,26449,29725
2015-06-14,36269,26042
