COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000310,20140101,P,84,65,38,22,12,29,138,418,769,1046,925,846,674,586,529,538,464,541,502,347,253,191,140,67,01/01/2014
000310,20140101,S,133,75,38,28,34,62,103,167,207,297,294,380,418,631,664,919,1337,717,529,398,264,168,124,65,01/01/2014
000310,20140102,P,39,14,15,8,16,29,179,477,898,962,819,692,650,536,596,580,661,717,585,433,366,248,157,90,01/02/2014
000310,20140102,S,40,24,8,18,49,111,218,413,489,573,532,573,584,718,768,992,1396,954,527,390,286,208,124,95,01/02/2014
000310,20140103,P,40,24,14,16,19,35,159,540,916,938,772,757,650,577,568,679,741,795,609,472,349,345,175,105,01/03/2014
000310,20140103,S,37,20,21,22,43,71,166,406,460,495,566,575,671,749,927,1132,1291,891,558,351,326,169,130,81,01/03/2014
000310,20140104,P,46,21,12,11,9,25,136,261,860,878,769,668,553,457,483,499,548,503,428,339,308,226,146,86,01/04/2014
000310,20140104,S,35,30,18,22,31,72,142,256,339,282,270,292,320,401,363,495,643,363,269,250,185,123,90,62,01/04/2014
000310,20140105,P,43,36,16,13,17,27,131,594,1109,958,596,510,505,546,518,576,450,429,390,330,229,169,101,64,01/05/2014
000310,20140105,S,43,19,20,18,31,45,100,224,320,448,622,927,886,866,814,770,746,492,437,237,172,103,52,41,01/05/2014
000310,20140106,P,28,11,6,13,10,25,152,381,648,758,558,561,476,421,403,434,522,576,492,270,239,159,112,60,01/06/2014
000310,20140106,S,22,20,15,19,43,101,158,366,399,392,411,438,506,511,616,856,943,603,309,172,106,88,75,49,01/06/2014
000310,20140107,P,29,17,15,12,21,40,182,353,577,649,571,447,407,384,382,485,531,532,429,303,271,207,111,64,01/07/2014
000310,20140107,S,28,27,19,17,40,57,149,330,392,358,341,410,454,579,702,787,862,585,338,157,134,84,62,38,01/07/2014
000310,20140108,P,43,24,10,10,18,41,152,341,586,636,542,475,419,416,368,455,543,555,420,313,281,213,112,87,01/08/2014
000310,20140108,S,33,18,21,18,34,64,139,317,347,337,352,381,427,519,560,800,808,565,438,247,196,127,104,54,01/08/2014
000310,20140109,P,26,15,12,14,23,30,157,448,676,672,559,444,433,408,431,479,543,589,444,313,295,200,100,74,01/09/2014
000310,20140109,S,18,18,19,19,36,66,138,196,172,128,192,396,491,601,647,771,751,580,360,255,207,127,84,61,01/09/2014
000310,20140110,P,40,25,11,20,15,32,149,444,743,869,745,648,504,421,428,529,515,587,569,475,376,342,259,185,01/10/2014
000310,20140110,S,39,15,18,16,21,50,108,233,244,191,227,293,312,356,434,726,795,526,315,182,116,108,90,58,01/10/2014
000310,20140111,P,51,28,17,13,13,46,209,660,1234,1272,1182,936,707,504,519,519,537,579,476,396,274,233,165,96,01/11/2014
000310,20140111,S,38,15,9,16,17,41,145,294,351,434,451,486,566,695,791,1127,1426,907,587,394,322,192,146,85,01/11/2014
000310,20140112,P,37,26,11,12,16,39,155,521,763,715,539,434,475,418,392,312,300,240,260,204,188,158,72,54,01/12/2014
000310,20140112,S,48,34,18,18,21,61,127,281,506,649,659,736,829,698,706,595,586,390,391,202,148,91,74,34,01/12/2014
000310,20140113,P,20,14,8,9,14,41,157,337,603,648,496,414,392,378,393,453,442,566,413,302,226,172,101,52,01/13/2014
000310,20140113,S,22,11,12,14,32,105,173,362,368,331,362,414,461,471,550,664,784,538,345,152,145,81,88,41,01/13/2014
000310,20140114,P,29,12,17,12,20,39,165,363,577,649,511,398,369,335,325,370,415,517,360,284,234,166,95,49,01/14/2014
000310,20140114,S,31,24,21,18,25,56,129,319,351,281,339,461,438,484,506,629,747,516,288,153,103,98,89,49,01/14/2014
000310,20140115,P,28,17,22,10,21,47,181,450,664,600,588,453,388,369,381,491,432,611,429,318,255,187,129,72,01/15/2014
000310,20140115,S,56,34,21,25,33,77,157,395,439,297,308,386,482,533,624,753,765,538,375,257,187,127,72,50,01/15/2014
000310,20140116,P,28,18,8,12,8,39,192,464,648,593,513,428,380,355,397,492,539,556,443,364,289,256,167,78,01/16/2014
000310,20140116,S,36,13,25,22,30,59,158,357,420,340,312,378,468,524,581,698,735,549,338,265,193,121,84,59,01/16/2014
000310,20140117,P,33,23,19,14,16,32,170,455,833,689,653,564,520,515,480,597,661,731,631,520,480,394,236,152,01/17/2014
000310,20140117,S,24,28,20,17,27,64,134,375,435,329,359,412,532,612,729,915,925,714,475,342,298,166,118,78,01/17/2014
000310,20140118,P,64,36,21,18,19,40,225,782,1190,1054,828,817,680,710,574,592,672,643,585,409,354,286,171,82,01/18/2014
000310,20140118,S,55,26,20,17,29,38,131,268,436,498,560,625,712,745,781,1296,1548,940,611,435,370,197,115,104,01/18/2014
000310,20140119,P,48,29,14,9,20,23,160,591,1116,817,599,559,565,412,348,310,462,412,386,284,235,191,121,51,01/19/2014
000310,20140119,S,56,27,24,14,19,32,112,309,439,525,548,628,748,573,582,711,970,540,488,246,286,127,91,57,01/19/2014
000310,20140120,P,34,15,14,5,25,33,156,508,921,800,624,551,452,424,406,431,446,439,379,285,217,187,99,40,01/20/2014
000310,20140120,S,37,24,14,24,28,98,191,356,415,569,547,550,634,621,736,832,816,568,440,214,138,91,74,28,01/20/2014
000310,20140121,P,25,5,18,8,18,52,189,354,511,539,444,375,396,375,340,416,503,507,384,301,239,171,103,38,01/21/2014
000310,20140121,S,18,16,14,18,34,86,183,352,441,327,337,389,413,470,497,648,718,509,328,180,110,84,82,38,01/21/2014
000310,20140122,P,17,16,11,7,18,34,204,399,511,523,453,441,397,419,407,446,506,519,417,323,249,228,99,45,01/22/2014
000310,20140122,S,16,13,11,25,24,78,165,371,395,295,316,392,430,532,520,694,665,561,383,217,169,117,63,42,01/22/2014
000310,20140123,P,36,11,13,8,19,36,168,385,516,457,465,444,385,401,410,478,498,526,406,326,276,228,133,77,01/23/2014
000310,20140123,S,25,13,15,21,23,65,131,336,380,314,291,355,377,479,535,661,685,521,371,206,166,110,69,52,01/23/2014
000310,20140124,P,39,18,14,12,20,44,171,457,705,731,635,549,521,522,513,565,652,689,616,537,484,359,197,115,01/24/2014
000310,20140124,S,36,24,15,20,38,69,145,348,462,380,338,410,443,550,644,868,923,583,452,308,233,173,99,85,01/24/2014
000310,20140125,P,52,29,24,10,15,43,259,759,1171,835,768,697,636,535,588,598,613,613,491,356,287,224,165,70,01/25/2014
000310,20140125,S,52,30,16,14,19,46,127,300,385,484,493,495,587,641,844,1241,1362,854,539,436,287,168,135,78,01/25/2014
000310,20140126,P,52,22,14,8,19,27,145,588,912,723,579,517,474,453,405,383,431,378,347,243,223,176,85,59,01/26/2014
000310,20140126,S,49,29,11,13,15,50,111,270,386,573,612,592,566,633,652,815,757,523,420,247,159,77,77,35,01/26/2014
000310,20140127,P,33,19,9,9,18,26,156,364,517,472,417,421,341,337,413,358,413,443,320,240,168,144,62,40,01/27/2014
000310,20140127,S,18,16,6,23,25,83,155,404,406,365,363,441,436,493,463,547,599,429,244,133,64,70,50,28,01/27/2014
000310,20140128,P,21,11,10,8,24,33,184,373,571,462,419,405,333,369,333,397,443,501,395,327,282,168,93,57,01/28/2014
000310,20140128,S,21,14,9,12,18,52,134,300,319,262,317,369,407,448,507,633,654,532,333,165,111,104,68,34,01/28/2014
000310,20140129,P,30,13,9,8,12,36,177,390,549,562,497,422,387,382,393,429,511,508,434,267,216,163,104,52,01/29/2014
000310,20140129,S,25,18,17,19,30,66,138,369,399,315,325,359,414,504,559,660,731,484,284,169,154,95,67,39,01/29/2014
000310,20140130,P,27,10,3,6,18,45,155,412,1085,685,415,369,346,318,313,340,327,305,243,174,139,137,99,42,01/30/2014
000310,20140130,S,19,13,16,19,22,57,86,184,171,182,238,325,372,508,628,656,667,479,351,187,187,81,64,42,01/30/2014
000310,20140131,P,37,26,20,15,12,35,172,572,1152,798,615,638,453,474,451,488,525,573,445,359,295,274,227,281,01/31/2014
000310,20140131,S,29,13,8,14,14,49,119,272,252,265,324,456,531,562,801,853,879,661,287,183,175,77,83,80,01/31/2014
000310,20140201,P,77,45,25,17,30,29,260,921,1083,931,772,666,570,554,521,529,544,582,448,350,273,238,127,77,02/01/2014
000310,20140201,S,45,27,16,12,40,37,140,292,342,346,344,430,474,610,626,960,1180,737,489,388,243,144,117,69,02/01/2014
000310,20140202,P,39,29,16,11,18,15,172,648,991,854,565,542,429,409,442,533,413,229,177,169,235,142,78,50,02/02/2014
000310,20140202,S,42,23,12,15,25,42,110,294,403,540,530,590,620,653,764,897,628,296,218,236,275,115,75,31,02/02/2014
000310,20140203,P,28,18,8,7,15,34,142,427,615,625,494,396,394,334,366,420,501,547,395,321,222,134,80,52,02/03/2014
000310,20140203,S,25,16,13,18,35,105,177,428,451,388,338,406,460,495,656,716,720,527,322,141,109,77,65,39,02/03/2014
000310,20140204,P,25,16,9,10,19,34,176,372,515,505,463,364,374,318,350,385,468,513,384,279,231,180,80,39,02/04/2014
000310,20140204,S,18,14,12,18,32,80,170,346,384,329,330,358,429,437,503,663,693,461,270,169,106,88,61,33,02/04/2014
000310,20140205,P,24,7,11,12,20,40,175,353,480,426,447,445,380,375,408,495,515,565,442,333,275,186,126,67,02/05/2014
000310,20140205,S,23,9,15,22,31,85,141,352,392,292,327,369,386,459,477,706,732,540,355,247,165,83,68,38,02/05/2014
000310,20140206,P,28,17,12,14,14,39,181,408,581,516,453,402,414,386,418,512,519,538,446,337,356,240,147,71,02/06/2014
000310,20140206,S,27,12,17,20,30,76,141,326,354,313,303,358,436,457,544,647,695,491,372,228,219,125,76,57,02/06/2014
000310,20140207,P,48,20,15,16,21,42,200,456,665,726,587,610,504,449,453,575,616,661,617,509,471,390,285,102,02/07/2014
000310,20140207,S,40,16,7,27,23,57,144,365,453,380,379,411,473,579,655,1035,1034,616,420,302,237,133,130,69,02/07/2014
000310,20140208,P,61,24,24,20,24,37,223,689,1393,1143,886,928,599,554,567,543,544,531,490,347,289,223,144,88,02/08/2014
000310,20140208,S,24,25,10,18,32,46,142,290,387,350,261,307,547,896,1029,1386,1405,805,566,403,216,127,105,85,02/08/2014
000310,20140209,P,31,19,19,12,15,35,223,815,1373,1175,721,718,598,586,693,667,503,403,337,332,311,346,186,65,02/09/2014
000310,20140209,S,49,19,24,23,25,46,135,260,460,628,649,869,920,939,919,1078,1247,787,627,371,245,193,100,89,02/09/2014
000310,20140210,P,25,12,15,13,22,41,164,551,917,852,824,425,385,343,350,387,422,502,357,315,223,148,80,39,02/10/2014
000310,20140210,S,35,27,29,38,95,213,254,418,399,377,458,488,667,772,896,918,905,579,325,179,107,90,72,29,02/10/2014
000310,20140211,P,21,12,11,13,22,55,184,503,813,824,779,460,435,368,342,414,435,532,422,334,261,163,120,50,02/11/2014
000310,20140211,S,21,14,15,15,30,75,154,333,433,358,374,450,541,635,653,872,850,559,366,172,134,102,79,45,02/11/2014
000310,20140212,P,41,16,10,5,23,42,208,462,663,496,523,416,428,415,388,480,498,539,427,369,258,206,121,60,02/12/2014
000310,20140212,S,22,15,15,16,36,80,141,382,401,409,366,398,503,607,567,719,754,552,400,222,210,96,91,49,02/12/2014
000310,20140213,P,31,19,13,13,23,47,176,505,677,636,505,467,445,424,461,495,580,594,433,418,416,290,173,104,02/13/2014
000310,20140213,S,23,21,12,11,30,64,140,366,401,337,328,403,465,560,677,739,785,634,428,324,232,111,84,54,02/13/2014
000310,20140214,P,62,51,18,28,22,58,203,631,1040,1110,950,780,642,636,639,650,632,779,836,711,462,299,331,288,02/14/2014
000310,20140214,S,36,20,13,22,34,67,130,350,444,407,445,542,644,786,919,1145,1155,748,537,344,312,183,142,132,02/14/2014
000310,20140215,P,121,48,26,23,25,56,376,1166,1207,868,661,660,583,554,608,585,602,634,572,386,317,264,175,110,02/15/2014
000310,20140215,S,56,45,20,18,28,59,139,286,455,495,555,618,679,776,902,1021,1211,702,598,388,354,191,213,123,02/15/2014
000310,20140216,P,61,35,22,15,16,23,231,848,1067,852,731,584,539,543,466,524,539,555,450,329,282,206,117,81,02/16/2014
000310,20140216,S,69,37,26,25,16,38,129,299,480,616,582,592,660,664,815,1052,1083,689,441,360,223,101,84,80,02/16/2014
000310,20140217,P,36,21,12,15,15,30,200,706,1099,782,573,544,428,405,477,480,489,543,502,311,251,194,96,57,02/17/2014
000310,20140217,S,29,28,24,27,44,121,243,463,607,562,531,512,599,600,697,877,916,646,532,243,137,118,80,46,02/17/2014
000310,20140218,P,23,12,10,12,17,49,185,459,718,682,537,437,436,343,387,464,498,536,443,358,275,193,110,57,02/18/2014
000310,20140218,S,33,16,9,29,46,107,222,444,436,400,376,427,499,565,559,770,872,554,394,210,110,84,82,50,02/18/2014
000310,20140219,P,19,21,13,8,15,48,195,487,672,554,512,437,435,415,476,520,580,560,382,342,257,152,123,74,02/19/2014
000310,20140219,S,26,16,15,22,39,69,176,390,419,358,361,413,453,550,630,731,800,532,330,214,173,111,60,43,02/19/2014
000310,20140220,P,32,24,8,12,32,53,186,482,767,561,609,470,393,381,415,492,560,621,505,415,325,273,183,87,02/20/2014
000310,20140220,S,24,11,10,13,31,68,85,257,258,204,243,276,452,563,532,716,780,609,426,232,214,130,85,53,02/20/2014
000310,20140221,P,48,27,22,18,26,44,223,478,859,795,604,488,492,475,486,619,653,706,538,533,551,369,195,122,02/21/2014
000310,20140221,S,31,26,9,16,28,62,159,400,469,422,341,423,534,596,664,914,941,634,486,321,239,134,127,88,02/21/2014
000310,20140222,P,68,40,14,26,31,43,287,765,1148,968,848,887,660,597,586,607,623,568,463,367,283,235,135,82,02/22/2014
000310,20140222,S,40,17,23,24,26,59,173,337,476,495,632,656,932,986,870,1204,1205,776,404,235,153,60,47,72,02/22/2014
000310,20140223,P,38,27,16,10,36,29,254,1028,1487,863,603,535,501,430,472,423,484,443,375,316,246,207,91,71,02/23/2014
000310,20140223,S,33,28,15,18,32,63,147,324,509,637,616,610,646,659,711,947,992,636,564,317,141,110,70,52,02/23/2014
000310,20140224,P,31,9,14,10,27,42,171,480,716,661,525,406,445,448,367,396,499,497,477,309,237,180,110,39,02/24/2014
000310,20140224,S,28,16,19,35,37,114,202,385,434,414,419,453,506,534,658,776,807,511,336,214,141,80,85,47,02/24/2014
000310,20140225,P,10,13,6,9,21,50,167,393,655,574,417,366,374,336,394,409,479,489,407,321,241,166,111,70,02/25/2014
000310,20140225,S,23,17,9,13,28,75,165,357,432,323,338,358,476,535,606,681,669,512,344,183,126,90,69,50,02/25/2014
000310,20140226,P,28,23,17,7,24,33,194,400,639,576,553,463,458,389,434,476,531,550,440,369,276,245,130,63,02/26/2014
000310,20140226,S,20,16,15,18,38,73,173,350,391,372,340,407,437,536,595,781,804,553,398,244,201,108,84,56,02/26/2014
000310,20140227,P,49,23,8,8,25,39,197,473,728,646,477,425,434,420,436,486,584,600,454,408,306,241,132,106,02/27/2014
000310,20140227,S,36,20,11,25,25,72,167,387,413,393,390,439,559,533,551,738,773,531,320,244,216,119,84,64,02/27/2014
000310,20140228,P,55,21,19,11,20,30,178,578,915,853,566,509,512,443,496,587,684,768,622,580,424,400,229,121,02/28/2014
000310,20140228,S,30,22,11,21,29,71,164,381,426,398,409,476,533,518,659,909,1012,644,481,314,263,172,112,89,02/28/2014
000310,20140301,P,65,37,25,15,21,45,184,652,965,811,852,803,622,543,515,545,536,528,449,348,268,240,142,73,03/01/2014
000310,20140301,S,42,50,34,20,25,66,167,282,335,367,462,553,617,823,913,1237,1255,725,503,446,304,138,124,85,03/01/2014
000310,20140304,P,26,15,10,12,24,52,178,436,654,599,494,422,384,361,384,479,475,540,416,322,259,169,88,51,03/04/2014
000310,20140304,S,25,22,14,18,35,78,177,395,432,322,316,395,438,538,610,735,853,626,360,169,148,91,72,36,03/04/2014
000310,20140305,P,25,21,12,17,14,43,190,433,612,648,513,436,408,387,394,493,538,623,451,372,263,247,127,56,03/05/2014
000310,20140305,S,30,20,13,24,51,69,183,379,426,359,333,411,347,508,558,788,877,597,384,253,197,137,81,43,03/05/2014
000310,20140306,P,20,20,5,9,19,60,220,540,682,654,494,433,457,406,430,517,600,601,476,375,338,264,146,84,03/06/2014
000310,20140306,S,28,20,10,23,37,78,162,434,412,362,374,452,442,506,627,758,785,563,392,259,224,130,116,53,03/06/2014
000310,20140307,P,55,16,12,10,27,40,216,594,800,659,466,642,455,410,461,576,626,698,519,389,360,326,320,211,03/07/2014
000310,20140307,S,31,37,17,20,35,89,172,406,477,351,347,428,465,557,721,885,873,617,415,273,237,132,124,80,03/07/2014
000310,20140308,P,62,38,21,12,23,51,290,1068,1176,816,659,597,585,540,609,612,645,638,570,434,365,281,174,103,03/08/2014
000310,20140308,S,36,15,20,13,44,61,159,335,424,475,533,563,599,662,802,1079,1201,818,588,440,337,163,144,90,03/08/2014
000310,20140310,P,37,19,17,8,16,38,171,477,727,658,563,504,536,436,501,514,558,628,521,415,349,271,131,60,03/10/2014
000310,20140310,S,35,21,7,21,35,99,190,421,447,422,415,432,492,516,654,772,997,669,529,346,250,145,93,55,03/10/2014
000310,20140311,P,41,11,12,5,15,41,174,441,776,617,472,469,431,373,383,596,764,688,527,368,281,237,122,64,03/11/2014
000310,20140311,S,29,18,13,16,29,76,160,295,357,297,335,360,463,512,591,825,1002,778,463,326,205,160,103,67,03/11/2014
000310,20140312,P,22,19,11,3,19,40,166,488,747,659,501,515,471,458,453,527,575,623,547,432,385,289,145,81,03/12/2014
000310,20140312,S,26,20,13,14,48,71,165,388,428,419,524,512,481,470,574,791,972,754,514,368,261,142,90,61,03/12/2014
000310,20140313,P,42,28,9,8,10,38,185,524,749,669,542,479,494,460,455,528,602,655,563,447,346,253,162,78,03/13/2014
