FormattedDate,all_day_east,all_day_west
2014-10-31,5667,6636
2014-11-01,3794,974
2014-11-02,3203,751
2014-11-03,3792,991
2014-11-04,4186,1100
2014-11-05,4290,1196
2014-11-06,4588,1229
2014-11-07,5051,1738
2014-11-08,4883,1731
2014-11-09,4039,1263
2014-11-10,3740,1169
2014-11-11,4371,1564
2014-11-12,3034,2027
2014-11-13,3471,1954
2014-11-14,4810,2401
2014-11-15,4100,2975
2014-11-16,4090,2824
2014-11-17,4223,1437
2014-11-18,4425,1445
2014-11-19,4625,1535
2014-11-20,4507,1500
2014-11-21,5203,1907
2014-11-22,5556,2613
2014-11-23,4173,2869
2014-11-24,4586,2476
2014-11-25,4723,2525
2014-11-26,5942,3263
2014-11-27,4556,2008
2014-11-28,6051,2821
2014-11-29,5557,2464
2014-11-30,4324,1585
2014-12-02,5856,5849
2014-12-03,5871,5896
2014-12-04,6288,6021
2014-12-05,7527,6920
2014-12-06,8674,8516
2014-12-07,6385,6843
2014-12-08,6055,6096
2014-12-09,6148,6204
2014-12-10,6217,6248
2014-12-11,6724,6323
2014-12-12,8065,7294
2014-12-13,8820,8551
2014-12-14,6925,8570
2014-12-15,7139,7590
2014-12-16,6588,6640
2014-12-17,6739,6877
2014-12-18,7200,6968
2014-12-19,8800,8137
2014-12-20,9566,9226
2014-12-21,8549,10034
2014-12-22,8078,10910
2014-12-23,9663,11809
2014-12-24,9133,10389
2014-12-25,6389,6999
2014-12-26,9088,10204
2014-12-27,10363,11500
2014-12-28,8709,11140
2014-12-29,9565,11763
2014-12-30,9219,10783
2014-12-31,10732,11306
2015-01-01,9292,10647
2015-01-02,11268,12416
2015-01-03,10267,13126
2015-01-04,7790,9851
2015-01-05,8161,8560
2015-01-06,7528,7683
2015-01-07,7765,7728
2015-01-08,8240,8032
2015-01-09,9230,8431
2015-01-10,10169,10596
2015-01-11,7045,8406
2015-01-12,6815,7729
2015-01-15,7619,7169
2015-01-16,9580,8434
2015-01-17,11398,11351
2015-01-18,9244,9812
2015-01-19,7884,8546
2015-01-20,7170,7281
2015-01-21,6576,7030
2015-01-22,7297,7172
2015-01-23,9669,8412
2015-01-24,10750,11007
2015-01-25,8599,9532
2015-01-26,6886,6951
2015-01-27,6739,6646
2015-01-28,6957,6738
2015-01-29,7340,6909
2015-01-30,9074,7966
2015-01-31,10204,10156
2015-02-01,7964,8579
2015-02-02,6906,7429
2015-02-03,7150,7181
2015-02-04,6755,7698
2015-02-05,9126,8654
2015-02-06,10185,9175
2015-02-07,10680,10901
2015-02-08,8332,9168
2015-02-09,7066,7285
2015-02-10,6746,6693
2015-02-11,7422,7287
2015-02-12,8336,7453
2015-02-13,10014,9162
2015-02-14,10129,9999
2015-02-15,8692,9108
2015-02-16,7811,9588
2015-02-17,7446,8301
2015-02-18,7650,7591
2015-02-19,8294,7844
2015-02-20,9077,10717
2015-02-21,9481,10110
2015-02-22,7532,8404
2015-02-23,7172,7916
2015-02-24,7278,7398
2015-02-25,6988,7196
2015-02-26,7782,7685
2015-02-27,9655,9053
2015-02-28,10038,10323
2015-03-01,8867,9458
2015-03-02,7333,7663
2015-03-03,7521,7440
2015-03-04,7315,8403
2015-03-05,8531,8750
2015-03-06,10098,9353
2015-03-07,10753,10519
2015-03-09,8123,8115
2015-03-10,7998,8033
2015-03-11,8308,8220
2015-03-12,8194,8159
2015-03-13,9678,9310
2015-03-14,10168,9796
2015-03-15,9031,9135
2015-03-16,8785,8887
2015-03-17,8515,8479
2015-03-18,8180,8425
2015-03-19,8392,8318
2015-03-20,9497,9255
2015-03-21,9367,9506
2015-03-22,7904,8167
2015-03-23,8103,8163
2015-03-24,8159,8451
2015-03-25,8429,8302
2015-03-26,8805,8453
2015-03-27,9425,9922
2015-03-28,9011,9042
2015-03-29,7382,7913
2015-03-30,7029,8523
2015-03-31,7140,7093
2015-04-01,7139,7121
2015-04-02,7166,6941
2015-04-03,8800,8444
2015-04-04,7831,7881
2015-04-05,5825,6177
2015-04-06,6047,6238
2015-04-07,6048,6130
2015-04-08,5799,5818
2015-04-09,5728,5684
2015-04-10,6463,6293
2015-04-11,6339,6307
2015-04-12,5644,6142
2015-04-13,5342,5501
2015-04-14,5307,5272
2015-04-15,5287,5320
2015-04-16,5141,5044
2015-04-17,5944,5763
2015-04-18,5926,5603
2015-04-19,4492,4582
2015-04-20,4996,5109
2015-04-21,5243,5298
2015-04-22,5004,5000
2015-04-23,5571,5013
2015-04-24,5593,5373
2015-04-25,4781,4930
2015-04-26,3754,4068
2015-04-27,5517,5079
2015-04-28,5642,7239
2015-04-29,5033,5145
2015-04-30,5115,5072
2015-05-01,5686,5475
2015-05-02,4877,4931
2015-05-03,4174,4261
2015-05-04,4940,4719
2015-05-05,4887,4989
2015-05-06,4690,4641
2015-05-07,5021,4920
2015-05-08,5024,5023
2015-05-09,4503,4384
2015-05-10,4920,4522
2015-05-11,5075,5143
2015-05-12,4891,4852
2015-05-13,5067,4932
2015-05-14,5049,5006
2015-05-15,5209,5244
2015-05-16,4605,4649
2015-05-17,3923,4037
2015-05-18,4878,5066
2015-05-19,4985,4886
2015-05-20,5245,5261
2015-05-21,5287,5108
2015-05-22,5692,5479
2015-05-23,5327,5250
2015-05-24,5301,5346
2015-05-25,4631,4863
2015-05-26,5395,5531
2015-05-27,5435,5444
2015-05-28,5476,5435
2015-05-29,5766,5657
2015-05-30,5459,5534
2015-05-31,4435,4972
2015-06-01,6086,5881
2015-06-02,5995,5972
2015-06-03,5744,5868
2015-06-04,5776,5661
2015-06-05,5840,5794
2015-06-06,5252,5233
2015-06-07,4933,5015
2015-06-08,5429,5668
2015-06-09,5453,5493
2015-06-10,5370,5328
2015-06-11,5475,5480
2015-06-12,6685,6548
2015-06-13,6149,6115
2015-06-14,5418,5668
