FormattedDate,all_day_east,all_day_west
2014-10-31,3715,2991
2014-11-01,2832,2609
2014-11-02,2162,2565
2014-11-03,2417,2545
2014-11-04,2575,2784
2014-11-05,2659,2918
2014-11-06,2912,3078
2014-11-07,3589,3435
2014-11-08,2768,2812
2014-11-09,2492,3137
2014-11-10,2156,2299
2014-11-11,2676,2229
2014-11-12,1906,1828
2014-11-13,2108,2071
2014-11-14,2532,2338
2014-11-15,1550,1582
2014-11-16,1745,2289
2014-11-17,2171,2301
2014-11-18,2182,2189
2014-11-19,2318,2342
2014-11-20,2379,2369
2014-11-21,2884,2673
2014-11-22,2407,2203
2014-11-23,1563,1483
2014-11-24,2085,1965
2014-11-25,2398,2237
2014-11-26,3224,2799
2014-11-27,1827,1607
2014-11-28,2876,2581
2014-11-29,2329,2892
2014-11-30,2066,2665
2014-12-01,2213,2244
2014-12-02,2249,2133
2014-12-03,2183,2135
2014-12-04,2310,2247
2014-12-05,2729,2446
2014-12-06,2180,2032
2014-12-07,1855,2106
2014-12-08,2313,2270
2014-12-09,2246,2204
2014-12-10,2267,2244
2014-12-11,2563,2435
2014-12-12,3212,2729
2014-12-13,2395,2145
2014-12-14,1638,1962
2014-12-15,2206,2231
2014-12-16,2345,2276
2014-12-17,2328,2267
2014-12-18,2484,2354
2014-12-19,3131,2643
2014-12-20,3130,2511
2014-12-21,1971,1838
2014-12-22,1736,1888
2014-12-23,2809,2626
2014-12-24,2891,2620
2014-12-25,1620,1270
2014-12-26,3011,2399
2014-12-27,3303,2995
2014-12-28,2567,2475
2014-12-29,2729,2637
2014-12-30,2892,2804
2014-12-31,3307,2832
2015-01-01,2189,2317
2015-01-02,3183,3817
2015-01-03,2166,3017
2015-01-04,2022,2547
2015-01-05,3027,2622
2015-01-06,2395,2376
2015-01-07,2289,2292
2015-01-08,2594,2535
2015-01-09,2881,2732
2015-01-10,2248,3188
2015-01-11,1737,2059
2015-01-12,2103,2230
2015-01-13,2046,2070
2015-01-14,2321,2286
2015-01-15,2747,2402
2015-01-16,3921,2652
2015-01-17,2677,2264
2015-01-18,2096,2494
2015-01-19,2270,3461
2015-01-20,2096,2363
2015-01-21,2046,2165
2015-01-22,2596,2277
2015-01-23,3274,2533
2015-01-24,2269,2316
2015-01-25,2192,2546
2015-01-26,2220,2463
2015-01-27,2327,2357
2015-01-28,2324,2248
2015-01-29,2767,2339
2015-01-30,3381,2585
2015-01-31,2372,2143
2015-02-01,1881,2483
2015-02-02,2226,2698
2015-02-03,2273,2269
2015-02-04,1963,1793
2015-02-05,3055,2391
2015-02-06,3933,2635
2015-02-07,2649,2435
2015-02-08,2176,3130
2015-02-09,2390,3035
2015-02-10,2176,2232
2015-02-11,2397,2392
2015-02-12,3258,2504
2015-02-13,4384,2889
2015-02-14,3236,2682
2015-02-15,2344,2883
2015-02-16,2069,3200
2015-02-17,2256,2613
2015-02-18,2456,2466
2015-02-19,2930,2563
2015-02-20,2834,2689
2015-02-21,1936,1857
2015-02-22,1794,2237
2015-02-23,2137,2554
2015-02-24,2356,2403
2015-02-25,2214,2135
2015-02-26,2514,2049
2015-02-27,3472,2449
2015-02-28,2247,2244
2015-03-01,1963,2754
2015-03-02,2067,2409
2015-03-03,1981,2016
2015-03-04,2229,2172
2015-03-05,2872,2448
2015-03-06,3833,2799
2015-03-07,2953,2614
2015-03-09,2546,2752
2015-03-10,2232,2485
2015-03-11,2236,2630
2015-03-12,2346,2693
2015-03-13,3071,2916
2015-03-14,2273,2641
2015-03-15,2102,3021
2015-03-16,2521,2739
2015-03-17,2434,2543
2015-03-18,2511,2554
2015-03-19,2676,2620
2015-03-20,3610,3083
2015-03-21,3108,2786
2015-03-22,2597,2826
2015-03-23,2722,2795
2015-03-24,2492,2629
2015-03-25,2393,2501
2015-03-26,2838,2740
2015-03-27,2358,3238
2015-03-28,1970,2966
2015-03-29,1783,3129
2015-03-30,1796,2801
2015-03-31,1971,2681
2015-04-01,1835,2654
2015-04-04,1469,2273
2015-04-05,1417,2435
2015-04-06,1538,2474
2015-04-07,1669,2378
2015-04-08,1604,2455
2015-04-09,1827,2436
2015-04-10,2344,2801
2015-04-11,1829,2299
2015-04-14,2267,2455
2015-04-15,1552,2313
2015-04-17,1615,2335
2015-04-18,1495,1877
2015-04-28,1573,2364
2015-04-29,2187,2523
2015-04-30,2146,2774
2015-05-13,2639,2636
2015-05-14,2791,2682
2015-05-15,3179,2934
2015-05-16,2416,2279
2015-05-17,2226,2263
2015-05-18,2840,2672
2015-05-19,2327,2258
2015-05-20,2915,2783
2015-05-21,3279,3033
2015-05-22,4718,3138
2015-05-23,3425,2576
2015-05-24,2698,3304
2015-05-25,2694,3672
2015-05-26,3096,3144
2015-05-27,2912,2908
2015-05-28,3174,2973
2015-05-29,3793,3297
2015-05-30,3308,2668
2015-05-31,2595,3175
2015-06-01,3296,3133
2015-06-02,3487,3302
2015-06-03,3356,3383
2015-06-04,3798,3318
2015-06-05,4498,3443
2015-06-06,3651,3040
2015-06-07,3351,3903
2015-06-08,3604,3448
2015-06-09,3413,3335
2015-06-10,3414,3509
2015-06-11,3970,3454
2015-06-12,4582,3443
2015-06-13,3688,3048
2015-06-14,3266,3989
