COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000223,20130101,P,9,10,13,7,10,16,70,81,114,176,356,634,768,788,877,837,717,583,322,222,204,115,39,16,01/01/2013
000223,20130101,S,14,8,11,9,26,69,49,219,464,365,371,338,320,236,189,225,175,176,120,81,62,49,38,13,01/01/2013
000223,20130102,P,2,3,3,7,9,30,106,174,185,210,249,321,351,346,341,429,583,427,239,105,56,47,25,15,01/02/2013
000223,20130102,S,12,8,5,4,31,133,59,135,367,395,309,284,242,175,201,232,199,196,122,96,82,65,44,31,01/02/2013
000223,20130103,P,6,2,1,1,19,14,66,65,121,178,172,284,268,304,333,481,631,423,204,87,52,33,21,18,01/03/2013
000223,20130103,S,8,10,8,1,25,136,52,153,403,441,366,299,250,181,193,209,226,240,148,144,115,86,52,30,01/03/2013
000223,20130104,P,6,2,6,3,21,11,68,87,108,185,230,273,324,272,397,554,743,499,279,103,64,46,21,17,01/04/2013
000223,20130104,S,17,13,3,6,25,100,53,193,480,577,440,354,253,272,273,300,333,467,416,401,294,196,110,48,01/04/2013
000223,20130105,P,6,5,5,6,17,17,64,117,126,191,245,348,302,437,578,820,931,735,341,172,106,78,35,15,01/05/2013
000223,20130105,S,24,8,13,5,14,80,121,687,645,566,646,572,344,241,253,228,206,188,148,118,75,52,40,28,01/05/2013
000223,20130106,P,8,6,7,2,16,27,58,116,111,215,376,512,568,669,794,804,825,522,343,285,198,73,28,17,01/06/2013
000223,20130106,S,19,10,6,4,9,78,55,436,519,483,400,262,242,209,160,208,161,160,118,98,67,36,29,16,01/06/2013
000223,20130107,P,1,8,1,8,9,19,84,114,144,154,228,201,202,235,288,344,455,270,165,61,22,16,16,7,01/07/2013
000223,20130107,S,10,5,3,8,18,109,47,114,244,325,226,165,141,105,110,129,125,124,100,70,66,49,28,18,01/07/2013
000223,20130108,P,4,3,1,2,9,19,44,56,92,107,149,159,167,154,227,281,348,235,153,55,34,13,10,7,01/08/2013
000223,20130108,S,9,6,9,5,30,135,65,93,193,268,198,159,115,107,97,104,143,152,92,74,71,39,36,19,01/08/2013
000223,20130109,P,6,1,3,2,12,11,60,60,97,111,131,151,145,150,226,288,402,273,139,58,27,17,14,5,01/09/2013
000223,20130109,S,11,5,4,5,35,133,53,119,190,275,222,153,134,111,114,134,134,145,108,89,55,53,36,22,01/09/2013
000223,20130110,P,5,5,4,4,11,9,67,72,96,121,163,152,167,239,233,299,355,265,121,52,69,27,16,10,01/10/2013
