COUNTSTATIONID,COUNTDIR,COUNTDATE,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000223,P,20140101,9,6,9,6,7,18,52,59,90,184,301,543,556,764,766,735,732,774,617,386,213,106,42,15,01/01/2014
000223,S,20140101,5,21,19,10,33,89,79,447,657,637,519,403,334,240,246,242,201,140,108,71,89,48,37,25,01/01/2014
000223,P,20140102,5,3,4,4,12,28,103,97,250,254,336,443,419,404,507,556,745,581,319,117,67,41,36,24,01/02/2014
000223,S,20140102,14,5,8,8,31,110,61,258,544,518,515,354,266,222,251,270,252,202,190,125,97,67,45,31,01/02/2014
000223,P,20140103,5,4,3,2,17,28,91,128,174,228,329,360,329,389,519,713,821,620,301,146,98,58,34,16,01/03/2014
000223,S,20140103,23,10,5,6,23,100,69,256,535,537,554,499,280,250,325,328,407,444,411,396,317,169,95,43,01/03/2014
000223,P,20140104,8,8,5,2,12,15,46,67,79,176,235,374,366,367,530,542,600,502,247,121,108,48,26,18,01/04/2014
000223,S,20140104,24,10,9,6,23,61,105,454,629,517,422,382,163,144,128,153,174,127,77,106,59,49,34,16,01/04/2014
000223,P,20140105,8,2,5,2,9,23,44,82,113,242,511,740,817,806,585,542,506,297,294,238,137,60,24,13,01/05/2014
000223,S,20140105,13,10,6,7,15,55,57,476,524,291,166,146,129,113,131,144,124,95,80,83,54,26,17,29,01/05/2014
000223,P,20140106,6,3,4,8,13,26,80,137,148,154,202,223,212,184,282,342,465,253,147,67,38,24,10,8,01/06/2014
000223,S,20140106,10,14,6,8,23,103,44,93,203,296,232,170,138,98,116,131,146,119,72,79,47,49,39,19,01/06/2014
000223,P,20140107,9,1,4,3,6,17,59,40,132,147,158,142,117,188,228,315,394,232,148,47,31,11,8,10,01/07/2014
000223,S,20140107,14,9,5,8,24,148,50,122,257,313,222,150,120,122,121,134,147,138,90,97,72,51,26,23,01/07/2014
000223,P,20140108,3,2,5,1,7,12,54,54,89,124,136,146,152,159,193,291,430,252,143,54,29,23,14,10,01/08/2014
000223,S,20140108,14,9,2,13,33,132,49,134,233,297,234,158,109,110,93,150,131,112,87,85,67,53,37,21,01/08/2014
000223,P,20140109,8,3,1,3,17,15,58,53,80,134,156,163,151,171,264,348,460,229,143,57,27,16,21,17,01/09/2014
000223,S,20140109,14,5,5,8,29,139,77,131,284,291,237,147,134,118,163,162,186,176,134,136,90,84,55,52,01/09/2014
000223,P,20140110,13,14,5,4,11,23,54,56,124,134,138,177,193,223,299,324,325,202,160,57,37,17,13,7,01/10/2014
