COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000223,20110101,P,8,4,5,2,13,29,58,95,108,193,325,505,498,533,517,457,423,279,222,122,64,49,21,10,01/01/2011
000223,20110101,S,14,8,13,7,38,58,51,161,144,165,171,198,231,196,220,198,199,146,90,60,55,38,33,14,01/01/2011
000223,20110102,P,6,4,4,6,17,40,70,109,138,287,512,706,842,681,652,722,712,519,290,253,154,87,32,14,01/02/2011
000223,20110102,S,8,3,3,6,31,52,51,444,485,359,294,248,191,172,148,174,125,145,101,118,77,51,34,18,01/02/2011
000223,20110103,P,3,3,1,5,18,38,80,106,122,155,243,300,268,292,403,516,576,368,181,84,42,27,14,5,01/03/2011
000223,20110103,S,14,4,2,11,44,117,54,175,380,393,383,202,154,121,152,163,159,141,84,69,58,44,34,20,01/03/2011
000223,20110104,P,2,3,5,5,17,27,67,65,114,145,154,171,174,194,293,351,499,285,175,56,27,22,11,4,01/04/2011
000223,20110104,S,10,13,6,8,45,162,35,140,303,334,240,161,134,130,151,140,140,145,95,93,67,56,43,18,01/04/2011
000223,20110105,P,3,2,4,3,16,27,57,54,129,116,128,160,158,220,262,335,431,254,110,59,28,23,20,7,01/05/2011
000223,20110105,S,13,10,10,8,54,165,64,111,328,331,226,179,134,125,132,138,129,152,112,80,74,59,52,33,01/05/2011
000223,20110106,P,2,4,3,2,8,23,52,76,117,170,187,161,159,213,307,364,465,292,135,66,33,28,17,7,01/06/2011
000223,20110106,S,7,7,3,6,55,145,56,151,313,387,242,202,142,132,152,158,178,191,120,118,88,94,59,23,01/06/2011
000223,20110107,P,2,3,4,4,23,33,56,83,94,153,211,198,196,262,354,429,543,287,135,77,45,26,11,9,01/07/2011
000223,20110107,S,21,12,7,9,45,138,62,187,342,468,309,235,184,173,213,277,408,490,535,568,396,189,103,58,01/07/2011
000223,20110108,P,3,3,3,6,19,27,58,102,124,176,229,229,263,415,699,867,885,695,257,155,94,54,37,11,01/08/2011
000223,20110108,S,20,10,8,3,30,90,275,808,767,589,643,572,274,223,209,207,239,225,175,132,76,73,62,31,01/08/2011
