COUNTSTATIONID,COUNTDIR,COUNTDATE,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000223,P,20141115,3,3,1,3,6,11,43,47,51,93,106,120,117,150,174,181,208,144,103,27,34,44,17,10,11/15/2014
000223,S,20141115,17,15,8,9,21,56,50,193,195,139,161,181,134,154,113,100,116,115,64,53,29,21,14,14,11/15/2014
000223,P,20141116,2,4,5,4,8,7,23,41,46,135,262,365,355,328,347,416,367,229,200,110,84,37,14,6,11/16/2014
000223,S,20141116,8,7,6,2,11,50,23,97,177,156,124,108,95,71,76,80,93,101,79,41,31,25,21,13,11/16/2014
000223,P,20141117,4,4,1,3,7,25,57,98,97,109,148,131,127,135,146,122,164,109,121,53,12,25,8,11,11/17/2014
000223,S,20141117,9,4,4,7,23,111,58,76,75,125,120,103,98,88,77,95,97,114,57,44,37,32,28,15,11/17/2014
000223,P,20141118,4,1,0,4,4,21,51,58,80,95,103,114,134,127,131,117,184,112,127,29,21,12,7,8,11/18/2014
000223,S,20141118,14,9,3,4,21,133,49,72,102,113,103,110,74,79,77,95,127,121,59,46,50,38,22,13,11/18/2014
000223,P,20141119,4,0,2,3,2,16,53,74,95,96,109,98,128,115,149,155,240,141,119,42,18,29,12,4,11/19/2014
000223,S,20141119,7,4,0,4,25,140,68,106,106,127,123,106,89,84,112,101,129,104,89,56,55,36,28,15,11/19/2014
000223,P,20141120,4,3,4,1,5,17,53,63,85,127,113,91,114,133,133,168,205,135,131,61,24,15,6,5,11/20/2014
000223,S,20141120,15,5,0,10,28,141,52,96,95,102,126,115,92,97,125,130,146,147,89,80,66,47,33,24,11/20/2014
000223,P,20141121,7,0,4,2,9,16,62,72,91,133,129,119,130,154,159,202,248,171,127,55,31,23,14,11,11/21/2014
000223,S,20141121,17,4,4,8,27,99,44,97,115,151,155,152,169,176,166,221,253,301,281,278,277,161,93,42,11/21/2014
000223,P,20141122,11,5,4,3,6,8,42,34,67,112,154,181,170,221,246,324,296,206,137,56,35,22,16,8,11/22/2014
000223,S,20141122,23,13,8,13,17,68,59,202,255,230,266,241,238,217,199,217,235,207,141,86,66,65,41,26,11/22/2014
000223,P,20141123,1,0,3,4,5,6,17,31,50,141,235,319,308,297,306,298,235,225,175,92,58,38,14,2,11/23/2014
000223,S,20141123,18,11,8,10,17,63,32,127,198,160,150,147,141,116,127,120,122,99,68,75,56,35,24,24,11/23/2014
000223,P,20141124,5,3,3,4,6,25,66,80,107,108,132,167,144,137,195,151,219,150,118,52,38,25,14,6,11/24/2014
000223,S,20141124,7,12,1,12,17,116,59,95,141,156,159,151,117,119,146,128,127,132,87,68,42,32,23,19,11/24/2014
000223,P,20141125,4,2,3,3,8,13,39,69,82,130,148,153,155,149,214,151,251,159,132,62,36,26,15,9,11/25/2014
000223,S,20141125,13,7,3,9,21,128,56,73,113,171,171,174,137,119,162,149,180,182,133,110,86,73,41,29,11/25/2014
000223,P,20141126,6,2,2,3,7,20,49,24,102,94,137,164,202,298,249,303,382,276,190,61,39,23,14,9,11/26/2014
000223,S,20141126,25,10,9,5,22,128,50,111,222,290,299,324,330,395,375,417,360,312,264,168,156,91,55,58,11/26/2014
000223,P,20141127,4,6,4,2,4,20,28,31,52,91,151,190,187,185,141,145,160,157,84,68,64,33,29,11,11/27/2014
000223,S,20141127,25,14,8,1,9,14,27,94,174,249,287,275,222,174,148,131,123,130,158,152,148,106,51,26,11/27/2014
000223,P,20141128,4,4,2,4,10,24,36,56,104,145,213,271,290,348,436,534,546,401,232,113,77,30,18,10,11/28/2014
000223,S,20141128,19,5,6,8,20,85,85,250,398,378,525,586,490,405,374,340,288,238,181,139,110,89,64,29,11/28/2014
000223,P,20141129,6,2,2,6,13,13,58,79,114,172,349,479,463,508,516,616,646,413,287,154,85,57,27,12,11/29/2014
000223,S,20141129,15,12,9,5,13,64,51,272,334,367,392,356,270,193,160,149,125,132,111,82,60,53,34,24,11/29/2014
