WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
00419,20141101,0010,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,23, ,270, , , ,18.22, , , , , ,M, ,AA, , , ,30.36, 
00419,20141101,0030,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,25, ,280, , , ,18.21, , , , , ,M, ,AA, , , ,30.35, 
00419,20141101,0050,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,23, ,270, , , ,18.21, , , , , ,M, ,AA, , , ,30.35, 
00419,20141101,0110,0,CLR, ,10.00, , , ,32, ,0.0, ,31, ,-0.5, ,30, ,-1.0, , 92, ,29, ,270, , , ,18.21, , , , , ,M, ,AA, , , ,30.34, 
00419,20141101,0130,0,CLR, ,10.00, , , ,32, ,0.0, ,31, ,-0.5, ,30, ,-1.0, , 92, ,25, ,270, , , ,18.21, , , , , ,M, ,AA, , , ,30.35, 
00419,20141101,0149,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,17, ,280, , , ,18.22, , , , , ,M, ,AA, , , ,30.36, 
00419,20141101,0210,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,15, ,270, , , ,18.22, , , , , ,M, ,AA, , , ,30.36, 
00419,20141101,0230,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,18, ,280, , , ,18.21, , , , , ,M, ,AA, , , ,30.34, 
00419,20141101,0250,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,20, ,280, , , ,18.21, , , , , ,M, ,AA, , , ,30.34, 
00419,20141101,0310,0,CLR, ,10.00, ,VCTS, ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, , 8, ,260, , , ,18.21, , , , , ,M, ,AA, , , ,30.35, 
00419,20141101,0330,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,11, ,250, , , ,18.21, , , , , ,M, ,AA, , , ,30.35, 
00419,20141101,0350,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,  , ,M, , , ,18.21, , , , , ,M, ,AA, , , ,30.35, 
00419,20141101,0410,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,11, ,260, , , ,18.21, , , , , ,M, ,AA, , , ,30.35, 
00419,20141101,0429,0,CLR, ,10.00, ,TS, ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,  , ,M, , , ,18.21, , , , , ,M, ,AA, , , ,30.34, 
00419,20141101,0450,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,18, ,250, , , ,18.20, , , , , ,M, ,AA, , , ,30.33, 
00419,20141101,0510,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,20, ,250, , , ,18.20, , , , , ,M, ,AA, , , ,30.33, 
00419,20141101,0529,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,16, ,260, , , ,18.21, , , , , ,M, ,AA, , , ,30.34, 
00419,20141101,0550,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,16, ,260, , , ,18.20, , , , , ,M, ,AA, , , ,30.33, 
00419,20141101,0610,0,CLR, ,10.00, ,TS, ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,16, ,260, , , ,18.19, , , , , ,M, ,AA, , , ,30.32, 
00419,20141101,0629,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,15, ,250, , , ,18.19, , , , , ,M, ,AA, , , ,30.32, 
00419,20141101,0650,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,  , ,M, , , ,18.19, , , , , ,M, ,AA, , , ,30.32, 
00419,20141101,0709,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,20, ,270, , , ,18.19, , , , , ,M, ,AA, , , ,30.31, 
00419,20141101,0730,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,  , ,M, , , ,18.19, , , , , ,M, ,AA, , , ,30.31, 
00419,20141101,0749,0,CLR, ,10.00, , , ,32, ,0.0, ,30, ,-1.0, ,28, ,-2.0, , 85, ,24, ,270, , , ,18.19, , , , , ,M, ,AA, , , ,30.31, 
00419,20141101,0809,0,CLR, ,10.00, , , ,32, ,0.0, ,31, ,-0.5, ,30, ,-1.0, , 92, ,20, ,280, , , ,18.19, , , , , ,M, ,AA, , , ,30.31, 
00419,20141101,0830,0,SCT085, ,10.00, , , ,32, ,0.0, ,31, ,-0.5, ,30, ,-1.0, , 92, ,24, ,260, , , ,18.19, , , , , ,M, ,AA, , , ,30.31, 
00419,20141101,0850,0,BKN090, ,10.00, , , ,32, ,0.0, ,31, ,-0.5, ,30, ,-1.0, , 92, ,17, ,250, , , ,18.19, , , , , ,M, ,AA, , , ,30.32, 
00419,20141101,0909,0,SCT090 BKN120, ,10.00, , , ,34, ,1.0, ,32, ,0.0, ,30, ,-1.0, , 85, ,21, ,260, , , ,18.19, , , , , ,M, ,AA, , , ,30.31, 
00419,20141101,0930,0,SCT090 SCT120, ,10.00, , , ,34, ,1.0, ,33, ,0.5, ,32, ,0.0, , 92, ,  , ,M, , , ,18.19, , , , , ,M, ,AA, , , ,30.31, 
00419,20141101,0950,0,SCT100, ,10.00, , , ,34, ,1.0, ,33, ,0.5, ,32, ,0.0, , 92, ,20, ,250, , , ,18.18, , , , , ,M, ,AA, , , ,30.30, 
