WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
00419,20140401,1015,0,M, ,M, , , ,M, ,M, ,M, ,M, ,M, ,M, ,M, ,15, ,290, , , ,M, , , , , ,M, ,AA, , , ,29.81, 
00419,20140401,1035,0,CLR003 CLR008, , 1.00, , , ,16, ,-9.0, ,M, ,M, ,7, ,-14.0, ,M, ,14, ,260, ,26, ,M, , , , , ,M, ,AA, , , ,29.81, 
00419,20140401,1055,0,CLR003, , 0.25, , , ,16, ,-9.0, ,M, ,M, ,7, ,-14.0, ,M, , 8, ,230, , , ,M, , , , , ,M, ,AA, , , ,29.81, 
00419,20140401,1115,0,CLR003, , 0.25, , , ,16, ,-9.0, ,M, ,M, ,7, ,-14.0, ,M, ,  , ,M, , , ,M, , , , , ,M, ,AA, , , ,29.81, 
00419,20140401,1135,0,CLR005 CLR023 CLR034, , 2.50, , , ,18, ,-8.0, ,M, ,M, ,9, ,-13.0, ,M, ,26, ,260, ,34, ,M, , , , , ,M, ,AA, , , ,29.80, 
00419,20140401,1154,0,CLR015 CLR023 CLR034, , 1.25, , , ,18, ,-8.0, ,M, ,M, ,9, ,-13.0, ,M, ,24, ,250, ,39, ,M, , , , , ,M, ,AA, , , ,29.80, 
00419,20140401,1215,0,CLR011 CLR019, , 0.25, , , ,18, ,-8.0, ,M, ,M, ,9, ,-13.0, ,M, ,38, ,260, ,48, ,M, , , , , ,M, ,AA, , , ,29.78, 
00419,20140401,1234,0,CLR018 CLR025, , 1.25, , , ,18, ,-8.0, ,M, ,M, ,9, ,-13.0, ,M, ,31, ,250, ,45, ,M, , , , , ,M, ,AA, , , ,29.79, 
00419,20140401,1255,0,CLR012 CLR021 CLR036, , 2.50, , , ,18, ,-8.0, ,M, ,M, ,9, ,-13.0, ,M, ,23, ,250, ,38, ,M, , , , , ,M, ,AA, , , ,29.80, 
00419,20140401,1315,0,CLR016 CLR023 CLR029, , 1.50, , , ,18, ,-8.0, ,M, ,M, ,9, ,-13.0, ,M, ,20, ,250, ,36, ,M, , , , , ,M, ,AA, , , ,29.80, 
00419,20140401,1335,0,CLR014 CLR024, , 1.00, , , ,18, ,-8.0, ,M, ,M, ,9, ,-13.0, ,M, ,25, ,260, ,37, ,M, , , , , ,M, ,AA, , , ,29.80, 
00419,20140401,1355,0,CLR012 CLR036 CLR045, ,10.00, , , ,19, ,-7.0, ,M, ,M, ,10, ,-12.0, ,M, ,21, ,240, ,32, ,M, , , , , ,M, ,AA, , , ,29.81, 
00419,20140401,1415,0,CLR008 CLR014 CLR021, , 0.50, , , ,18, ,-8.0, ,M, ,M, ,9, ,-13.0, ,M, ,21, ,250, ,41, ,M, , , , , ,M, ,AA, , , ,29.81, 
00419,20140401,1435,0,CLR007 CLR018 CLR037, , 7.00, , , ,19, ,-7.0, ,M, ,M, ,10, ,-12.0, ,M, ,  , ,M, , , ,M, , , , , ,M, ,AA, , , ,29.82, 
00419,20140401,1454,0,CLR018 CLR028 CLR050, ,10.00, , , ,19, ,-7.0, ,M, ,M, ,10, ,-12.0, ,M, ,13, ,210, , , ,M, , , , , ,M, ,AA, , , ,29.83, 
00419,20140401,1515,0,CLR022 CLR029 CLR036, ,10.00, , , ,19, ,-7.0, ,M, ,M, ,10, ,-12.0, ,M, ,  , ,M, , , ,M, , , , , ,M, ,AA, , , ,29.82, 
