Colorado (PST) SNOTEL Site Berthoud Summit - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Sun Sep 13 21:37:39 PDT 2015. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,SNWD.I-1 (in) ,
335,2015-01-01,,     8.9,      38,
335,2015-01-02,,     8.9,      37,
335,2015-01-03,,     8.9,      37,
335,2015-01-04,,     9.2,      42,
335,2015-01-05,,     9.3,      40,
335,2015-01-06,,     9.4,      38,
335,2015-01-07,,     9.5,      37,
335,2015-01-08,,     9.5,      37,
335,2015-01-09,,     9.5,      37,
335,2015-01-10,,     9.5,      36,
335,2015-01-11,,     9.5,      36,
335,2015-01-12,,     9.7,      38,
335,2015-01-13,,     9.7,      37,
335,2015-01-14,,     9.7,      36,
335,2015-01-15,,     9.7,      36,
335,2015-01-16,,     9.7,      36,
335,2015-01-17,,     9.7,      36,
335,2015-01-18,,    10.0,      40,
335,2015-01-19,,    10.0,      38,
335,2015-01-20,,    10.2,      41,
335,2015-01-21,,    10.6,      45,
335,2015-01-22,,    10.7,      47,
335,2015-01-23,,    10.7,      43,
335,2015-01-24,,    10.7,      43,
335,2015-01-25,,    10.8,      43,
335,2015-01-26,,    11.0,      43,
335,2015-01-27,,    11.0,      41,
335,2015-01-28,,    11.0,      41,
335,2015-01-29,,    11.0,      41,
335,2015-01-30,,    11.0,      41,
335,2015-01-31,,    11.0,      41,
335,2015-02-01,,    11.2,      42,
335,2015-02-02,,    11.2,      41,
335,2015-02-03,,    11.3,      43,
335,2015-02-04,,    11.5,      43,
335,2015-02-05,,    12.4,      54,
335,2015-02-06,,    12.4,      51,
335,2015-02-07,,    12.3,      49,
335,2015-02-08,,    12.3,      47,
335,2015-02-09,,    12.3,      47,
335,2015-02-10,,    12.3,      47,
335,2015-02-11,,    12.6,      47,
335,2015-02-12,,    12.6,      47,
335,2015-02-13,,    12.6,      46,
335,2015-02-14,,    12.6,      46,
335,2015-02-15,,    12.6,      46,
335,2015-02-16,,    13.0,      52,
335,2015-02-17,,    13.3,      55,
335,2015-02-18,,    13.4,      52,
335,2015-02-19,,    13.4,      50,
335,2015-02-20,,    13.4,      50,
335,2015-02-21,,    13.9,      55,
335,2015-02-22,,    14.3,      58,
335,2015-02-23,,    14.4,      56,
335,2015-02-24,,    14.4,      55,
335,2015-02-25,,    14.4,      54,
335,2015-02-26,,    14.7,      57,
335,2015-02-27,,    14.9,      57,
335,2015-02-28,,    15.0,      58,
335,2015-03-01,,    15.2,      59,
335,2015-03-02,,    15.4,      59,
335,2015-03-03,,    15.4,      60,
335,2015-03-04,,    15.4,      61,
335,2015-03-05,,    15.4,      61,
335,2015-03-06,,    15.4,      59,
335,2015-03-07,,    15.4,      58,
335,2015-03-08,,    15.4,      57,
335,2015-03-09,,    15.4,      56,
335,2015-03-10,,    15.4,      56,
335,2015-03-11,,    15.4,      55,
335,2015-03-12,,    15.4,      54,
335,2015-03-13,,    15.4,      54,
335,2015-03-14,,    15.5,      56,
335,2015-03-15,,    15.4,      54,
335,2015-03-16,,    15.3,      52,
335,2015-03-17,,    15.0,      50,
335,2015-03-18,,    14.6,      49,
335,2015-03-19,,    14.7,      49,
335,2015-03-20,,    14.7,      46,
335,2015-03-21,,    14.7,      48,
335,2015-03-22,,    14.6,      47,
335,2015-03-23,,    14.5,      47,
335,2015-03-24,,    14.6,      52,
335,2015-03-25,,    14.9,      54,
335,2015-03-26,,    15.2,      57,
335,2015-03-27,,    15.2,      53,
335,2015-03-28,,    15.2,      52,
335,2015-03-29,,    15.1,      49,
