WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
03038,20150301,0015,0,OVC006, , 1.00, ,-SN, ,18, ,-8.0, ,15, ,-9.2, ,10, ,-12.0, , 71, ,21, ,250, ,29, ,18.93, , , , , ,M, ,AA, , , ,29.86, 
03038,20150301,0035,0,OVC006, , 1.25, ,-SN, ,18, ,-8.0, ,15, ,-9.2, ,10, ,-12.0, , 71, ,33, ,250, ,40, ,18.92, , , , , ,M, ,AA, , , ,29.85, 
03038,20150301,0055,0,OVC006, , 0.75,s,SN,s,18, ,-8.0, ,15, ,-9.2, ,10, ,-12.0, , 71, ,31, ,260, ,38, ,18.93, , , , , ,M, ,AA, , , ,29.86, 
03038,20150301,0115,0,OVC004, , 0.75,s,SN,s,18, ,-8.0, ,15, ,-9.2, ,10, ,-12.0, , 71, ,23, ,260, ,30, ,18.94, , , , , ,M, ,AA, , , ,29.88, 
03038,20150301,0135,0,OVC006, , 1.25, ,-SN, ,18, ,-8.0, ,15, ,-9.2, ,10, ,-12.0, , 71, ,24, ,260, ,34, ,18.94, , , , , ,M, ,AA, , , ,29.88, 
03038,20150301,0155,0,OVC006, , 1.75, ,-SN, ,18, ,-8.0, ,15, ,-9.2, ,10, ,-12.0, , 71, ,17, ,260, ,30, ,18.95, , , , , ,M, ,AA, , , ,29.89, 
03038,20150301,0215,0,BKN008 OVC014, , 2.50, ,-SN, ,18, ,-8.0, ,15, ,-9.2, ,10, ,-12.0, , 71, ,18, ,260, ,23, ,18.95, , , , , ,M, ,AA, , , ,29.89, 
03038,20150301,0235,0,BKN006 BKN010 OVC015, , 2.50, ,-SN, ,18, ,-8.0, ,15, ,-9.2, ,10, ,-12.0, , 71, ,15, ,260, ,20, ,18.95, , , , , ,M, ,AA, , , ,29.90, 
03038,20150301,0255,0,OVC006, , 2.00, ,-SN, ,18, ,-8.0, ,16, ,-8.9, ,12, ,-11.0, , 77, ,14, ,250, ,22, ,18.95, , , , , ,M, ,AA, , , ,29.90, 
03038,20150301,0315,0,OVC006, , 1.50, ,-SN, ,18, ,-8.0, ,16, ,-8.9, ,12, ,-11.0, , 77, ,14, ,260, ,21, ,18.96, , , , , ,M, ,AA, , , ,29.91, 
03038,20150301,0335,0,OVC004, , 1.00,s,SN,s,18, ,-8.0, ,16, ,-8.9, ,12, ,-11.0, , 77, ,14, ,260, ,21, ,18.96, , , , , ,M, ,AA, , , ,29.91, 
03038,20150301,0355,0,OVC004, , 1.00,s,SN,s,18, ,-8.0, ,16, ,-8.9, ,12, ,-11.0, , 77, ,10, ,250, , , ,18.97, , , , , ,M, ,AA, , , ,29.92, 
03038,20150301,0415,0,OVC004, , 1.25, ,-SN, ,18, ,-8.0, ,15, ,-9.2, ,10, ,-12.0, , 71, ,20, ,260, , , ,18.97, , , , , ,M, ,AA, , , ,29.92, 
03038,20150301,0435,0,OVC006, , 2.00, ,-SN, ,18, ,-8.0, ,15, ,-9.2, ,10, ,-12.0, , 71, ,20, ,260, ,24, ,18.98, , , , , ,M, ,AA, , , ,29.93, 
03038,20150301,0455,0,OVC008, , 1.75, ,-SN, ,18, ,-8.0, ,15, ,-9.2, ,10, ,-12.0, , 71, ,21, ,250, ,25, ,18.98, , , , , ,M, ,AA, , , ,29.94, 
03038,20150301,0515,0,OVC006, , 2.00, ,-SN, ,18, ,-8.0, ,15, ,-9.2, ,10, ,-12.0, , 71, ,21, ,240, ,28, ,18.99, , , , , ,M, ,AA, , , ,29.95, 
03038,20150301,0535,0,SCT008 BKN012 OVC021, , 2.50, ,-SN, ,18, ,-8.0, ,15, ,-9.2, ,10, ,-12.0, , 71, ,17, ,250, ,29, ,18.99, , , , , ,M, ,AA, , , ,29.95, 
03038,20150301,0555,0,SCT008 BKN011 OVC017, , 2.50, ,-SN, ,18, ,-8.0, ,16, ,-8.9, ,12, ,-11.0, , 77, ,14, ,270, ,24, ,19.00, , , , , ,M, ,AA, , , ,29.96, 
03038,20150301,0615,0,BKN008 OVC013, , 2.00, ,-SN, ,18, ,-8.0, ,15, ,-9.2, ,10, ,-12.0, , 71, , 5, ,230, ,17, ,19.00, , , , , ,M, ,AA, , , ,29.97, 
03038,20150301,0625,0,SCT008 BKN018 OVC036, , 3.00, ,-SN, ,18, ,-8.0, ,15, ,-9.2, ,10, ,-12.0, , 71, , 3, ,230, , , ,19.01, , , , , ,M, ,AA, , , ,29.98, 
03038,20150301,0715,0,BKN010 OVC014, , 1.75, ,-SN, ,18, ,-8.0, ,15, ,-9.2, ,10, ,-12.0, , 71, , 5, ,220, , , ,19.02, , , , , ,M, ,AA, , , ,29.99, 
03038,20150301,0735,0,BKN012 BKN025 BKN032, , 5.00, ,-SN, ,18, ,-8.0, ,15, ,-9.4, ,9, ,-13.0, , 68, , 8, ,210, , , ,19.03, , , , , ,M, ,AA, , , ,30.01, 
03038,20150301,0755,0,SCT011 BKN016 OVC110, , 2.50, ,-SN, ,18, ,-8.0, ,15, ,-9.4, ,9, ,-13.0, , 68, , 8, ,230, , , ,19.03, , , , , ,M, ,AA, , , ,30.01, 
03038,20150301,0815,0,BKN004 OVC009, , 1.00, ,-SN, ,19, ,-7.0, ,17, ,-8.2, ,14, ,-10.0, , 81, , 0, ,000, , , ,19.03, , , , , ,M, ,AA, , , ,30.01, 
03038,20150301,0835,0,SCT005 SCT011 OVC100, , 7.00, ,-SN, ,19, ,-7.0, ,17, ,-8.5, ,12, ,-11.0, , 74, , 9, ,170, ,18, ,19.04, , , , , ,M, ,AA, , , ,30.03, 
